番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年09月30日,北海道,ＨＰ,ニッサン,デイズルークスハイウェイスター,2015年11月,"58,800 Km",DBA-B21A,3B20,保安灯火,２０１９年９月１０日,助手席側の自動開閉ドアミラーがモーター音がずっとするだけで動かない。
2,2019年09月30日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,カルタス　クレセント,1995年05月,"68,000 Km",E-GD21S,G15A,制動装置,２０１９年３月,ＡＢＳアクチュエーターとコントローラーの故障により、ＡＢＳ警告灯が点灯するようになった。
3,2019年09月30日,東京,ＨＰ,ジャガー,ＳタイプＲ,2004年06月,"97,000 Km",GH-J011C,1B,燃料装置,不明,約半年前にガソリンタンクキャップが空回りして開かなくなった。修理工場を通して、ディーラーから純正のキャップを取り寄せて交換したが、先週から再度空回りが始まり、一昨日には持つ部分と栓の部分がバラバラになってしまった。
4,2019年09月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,スバル,エクシーガ,2013年08月,"68,500 Km",DBA-YAM,FB25,エンジン,２０１９年,カムキャリア、ロッカーカバーガスケットの不良で、エンジンオイルが漏れた。
5,2019年09月30日,千葉,ＨＰ,ニッサン,ルークス,2011年03月,"90,000 Km",DBA-ML21S,K6A,制動装置,２０１９年９月２８日,走行中、ブレーキが効かなくなった。２日前に警告灯が点灯し、駐車場にオイル漏れがあったことから前輪を確認したところホースからのオイル漏れだった。
6,2019年09月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ＣＲ－Ｖ,2019年03月,不明,6AA-RT6,LFB-H4,その他,購入直後から,ホンダのインターナビ（ギャザーズ）において現在地が飛ぶ、目的地案内を到着位置の２０ｍ以上手前で案内をやめてしまうなど、レベルが低く使い物にならない。
7,2019年09月30日,群馬,ＨＰ,マツダ,デミオ,2016年02月,"50,100 Km",LDA-DJ5FS,S5,保安灯火,２０１９年９月,運転席側テールランプにひび割れが発生した。
8,2019年09月30日,山梨,ﾌﾘｰﾀﾞｲｱﾙ,スマート,フォーフォー,不明,不明,不明,不明,その他,不明,車室内に装備している時計の時間がずれる。
9,2019年09月30日,静岡,ＨＰ,ニッサン,セレナ,2016年11月,不明,DAA-GC27,MR20-SM24,エンジン,２０１９年９月１８日,登り坂の渋滞中、アイドルストップからエンジン始動せず、車が後退した。ブレーキペダル踏むも停車出来ず、再度アクセルペダルを踏むも前進不能で後続車に衝突した。
10,2019年09月30日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,ボルボ,Ｖ６０,2013年03月,"40,000 Km",DBA-FB4164T,B4164T,動力伝達,２０１９年９月,ＭＰＳ－６型の自動変速機の不良により、ギアをリバースに入れても反応しなくなった。
11,2019年09月30日,岡山,ＨＰ,ニッサン,デイズ,2015年09月,"19,242 Km",DBA-B21W,3B20,保安灯火,２０１９年９月２０日,停車中に畳んでいた左側のドアミラーが突然復帰しなくなった。
12,2019年09月30日,長崎,ﾌﾘｰﾀﾞｲｱﾙ,ボルボ,Ｖ７０Ｔ４,2013年04月,"72,000 Km",DBA-BB4164TW,B4164T,動力伝達,購入して１年目ごろから,変速機の不良により、異音やノッキングが発生した。
13,2019年09月30日,宮崎,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,５０８ＳＷ,2013年12月,"76,000 Km",ABA-W2W5F02,5F02,保安灯火,１か月くらい前,左前照灯の上下切り替えが故障しており、ハイビームにならない。また、ロービームも照射方向が下向きすぎるため、視界が短い状態になっている。
14,2019年09月30日,宮崎,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,５０８ＳＷ,2013年12月,"76,000 Km",ABA-W2W5F02,5F02,その他,不明,エアコンのコンプレッサー故障の疑いで冷房が効かない。
15,2019年09月30日,宮崎,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,５０８ＳＷ,2013年12月,不明,ABA-W2W5F02,5F02,保安灯火,２０１９年,運転席の窓ガラスが落ち、その３日後に右後席の窓ガラスが落ちた。
16,2019年09月30日,宮崎,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,５０８ＳＷ,2013年12月,"76,000 Km",ABA-W2W5F02,5F02,燃料装置,不明,燃料ポンプ故障で、高速道路上で加速不能になった。
17,2019年09月29日,北海道,ＨＰ,フォルクスワーゲン,ゴルフＴＳＩハイライン,2011年07月,"88,000 Km",DBA-1KCAV,CAV,動力伝達,２０１９年９月,一般道路を走行中にスパナマークの警告灯が点灯し、アクセルペダルを踏んでも動力が伝わらず、惰性で路肩に流れ着いた。
18,2019年09月29日,青森,ＨＰ,ニッサン,エクストレイル,2009年03月,"151,741 Km",DBA-NT31,MR20,エンジン,２０１９年９月,スロットルボディの不良により、エンジンが始動しなくなった。
19,2019年09月29日,秋田,ＨＰ,ニッサン,セレナ,2013年06月,"36,000 Km",DAA-HC26,MR20-SM23,動力伝達,２０１９年８月,ＣＶＴの不具合により、速度は上がってるのに常にローギアで走っているような回転数で固定されるため、アクセルペダルを戻すと急激なエンジンブレーキがかかる。
20,2019年09月29日,東京,ＨＰ,トヨタ,ヴァンガード,2010年04月,"46,000 Km",DBA-ACA38W,2AZ,車枠・車体,登録から９年経過後,パールホワイトのルーフ塗装がパリパリと剥がれた。
