番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年12月31日,宮城,ＨＰ,ニッサン,デイズルークス,2014年09月,"64,000 Km",DBA-B21A,3B20,保安灯火,２０１９年１２月,左サイドミラー自動開閉がモーター音だけで開閉しない。
2,2019年12月31日,栃木,ＨＰ,スズキ,ワゴンＲ,2008年10月,"86,800 Km",CBA-MH23S,K6A,保安灯火,３年前から半年に１回程度,右ブレーキランプのカプラー内接触不良により、バルブ切れでないのに、ブレーキランプが点灯しない。
3,2019年12月30日,福島,ＨＰ,ニッサン,デイズルークスハイウェイスター,2014年11月,"52,000 Km",DBA-B21A,3B20,保安灯火,２０１９年１２月３０日,キーロックやボタンを押してのミラー格納を行うと助手席側のミラーだけが格納せず、モーター起動音のみがしている。
4,2019年12月30日,長野,ＨＰ,ニッサン,フェアレディＺ,2011年11月,"73,542 Km",CBA-Z34,VQ37,かじ取り,２０１９年１２月,ステアリングロック不良により、エンジンを止め、再始動しようとするとかからない。オンにすらならない。
5,2019年12月30日,神奈川,ＨＰ,アウディ,Ａ４　アバント　クアトロ　Ｓ,2012年10月,"44,300 Km",DBA-8KCDNF,CDN,制動装置,２０１９年１２月,電動パーキングブレーキ操作スイッチのメッキが剥がれ、指先に引っ掛かりを感じる。
6,2019年12月30日,奈良,ＨＰ,ニッサン,デイズルークス,2015年05月,"30,000 Km",DBA-B21A,3B20,保安灯火,２０１９年１２月２９日,ロック解除時に左側電動ドアミラー動かない。車内ボタンでもモーター音はするが動かない。
7,2019年12月29日,北海道,ＨＰ,スバル,レガシィ,2009年08月,"76,000 Km",DBA-BR9,EJ25,保安灯火,２０１５年頃,４か所のパワーウインドウが運転席からの操作で作動しなくなった。
8,2019年12月29日,神奈川,ＨＰ,ニッサン,エルグランド,2012年12月,"73,000 Km",DBA-PE52,VQ35,かじ取り,２０１９年８月,ステアリングを動かすとステアリングポンプからミーミー音が鳴る。
9,2019年12月29日,埼玉,ＨＰ,ニッサン,セレナ,2017年05月,"19,344 Km",DAA-GFC27,MR20-SM24,制動装置,２０１９年１２月,エンジン始動、発進後、電動パーキングブレーキ警告灯及び、ブレーキシステム警告灯が点灯し、パーキングブレーキが作動しなくなった。
10,2019年12月29日,愛知,ＨＰ,トヨタ,プリウスα,2017年03月,"30,000 Km",DAA-ZVW41W,2ZR-5JM,乗車装置,２０１９年に購入時より,動き出す時や、減速時、曲がる時などにおいて、シート（前後スライド、背もたれ角度）がカタカタ動き、体も一緒に動いて運転に集中できない。座席と一緒に体が動くのでアクセルペダル等の踏み込み量が変わってしまう。
