番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年04月30日,大阪,ＨＰ,フォルクスワーゲン,ゴルフハイライン,2017年03月,不明,DBA-AUCPT,CPT,エンジン,２０１９年２月,車庫にいれるために、右後方縦列駐車でバックしていたところ、アクセル操作をしていないのに車が急加速し、右後方の壁に激突した。
2,2019年04月29日,宮城,ＨＰ,スバル,レガシィ,2008年06月,"122,000 Km",CBA-BP5,EJ20,車枠・車体,購入した時点から,ダッシュボードが溶けてベトベトしている。
3,2019年04月29日,愛知,ＨＰ,ＢＭＷ,ミニ　クロスオーバーＤ,2014年11月,"70,000 Km",LDA-XD20F,N47C20A,エンジン,２０１９年４月,一般道路を走行中、突然エンジンが停止した。
4,2019年04月29日,岐阜,24時間電話,スズキ,エブリイ,2010年01月,"121,714 Km",EBD-DA64V,K6A,制動装置,２０１９年４月２９日１３時頃,高速道路を１００ｋｍ／ｈくらいで走行中、ＡＢＳのマーク、サイドブレーキのマークが表示された。
5,2019年04月28日,東京,ＨＰ,スズキ,アルトワークス,2019年01月,"3,650 Km",DBA-HA36S,R06A,制動装置,２０１９年４月２８日,一般道を時速３０ｋｍ程度で走行時、警報音と共に突然強いブレーキが働いた。
6,2019年04月28日,茨城,ＨＰ,ニッサン,ノートｅ－ＰＯＷＥＲ,2019年01月,"2,366 Km",DAA-HE12,HR12-EM57,動力伝達,２０１９年４月２０日,駐車場で車両と車両の間に駐車しようとブレーキペダルをゆっくりあげながらバックしたが、急に加速し左側の車両にぶつかりそうになった。
7,2019年04月28日,大阪,ＨＰ,スズキ,ハスラー,2017年09月,"10,000 Km",DAA-MR41S,R06A-WA04A,エンジン,購入時から,オートクルーズ時、エンジンブレーキで減速しようとパドルシフトでシフトダウンすると、エンジン回転が上昇して加速状態となる。
8,2019年04月28日,鹿児島,ＨＰ,マツダ,デミオ,2014年11月,"50,120 Km",LDA-DJ5FS,S5,排ｶﾞｽ･騒音,最近,ＤＰＦの再生間隔が短くなり、１００ｋｍぐらいで再生がかかる。
9,2019年04月27日,大阪,24時間電話,メルセデス・ベンツ,ＣＬＳ３５０,2012年02月,"42,600 Km",RBA-218359,276,排ｶﾞｽ･騒音,２０１９年２月,ＮＯＸセンサーの不良により、エンジン警告灯が点きっぱなしになった。
10,2019年04月27日,香川,ＨＰ,ダイハツ,タント,2011年12月,"52,900 Km",DBA-L375S,KF,乗車装置,納車時から,運転席ドア（外側・ドアノブ横）ボタンでのロック／アンロックがスムーズにできないことが多い。
11,2019年04月27日,香川,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,タント,2011年12月,"40,000 Km",DBA-L375S,KF,保安灯火,２０１６年頃,助手席側リアドア（スライドドア）の窓が開閉できなくなった。
12,2019年04月26日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,エルフ,1998年02月,"80,000 Km",KC-NPS72LN,4HJ1,車枠・車体,２０１９年１月,荷台下のメインフレーム下側の補強していない部分が折れた。
13,2019年04月26日,宮城,ＨＰ,ニッサン,エクストレイル,2010年07月,"170,000 Km",LDA-DNT31,M9R,動力伝達,２０１９年４月２４日,走行中、２、３速付近で突然ギア抜けが起きる。過去に５回、ギア抜けが起きた。
14,2019年04月26日,岩手,ＨＰ,ニッサン,ルークス,2013年03月,"15,000 Km",DBA-ML21S,K6A,かじ取り,２０１９年４月２４日,ステアリングロックユニットの不良により、駐車場より発進しようとして、エンジンをかけようとして、スタートボタンを押したがエンジンが掛からず、鍵マークが点灯した。
15,2019年04月26日,神奈川,ＨＰ,トヨタ,エスティマ,2009年04月,"76,000 Km",DBA-ACR55W,2AZ,エンジン,２０１７年,３年前から燃費の急激な悪化（９ｋｍ→６ｋｍ）。エンジンオイルが２０００ｋｍ走行で半分以上消費し、エンジンオイルランプが点灯する。オイルを規定量に継ぎ足しても、わずかの期間で再度点灯する。
16,2019年04月26日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,５３０ｅ,不明,不明,CLA-JA20P,不明,車枠・車体,２０１９年４月１９日,給油時、取扱説明書通りに給油口ロックの緊急解除ノブを引こうとしてトランクを開けたが、ノブが備えられていなかった。
17,2019年04月26日,埼玉,ＨＰ,フォルクスワーゲン,ポロ,2018年09月,"3,000 Km",ABA-AWCHZ,CHZ,かじ取り,２０１８年１０月納車後から数回,交差点で一時停止し、右左折するとき、パワーステアリングが効かなくなり、ハンドルが非常に重くなる。
18,2019年04月26日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2018年06月,不明,DAA-MK53S,R06A-WA05A,動力伝達,２０１８年６月,アクセルペダルを踏むと、ガクッと変速ショックが出る。
19,2019年04月26日,栃木,ＨＰ,ニッサン,セレナ,2012年09月,"73,000 Km",DAA-HFC26,MR20-SM23,電気装置,２０１９年４月２５日午後１６時,走行中にエンジン付近よりカタカタと異音が発生。徐々に音が大きくなり、直後にガタンと大きな音がした。その後、警告ランプが２つ点灯し音が静まった。そのまま１０ｋｍ弱走行し自宅に帰宅。エンジンルームを開けて確認すると、オルネーターの軸が折れプーリーがエンジン下部に落ちファンベルトが外れている状態だった。
20,2019年04月26日,静岡,ＨＰ,ニッサン,セレナ,2011年12月,"67,035 Km",DBA-FC26,MR20,電気装置,不明,オルタネーターの不良により、始動時に、エンジンから異音と振動が発生する。
21,2019年04月26日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ボルボ,Ｖ４０,2013年08月,"5,600 Km",DBA-MB4164T,B4164T,燃料装置,２０１９年４月１５日,インジェクターの不良により、エンジンをかけた際に激しい振動が出た。
22,2019年04月26日,広島,ＨＰ,マツダ,アテンザワゴン,2019年04月,270 Km,6BA-GJ5FW,PY,エンジン,購入後から現在も発生,主に、低速時にアクセルペダルを少し踏んで発進する際、エンジンの回転数が上がったり下がったりとむらがあり、急発進する様になる。
23,2019年04月26日,福岡,ﾌﾘｰﾀﾞｲｱﾙ,ＵＤトラックス,コンドル,2017年01月,"172,600 Km",TKG-MK38L,GH5,排ｶﾞｽ･騒音,２０１９年４月１９日,排出ガス浄化装置が働かず、すすが焼けないために、エンジンシステム異常ということで走行不能になった。
24,2019年04月26日,福岡,ﾌﾘｰﾀﾞｲｱﾙ,ＵＤトラックス,コンドル,2017年01月,"172,600 Km",TKG-MK38L,GH5,エンジン,２０１９年４月１９日,点検時、ターボチャージャー全般（ガスケット、スクリュー）、インジェクターに不具合があると言われた。
25,2019年04月25日,岩手,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,アトレー,不明,"101,400 Km",GF-S230G,EF,エンジン,不明,アクセルペダルを操作していないのに、エンジンが全開に吹けたことが有る。
26,2019年04月25日,東京,ＨＰ,マツダ,ＭＰＶ,2008年02月,"36,000 Km",DBA-LY3P,L3,制動装置,２０１８年３月１０日,危険回避の急ブレーキ後、ブレーキが効かなくなる。エアが噛んだようで、ブレーキペダルがスッと奥まで入る。何度エア抜きを実施しても改善しない。
27,2019年04月25日,東京,ＨＰ,ニッサン,セレナ,2015年02月,"20,100 Km",DAA-HC26,MR20-SM23,乗車装置,購入後、３年の１回目の車検が終わった後か,半日くらい時間を空けて運転席のシートに座る時、シートがガクンと下がる。走行中も凹凸路でシート音、がたが発生する。
28,2019年04月25日,東京,ＨＰ,フォルクスワーゲン,ポロ,2009年11月,"55,000 Km",ABA-6RCGG,CGG,動力伝達,２０１９年０４月１５日,走行中に破裂音がし、ＤＳＧメカトロニクスからオイルが漏れたため、車が動かなくなった。
29,2019年04月25日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,リーフ,2016年06月,不明,ZAA-AZE0,EM57,制動装置,不明,駆動バッテリーが満充電付近になると、回生ブレーキが効かなくなる。
