番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年08月31日,山形,ＨＰ,ニッサン,デイズルークス,2014年02月,"23,000 Km",DBA-B21A,3B20,保安灯火,２０１９年８月,左ドアミラーが開かなくなった。
2,2019年08月31日,東京,ＨＰ,ハーレーダビッドソン,ＣＶＯ　ロードグライド,2018年06月,"1,500 Km",2BL-FLL,L,車枠・車体,不明,走行時、直進性能が悪く、車体が左に反れてしまうため、ライディング中は常に右に意識した運転を強いられてしまい体力を奪われ疲労の度合いが通常でない。
3,2019年08月31日,群馬,ＨＰ,トヨタ,アルファード,2008年07月,"120,000 Km",DBA-GGH20W,2GR,車枠・車体,不明,ゴールドパール色塗装の車で、フロントガラス上部のボディ面の塗装が特に外傷も無い部分からシールを剥がすかのように塗装がめくれあがり、下地が見えてしまっている。タッチアップで補修したが、日に日に範囲が広がっている。
4,2019年08月31日,静岡,ＨＰ,カワサキ,Ｎｉｎｊａ　Ｈ２,2016年08月,"17,000 Km",ZXT00N,ZXT00NE,エンジン,２０１９年８月,スーパーチャージャー部にエアクリーナーを固定しているネジが緩んで外れ、インペラに接触して破損した。
5,2019年08月31日,岐阜,ＨＰ,ニッサン,エルグランド,2011年03月,"126,600 Km",DBA-TE52,QR25,動力伝達,２０１８年７月７日と２０１９年８月８日の,ＣＶＴの不良により、高速道路のトンネル内を走行中に突然速度が落ち、アクセルペダルを踏んでも動力が伝わらず、速度が５０ｋｍ／ｈ以下になったため、駐車帯に避難した。
6,2019年08月31日,愛媛,ＨＰ,トヨタ,プリウス,2016年09月,"77,757 Km",DAA-ZVW50,2ZR-1NM,電気装置,２０１９年８月１１日　１２時半頃,発進時加速しなくなる。警告音無し、その時の電池メモリはメモリ１で充電されない。
7,2019年08月30日,宮城,ＨＰ,ニッサン,セレナハイウェイスター,2019年04月,"5,000 Km",DAA-HFC27,HR12-EM57,車枠・車体,購入後２か月ぐらい,新車購入時はパンパーとフェンダーのチリが合っていたが、徐々に隙間が開き、バンパーとフェンダーに段差ができてきた。またバンパーをフロント面から持ち上げると上下動きにガタが有る。
8,2019年08月30日,福島,ﾌﾘｰﾀﾞｲｱﾙ,不明,ハマーＨ３,2005年12月,不明,不明,T6813183,エンジン,不明,ルーフから雨漏りし、コンピューターに浸水してエンジンがかからなくなった。
9,2019年08月30日,福島,ﾌﾘｰﾀﾞｲｱﾙ,ＵＤトラックス,クオン,2013年06月,"560,000 Km",QKG-CG5ZE,GH11,その他,２０１８年９月,エアコンプレッサーのねじが外れ、エアの供給がされなくなったため、エア残量が低下して走行できなくなった。
10,2019年08月30日,福島,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,ギガ,2011年08月,"920,800 Km",LKG-CYJ77A,6UZ1,エンジン,２０１８年,エンジンの不良により、エンジンチェックランプが点灯して、出力が低下する。
