番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2023年12月31日","東京都","ＨＰ","スバル","2019/09","5AA-SKE","フォレスター","16,090 Km","FB20-MA1","保安灯火","２０２３年１２月頃","ルームランプが点灯しないため確認を行ったところ、ルームランプユニットの電球ソケット部分が焼損していた。"
2,"2023年12月31日","茨城県","ＨＰ","マツダ","2015/03","LDA-DJ5FS","デミオ","107,400 Km","S5","乗車装置","２０２０年頃","後席シートベルトが出したきり戻らない。"
3,"2023年12月31日","福島県","ＨＰ","ホンダ","2022/12","6AA-RV6","ＶＥＺＥＬ","17,000 Km","LEC-H5","乗車装置","２０２３年１月及び２０２３年１２月","エンジンはＯＦＦの状態で、パワーテールゲートが勝手に開いていたことがある。"
4,"2023年12月30日","岐阜県","ＨＰ","マツダ","2023/03","3DA-KH3P","ＣＸ－６０","2,650 Km","T3","保安灯火","２０２３年１２月","左折しようとして、左サイドミラーが完全に下向きと内向きになっていることが気づいた。何も見えないので、パニックになり、走行車線を走っていた車と接触してしまった。"
5,"2023年12月30日","山梨県","ＨＰ","マツダ","2017/12","DBA-KF5P","ＣＸ－５","18,100 Km","PY","乗車装置","２０２３年１０月ごろ","使用頻度がほとんどない左右後席のシートベルトが戻らなくなり使用出来なくなった。"
6,"2023年12月30日","宮城県","ＨＰ","マツダ","2016/06","LDA-DK5FW","ＣＸ－３","48,800 Km","S5","乗車装置","２０２３年１２月","運転席側の後席を倒して戻したらシートベルトが戻らなくなった。"
7,"2023年12月30日","徳島県","ＨＰ","ホンダ","2016/02","DBA-RP3","ステップワゴン","136,478 Km","L15B","燃料装置","２０２３年７月、１２月","エンジンチェックランプが点灯した。今年７月にインジェクターの修理をしたが、１２月末に再発した。"
8,"2023年12月29日","滋賀県","ＨＰ","マツダ","2016/01","DBA-CWFFW","プレマシー","80,000 Km","PE","エンジン","２０１７年頃から今まで","信号待ちや停車時にエンストをする。警告表示については出たりでなかったりするため規則性がない。ディーラーでは原因不明でエンジンの全取替を提案されている。"
9,"2023年12月29日","愛媛県","ＨＰ","トヨタ","2014/03","DBA-ZSU60W","ハリアー","112,000 Km","3ZR","車枠・車体","２０２３年１２月２８日","洗車をしようと水をかけただけで天井塗装がペリペリ剥がれ落ち、それ以外の天井塗装も浮いていて剥がれそうなところが多数存在している。"
10,"2023年12月29日","大阪府","ＨＰ","フォルクスワーゲン","2004/04","GH-1TBAG","ゴルフトゥーラン　１．６　ＦＳＩ","101,200 Km","BAG","動力伝達","１０００００ｋｍ超える前","変速ショックがある。"
11,"2023年12月29日","千葉県","ＨＰ","マツダ","2015/01","LDA-DJ5FS","デミオ","107,000 Km","S5","乗車装置","２０２３年８月頃","後席のシートベルトが巻き戻し出来なくなった。"
12,"2023年12月28日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2018/02","DAA-HE12","ノートｅ－ＰＯＷＥＲ","10,500 Km","HR12-EM57","制動装置","２０２３年１２月１８日","私道の下り坂をゆっくり進んでいったが、この際にブレーキが効かず、右前方を電柱にぶつけてしまった。"
13,"2023年12月28日","山口県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2021/08","6AA-GR6","フィット","","LEB-H5","乗車装置","２０２３年１２月２５日","小さい交差点での右折時に、対向車と正面衝突をする事故となったが、エアバッグが開かなかった。"
14,"2023年12月28日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2014/03","DBA-MA15S","ソリオ","92,600 Km","K12B","かじ取り","１～２年前から","ステアリングロックの不良により、エンジンが度々かからなくなる。"
15,"2023年12月28日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","","6AA-ZWR90W","ノア","","2ZR-1VM","制動装置","購入してすぐから","ブレーキがキーキー鳴く。"
16,"2023年12月28日","愛知県","ＨＰ","ＢＭＷ","2012/12","LDA-3D20","ＢＭＷ　３２０ｄ","114,200 Km","N47D20C","排ｶﾞｽ･騒音","２０２３年１２月２５日","車体下部の触媒装置とパイプ接続部分（エンジン側の溶接箇所）が破損（接続パイプが分離）する。同じ車で２回発生している。"
17,"2023年12月28日","静岡県","ＨＰ","昭和","2014/01","ST26105D改","タンクセミトレーラ","","","制動装置","２０２２年６月７日","一般道を走行中、タンクセミトレーラ左後輪より白煙が上がり出火した。"
18,"2023年12月28日","大阪府","ＨＰ","マツダ","2015/02","LDA-DK5FW","ＣＸ－３","59,600 Km","S5","エンジン","２０２３年１２月","アクセルペダルを踏んでも加速が異常に遅い。ディーラーでターボチャージャーの故障と診断された。"
19,"2023年12月27日","富山県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","DAA-MR41S","ハスラー","40,000 Km","R06A-WA04A","燃料装置","２０２３年１２月","走行中に突然エンジンが止まった。ディーラーで診断した結果、燃料ポンプ故障と診断された。"
20,"2023年12月27日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2009/10","CBA-L375S","タント","79,800 Km","KF","エンジン","","セルは回るが始動性が悪い。"
21,"2023年12月27日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2009/10","CBA-L375S","タント","79,800 Km","KF","保安灯火","","左後席窓ガラスが開かない。"
22,"2023年12月27日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2009/10","CBA-L375S","タント","79,800 Km","KF","車枠・車体","","高速時車体がぶれる。"
23,"2023年12月27日","岩手県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2013/03","DBA-212247C","Ｅ２５０ステーションワゴン","137,000 Km","212247C","エンジン","２０２３年１１月","カムアジャスターのずれにより、エンジン警告灯が点灯し、エンジンがかかりにくくなった。"
24,"2023年12月27日","千葉県","ＨＰ","マツダ","2023/01","3CA-KH3R3P","ＣＸ－６０","11,000 Km","T3-MR","動力伝達","２０２３年４月頃","トランスミッションのギクシャクを解消するためのリプログラムを適用後、エンジン始動後に「ボン」と異音と衝撃が発生するようになり、その後、数か月経過した後、５速から６速へシフトアップ時に「プォン」の様な異音が発生する様になった。"
25,"2023年12月27日","群馬県","ＨＰ","ホンダ","2014/09","DBA-JF1","Ｎ－ＢＯＸ","89,105 Km","S07A","エンジン","２０２３年４月頃","走行中、ブレーキペダルを踏んで停止するとエンストする。また、アイドリングストップから復帰せずエンストする。"
26,"2023年12月27日","福岡県","ＨＰ","ダイハツ","2007/02","CBA-L350S","タント","189,900 Km","EF","車枠・車体","数年前から多発","ルーフレール下の溶接部に亀裂が入り雨漏れが発生する。"
27,"2023年12月27日","兵庫県","ＨＰ","ニッサン","2019/08","DAA-GFC27","セレナ","100,000 Km","MR20-SM24","制動装置","４年１０万数ｋｍで発生","パーキングブレーキ警告灯とブレーキ警告灯が点滅した。"
28,"2023年12月27日","北海道","ＨＰ","マツダ","2014/11","LDA-DJ5FS","デミオ","179,300 Km","S5","エンジン","２０２１年１２月頃","減速してエンジンの回転数が下がってくるとエンジン警告灯、ＤＳＣ警告灯、ＳＢＳ警告灯が点灯し、エンジン及びタービンが回らなくなる。"
29,"2023年12月26日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2011/10","ABA-S321G","アトレーワゴン","128,300 Km","KF","動力伝達","","エンジンが温まるまでの間、加速をしていくときに意図しない減速をすることがある。"
30,"2023年12月26日","宮崎県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2018/06","DAA-HE12","ノートｅ－ＰＯＷＥＲ","18,000 Km","HR12-EM57","エンジン","","スタートボタンを押してもエンジンが始動しなかったり、クルーズコントロールを使用中、機能が突然オフになる。"
31,"2023年12月26日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2011/10","ABA-S321G","アトレーワゴン","128,300 Km","KF","電気装置","","バッテリーが最短２～３か月くらいで上がる。"
