番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年05月31日,千葉,ＨＰ,ＢＭＷ,３２０Ｄ,2017年06月,"40,000 Km",LDA-8C20,B47D20A,エンジン,２０２０年５月３０日,自宅前で洗車後、エンジンをかけようとしたところ、セルモーターはまわるもののエンジンがかからなくなった。
2,2020年05月31日,愛知,ＨＰ,スズキ,ソリオ,2016年06月,"33,000 Km",DAA-MA36S,K12C-WA05A,制動装置,２０１９年４月,リアーブレーキよりギーギーと異常音が発生する。ブレーキが甘い。
3,2020年05月31日,岐阜,ＨＰ,ニッサン,エルグランド,2009年09月,"75,000 Km",CBA-NE51,VQ35,走行装置,２０２０年３月頃から,右フロントハブベアリングの不良により、走行中に異音が出るようになった。
4,2020年05月30日,宮城,ＨＰ,いすゞ,フォワード,2012年06月,"55,000 Km",LKG-FTR90T2 改,4HK1,制動装置,２０２０年５月２８日,ブレーキロッドとブレーキバックプレートの防水ブーツの間からホイールシリンダー内に水が混入し、ブレーキピストンがサビで固着してブレーキが引きずりを起こしたため、パーキングブレーキをかけたところ、解除できなくなり走行できなくなった。
5,2020年05月30日,富山,ＨＰ,ホンダ,ＶＥＺＥＬハイブリッド,2015年06月,不明,DAA-RU3,LEB-H1,エンジン,新車購入３年後の初回車検の直後,スマートキーシステムエラーが表示され、エンジンスタート・エンジンストップの操作が不能になった。
6,2020年05月30日,東京,ＨＰ,シトロエン,Ｃ４ピカソ　シャイン,不明,"14,000 Km",ABA-B785G01,不明,燃料装置,２０２０年５月２４日１４時,高速道路を走行中に、警告音と共に「エンジン故障　要修理」といった旨のメッセージが表示された。同時にエンジンからブルブルといった通常とは異なる振動が断続的に発生。その後、アクセルペダルを踏み込んでも加速せずにゆっくり減速していったため、路肩に停止させた。
7,2020年05月30日,愛知,ＨＰ,スバル,フォレスター,2014年05月,"66,000 Km",DBA-SJ5,FB20,制動装置,２０２０年５月頃,駐車して数時間後にエンジン始動するときのブレーキペダルの踏みごたえが固い。
8,2020年05月30日,大阪,ＨＰ,ホンダ,フィット,2015年02月,不明,DBA-GK3,L13B,エンジン,２０２０年,信号が青になり発車しようとしたところ、エンジンが止まった。
9,2020年05月29日,長野,ＨＰ,スズキ,キャリイ,2014年08月,"23,000 Km",EBD-DA16T,R06A,緩衝装置,不明,前輪２本のショックアブソーバーのオイル抜けにより、異音が発生した。
10,2020年05月29日,東京,ＨＰ,ドゥカティ,スクランブラー,不明,不明,EBL-K102,不明,車枠・車体,２０１９年７月,フロントフェンダーを支えるステーに亀裂が入っていた。
11,2020年05月29日,埼玉,ＨＰ,スズキ,ワゴンＲハイブリッド,2018年08月,"11,000 Km",DAA-MH55S,R06A,エンジン,２か月前,エンジン始動直後やアクセルオンの際に、「カリカリ」、「キリキリ」というような異音が発生する。
12,2020年05月29日,茨城,電話,マツダ,ＣＸ－５,2018年03月,"39,000 Km",6BA-KF5P,PY,動力伝達,２０２０年,アンダーカバーを外したところ、オイル漏れの形跡があったのでディーラーへ持ち込んだところ、トランスファーより少量のオイル漏れがあると判明した。
13,2020年05月29日,山梨,電話,三菱,ふそうスーパーグレート,2015年09月,"300,000 Km",QKG-FV60VX,6R10,エンジン,２０１９年７月１日,走行中にエアコン部分から発煙し、その後キャブが全焼した。
14,2020年05月29日,愛知,ＨＰ,トヨタ,カローラフィールダー,2010年03月,"68,302 Km",DBA-NZE141G,1NZ,車枠・車体,２０２０年４月３０日,ボンネットの塗装が剥がれた。
15,2020年05月29日,愛知,ＨＰ,フォルクスワーゲン,ゴルフ,2016年03月,"148,000 Km",DBA-AUCPT,CPT,車枠・車体,２０２０年４月２９日,有料道路走行中にクラッチ滑りのような現象で加速不良となり、エンジンルームから出火し全焼した。
16,2020年05月29日,岐阜,ＨＰ,メルセデス・ベンツ,Ｃ２００　ステーションワゴン,2018年08月,"13,000 Km",DAA-205277,264-EM0018,車枠・車体,２０２０年４月１１日,走行中にボンネット左あたりから白い煙が出た。停車してメーカーのＳＯＳに連絡をしているうちに発火した。
17,2020年05月29日,兵庫,ＨＰ,日野,デュトロ,2002年06月,"310,000 Km",KK-XZU420M,J05C,動力伝達,車検時に気が付いたため不明,車検の点検時、センタードラム固定のロックナットがアウトプットシャフトごと折れて外れているのを発見した。
18,2020年05月29日,福岡,ＨＰ,トヨタ,カローラルミオン,2008年12月,"76,030 Km",DBA-ZRE152N,2ZR,動力伝達,２０２０年５月１５日,発進時の加速に異常があり、Ｎ→Ｄ、Ｎ→Ｒシフト時のタイムラグが大きい。スロットルボデー清掃・ＥＣＵ初期化を実施したが症状が改善しない。
19,2020年05月29日,不明,電話,その他,ブレイズＥＶトライク,2020年05月,不明,不明,不明,電気装置,不明,雨水対策がされていない。
20,2020年05月29日,不明,電話,その他,ブレイズＥＶトライク,2020年05月,不明,不明,不明,緩衝装置,購入してすぐ,サスペンションと車体が当たる。
21,2020年05月29日,不明,電話,その他,ブレイズＥＶトライク,2020年05月,不明,不明,不明,制動装置,不明,ハンドル末切り時にブレーキホースがモーターに当たる。
