番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年03月31日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,その他,ユピテル　エンジンスターターＶＥ－Ｅ７７０,不明,不明,VE-E770,不明,装置その他,購入してからずっと,エンジンスターターのリモコンが、頻繁にポケットの中で勝手にエンジン始動の信号を飛ばしてしまう。
2,2020年03月31日,栃木,ＨＰ,ニッサン,リーフ,2016年03月,"96,000 Km",ZAA-AZE0,EM57,制動装置,２０２０年０３月３０日,ブレーキペダルを踏んだところ、すべてのインジケータが点灯し、ガガガと異常な作動音がした。ブレーキは全く効かず、ブレーキペダルを強く踏み込むと徐々に減速し、交差点ギリギリで停車。ペダルを強く踏んだ際にＡＢＳが作動した。
3,2020年03月31日,愛知,ＨＰ,アウディ,Ａ４　アバントクワトロ,2010年11月,"92,768 Km",ABA-8KCDNF,CDN,エンジン,８９０００ｋｍ頃,バイパスの出口を降りたところで突然複数の警告が点灯したので路肩に停車し、エンジンを切った。２～３分して再始動したらエンジンが激しく振動し始めた。整備工場にで点検を受けたところ、タイミングチェーンの伸びと診断された。
4,2020年03月31日,愛知,ＨＰ,アウディ,Ａ４　アバントクワトロ,2010年11月,"92,768 Km",ABA-8KCDNF,CDN,エンジン,８７０００ｋｍ頃,オイルの減りが尋常でなく、オイル警告灯が点灯して１Ｌ補充をしても、３００ｋｍの走行で再点灯した。
5,2020年03月31日,山口,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,エクストレイルハイブリッド,2017年01月,不明,DAA-HNT32,MR20-RM31,動力伝達,２０１９年１１月,発進後、８ｋｍ／ｈ程度になると、子犬が鳴いたかのような異音が鳴る。
6,2020年03月31日,佐賀,ＨＰ,ＢＭＷ,ミニクロスオーバー,2014年12月,不明,LDA-ZB20,N47C20A,エンジン,２０２０年３月,走行中にエンジン内部が破損して停止した。
7,2020年03月30日,福島,ＨＰ,ニッサン,サファリ,2005年10月,"182,000 Km",TA-WFGY61,TB48,その他,２０１５年初め,燃料計が満量か満量近くで止まったままになる。燃料タンクゲージユニットを交換するが改善しない。
8,2020年03月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,スバル,フォレスター,2012年08月,"73,500 Km",DBA-SHJ,FB20,エンジン,不明,バルブスプリングのリコール作業時、車両配線の集中カプラーの接続を不適切に行ったため、接触不良が発生し、約２か月後の走行中に突然警告灯が点灯し、ガタガタする不具合が発生した。
9,2020年03月30日,大阪,ＨＰ,ダイハツ,タント,2010年12月,"47,000 Km",DBA-L375S,KF,車枠・車体,本日発見,リアゲート開口部の中ほどの、フレーム鉄板継ぎ目に錆を確認した。ウェザーストリップを触るとその付近に水分を確認した。屋根付き車庫駐車です。
10,2020年03月30日,大阪,ＨＰ,メルセデス・ベンツ,Ａ１８０,2012年12月,"47,000 Km",DBA-176042,270,エンジン,２０２０年３月,サーモスタットの不良により、走行中にメーターパネル内の警告灯が点灯した。
11,2020年03月30日,兵庫,ＨＰ,マツダ,ＣＸ－５,2013年04月,"124,000 Km",LDA-KE2AW,SH,エンジン,２０２０年３月,オーバーヒート症状が起こり、リザーブタンクへ冷却水の吹き返しが発生した。水温警告灯は点灯せず、臭いとタンク目視で発見に至り、１．５Ｌほどの冷却水が減っていた。
12,2020年03月30日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ｉＱ,2010年08月,"60,500 Km",DBA-KGJ10,1KR,かじ取り,２０２０年３月,パワーステアリングのリコール作業を済ませてある車両で、緩いカーブを走行中に突然ハンドルが重くなり、２秒程度後に復旧するという現象が発生した。
13,2020年03月30日,岡山,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2018年03月,不明,DBA-JF4,S07B,制動装置,新車登録から半年ぐらいあと、,高速道路走行中に勝手に急ブレ－キがかかる。一時停止の停止線で止まるため、ブレーキペダルを踏むとカチカチで踏めず、止まれない。
14,2020年03月30日,岡山,ＨＰ,マツダ,ＣＸ－３０,2020年03月,200 Km,5BA-DMEP,不明,制動装置,２０２０年３月２４日,自動車専用道路に合流中、本線に入り、加速時に危険性がないのに「自動ブレーキ」が作動した。（後続車と追突しそうになる）
15,2020年03月30日,愛媛,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,１１６ｉ,2012年09月,"30,000 Km",DBA-1A16,N13B16A,保安灯火,２０１９年９月～１０月ごろ,左前照灯に水が浸入した。
16,2020年03月30日,宮崎,ﾌﾘｰﾀﾞｲｱﾙ,アウディ,Ａ１,2013年03月,"57,000 Km",DBA-8XCAX,CAX,動力伝達,２０２０年３月,ＤＳＧの不具合により、エンジンはかかるがバックしなくなった。
17,2020年03月29日,栃木,ＨＰ,トヨタ,プリウス,2012年02月,"80,400 Km",DAA-ZVW30,2ZR-3JM,制動装置,２０２０年１月２８日,交差点でブレーキペダルを踏んだところ、減速せず、ブレーキペダルを踏み増し後、数秒後にやっとブレーキが効いた。
18,2020年03月29日,静岡,ＨＰ,ニッサン,デイズ　ハイウェイスターＧ,2014年12月,"22,608 Km",DBA-B21W,3B20,保安灯火,２０２０年３月２５日,左ドアの電動格納式ミラーが、ドアロック閉時に自動格納せず、モーターの空回り音がする。
19,2020年03月28日,埼玉,24時間電話,ニッサンＭＴ,マーチ　ＮＩＳＭＯ,2014年03月,"20,950 Km",DBA-K13,HR12,動力伝達,２０１８年３月２５日,ＣＶＴの不具合により、アクセルペダルを踏み込んでもエンジンがふけ上がらずに減速した。
20,2020年03月28日,滋賀,ＨＰ,カワサキ,Ｚ１２５Ｐｒｏ,不明,不明,2BJ-BR125H,不明,電気装置,２０２０年３月,車両左側の電源ハーネスがフレームとの干渉により断線、漏電し、イグニッションキーをオンにしても電源が入らなくなった。
21,2020年03月28日,広島,ＨＰ,トヨタ,ヴァンガード,2008年11月,"233,637 Km",DBA-ACA38W,2AZ,エンジン,２０１５年から２０２０年３月に至るまで,エンジンオイルが走行約１０００ｋｍで約１Ｌ減る。ピストンリングの不具合を修理しても変わらない。
22,2020年03月27日,神奈川,ＨＰ,スズキ,ソリオ,2015年06月,"48,000 Km",DBA-MA15S,K12B,動力伝達,２０２０年３月２６日,駐車後、Ｄレンジに入れて発進しようとした際、異音がしてそのまま後退して電柱に衝突した。
23,2020年03月27日,群馬,ＨＰ,ダイハツ,ロッキー,2020年01月,"1,300 Km",5BA-A210S,1KR,エンジン,納車（２０２０年１月２９日）から１週間位,エンジンを始動しようとしてスタートボタンを押したところ、エンジン始動まで７秒ほどスターターが苦しいほど回り続けようやくエンジンが始動した。また、エンジン始動後エアコンのコンプレッサーが動作後に「ポン」とエンジンルーム付近から破裂音がした。
24,2020年03月27日,栃木,ＨＰ,マツダ,ＣＸ－５,2013年07月,"56,815 Km",LDA-KE2AW,SH,その他,２０２０年１月,リアビークルモニタリングシステム（ＲＶＭ）が作動せず、後方の車を検知しなくなった。
25,2020年03月27日,福岡,ＨＰ,ニッサン,ＮＶ３５０キャラバン,2017年07月,"147,000 Km",LDF-VW2E26,YD25,車枠・車体,今月,クーラーコンプレッサーよりガス漏れし、保冷庫が冷えなくなった。
26,2020年03月26日,長野,24時間電話,ニッサン,セレナ,2013年04月,"57,570 Km",DAA-HFC26,MR20-SM23,保安灯火,２０２０年３月ごろ,車検の見積もり時、整備士からハイマウントストップランプの中央に亀裂が入っていて水が浸入していると指摘された。
27,2020年03月26日,茨城,ＨＰ,三菱,ふそうキャンター,2015年11月,"336,000 Km",TKG-FEB50,4P10,エンジン,２０２０年３月１０日,高速道路を走行中に突然エンジンが吹けなくなったため、おかしいと思ったらエンジンストールしていた。警告灯や警報音はまったくなかった。キーをＯＦＦにして再始動後は問題なく走れた。
28,2020年03月26日,茨城,ＨＰ,三菱,ふそうキャンター,2014年03月,"350,000 Km",TKG-FEB50,4P10,エンジン,２０２０年３月１９日,高速道路を走行中に突然エンジンが吹けなくなったため、おかしいと思ったらエンジンストールしていた。警告灯や警報音はまったくなかった。キーをＯＦＦにして再始動後は問題なく走れた。
29,2020年03月26日,静岡,ＨＰ,ニッサン,エクストレイル,2006年02月,"73,000 Km",CBA-T30,QR20,走行装置,２０２０年１月頃,前輪プロペラシャフト・ベアリング付近から異音が発生した。
30,2020年03月26日,三重,ＨＰ,マツダ,デミオ,2015年01月,"44,000 Km",DBA-DJ3FS,P3,かじ取り,２０２０年３月,発車直後にパワーステアリング警告灯が点灯し、自走できないほどハンドルが重くなった。
31,2020年03月26日,広島,ＨＰ,フォルクスワーゲン,シャラン,2014年07月,"32,828 Km",DBA-7NCTH,CTH,走行装置,２０１９年１２月,左後輪のスピードセンサーの不良により、メーターパネルの警告灯が点灯した。
