番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年08月31日,福島,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ピクシスエポックＸＳＡⅢ,2019年10月,不明,5BA-LA350A,KF,エンジン,不明,エンジン始動時にザザザッという異音がする。ディーラーにてセルモーターを交換したが、さらに悪化した。
2,2020年08月31日,青森,ＨＰ,スバル,レガシィセダン,2012年03月,"25,800 Km",DBA-BMM,FB25,制動装置,２０２０年８月,エンジン始動時にブレーキペダルが女性では踏み込めないほど重くなる。
3,2020年08月31日,長野,ＨＰ,スバル,フォレスター,2010年09月,"114,000 Km",DBA-SH5,EJ20,乗車装置,不明,運転席側バックルプリテンショナーの配線コネクタの不具合により、走行中にエアバッグ警告灯が点灯した。
4,2020年08月31日,神奈川,ＨＰ,ＢＭＷ,ミニクーパー,2014年10月,"25,155 Km",DBA-XM15,B38A15A,電気装置,２０２０年７月,エンジンルーム内の右側部分の配線とウォッシャー液の配管を束ねているメインハーネス内でウォッシャー液が漏れ、配線が腐食してショートのような状態になったため、光軸調整ができない、ウィンカーが正しく点滅しない、アクセルペダルを踏んでいないのに急発進のように勝手にダッシュし、多数の警告灯が点灯した。
5,2020年08月31日,千葉,ＨＰ,マツダ,デミオ,2016年01月,"74,000 Km",LDA-DJ5FS,S5,エンジン,２０２０年８月３１日,一般道を走行中にエンジンからいつもと違う音を感じ、加速感が悪くなった。その後、予熱表示灯が点滅し、エンジンチェックランプが点灯した。
6,2020年08月31日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,Ｃ２００,2011年01月,"115,600 Km",DBA-204248,271,保安灯火,不明,エアバッグのリコールでハンドルのエアバッグユニットを交換したところ、それ以降からホーンの操作感が著しく固くなり、両手で押さないと鳴らせないほどになった。
7,2020年08月31日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,ポロ,2008年03月,"36,000 Km",ABA-9NBUD,BUD,制動装置,２０２０年８月,駐車時の切り返しや、交差点の右折待ちで順番を詰めていく際などに、ブレーキペダルの踏み代が高くなり、効かなくなる。
8,2020年08月31日,三重,24時間電話,トヨタ,ヴィッツ,2015年02月,"21,458 Km",DBA-NSP130,1NR,車枠・車体,２０２０年７月６日,コンビニの駐車場でブレーキペダルを踏んだ時、膝がハンドルボックスに当たったため、足が滑ってアクセルペダルを踏んでコンビニの壁に突っ込む事故を起こした。
9,2020年08月31日,大阪,ＨＰ,スバル,ＸＶ,2013年12月,"99,000 Km",DBA-GP7,FB20,制動装置,２０１９年９月ごろより,ブレーキ倍力装置の不具合により、エンジン始動時にブレーキペダルが重くなる。
10,2020年08月31日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ヴォクシー,2020年03月,不明,DBA-ZRR80W,3ZR,エンジン,購入直後から,実走行燃費が悪く、５～６ｋｍ／Ｌくらいしか走らない。
11,2020年08月31日,鹿児島,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2020年06月,不明,6BA-JF3,S07B,エンジン,不明,新車納車から１か月程度であるにも関わらず、燃料系統が汚れて不調を起こし、カタカタと車体が揺れるような症状が出るようになった。
