番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年09月30日,福島,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノート,2014年01月,"89,100 Km",DBA-E12,HR12,動力伝達,不明,４ＷＤのシステムコントロールユニットの不良により、４ＷＤの警告が点灯し、エンジンが吹けなくなった。
2,2020年09月30日,青森,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,プリウス,2016年01月,"40,500 Km",DAA-ZVW55,2ZR-1NM-1MM,保安灯火,不明,テールレンズの内側が曇って白くなった。
3,2020年09月30日,富山,ＨＰ,カワサキ,Ｎｉｎｊａ１０００,2017年10月,"11,000 Km",ZXT00W,ZRT00DE,保安灯火,不明,ユーザー車検の際の事前点検にて、制動灯（ブレーキランプ）レンズが衝突、その他外傷を与えていないのにひび割れているのを発見した。
4,2020年09月30日,東京,ＨＰ,三菱,ふそうエアロスター,2010年11月,"409,000 Km",LKG-MP37FK,6M60,その他,２０２０年９月２８日,ホイルパークリレーバルブがらエアが漏れたため、バス停留所にてエア圧力が低下し警告音が鳴った。
5,2020年09月30日,東京,ＨＰ,三菱,ふそうエアロスター,2012年01月,"295,000 Km",LKG-MP37FK,6M60,その他,２０２０年９月２６日,エアコンプレッサー内で生成された異物がエアドライヤのパージバルブに堆積し、開きっぱなしとなり、圧縮空気が大気放出したため、バス停留所にてエア圧力が低下し、警告音が鳴った。
6,2020年09月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ジャガー,ＸＥ,2016年01月,"10,000 Km",CBA-JA2GA,204PT,走行装置,不明,新車で装着されているタイヤにおいて、右前輪ショルダー部のトレッドが一部剥がれた。
7,2020年09月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,アトレーワゴン,2020年03月,不明,ABA-S321G,KF,エンジン,不明,エンジン始動時、アクセルもブレーキも操作していないのにエンジン回転が上がった。一度エンジンを止めて再始動をしてみたが、同じようにエンジンがふけ上がった。
8,2020年09月30日,神奈川,電話,トヨタ,クラウンマジェスタ,2012年02月,"240,000 Km",DBA-URS206,1UR,エンジン,毎年夏（６月～９月）,減速中にもかかわらず、エンジンの回転数が急に上がる
9,2020年09月30日,神奈川,ＨＰ,ＢＭＷ,２１８ｄグランツアラー,2017年05月,"15,500 Km",LDA-2E20,B47C20A,乗車装置,２０２０年９月３０日,信号待ちの時、突然リアゲートが開いた。
10,2020年09月30日,千葉,ＨＰ,ホンダ,ＶＥＺＥＬ　ハイブリッド,2016年11月,"35,000 Km",DAA-RU3,LEB-H1,車枠・車体,２０２０年８月１日,通常の市街地走行にて、屋根中央部の両サイド（ドアの上）にエクボのような凹みが発生した。
