番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年07月31日,宮城,ＨＰ,ルノー,トゥインゴ３,2017年04月,"13,203 Km",DBA-AHH4B,H4B,かじ取り,２０２０年５月１日,パワーステアリングギアボックスの不良により、ステアリング操作時に＂カツンカツン＂と結構な音がし、その音は日々大きくなっている。
2,2020年07月31日,山形,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－５,2019年06月,不明,6BA-KFEP,PE,制動装置,購入して半年ごろから,運転中に大量の警告灯が点灯して、エンジン不調、変速不良などの症状が出る。走行中に前方に何も異状がないのに関わらず、勝手にブレーキがかかったこともある。
3,2020年07月31日,富山,ＨＰ,スバル,インプレッサスポーツ,2014年06月,"33,986 Km",DBA-GP7,FB20,制動装置,２０２０年７月２５日,ブレーキブースターの不良により、エンジン始動時にブレーキペダルが重くなる。
4,2020年07月31日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,アルトエコ,不明,不明,DBA-HA35S,R06A,動力伝達,不明,ＣＶＴの不具合により、徐行運転時にカクンという挙動が発生する。
5,2020年07月31日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうキャンター,2015年06月,"191,900 Km",TKG-FBA20,4P10,排ｶﾞｽ･騒音,購入初年度から,ＤＰＦが頻繁に詰まる。マフラー交換などの修理を受けるが、１年もすると再発する。
6,2020年07月31日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうキャンター,2015年06月,"133,900 Km",TKG-FBA20,4P10,排ｶﾞｽ･騒音,購入初年度から,ＤＰＦが頻繁に詰まる。マフラー交換などの修理を受けるが、１年もすると再発する。
7,2020年07月31日,群馬,ＨＰ,トヨタ,ランドクルーザープラド,2002年10月,"89,600 Km",CBA-TRJ120W,3RZ,車枠・車体,２０２０年７月,ホワイトパールクリスタルシャイン色塗装の車で、ルーフ中央の塗装がシールを剥がすようにきれいに剥がれていた。
8,2020年07月31日,静岡,ＨＰ,ＢＭＷ,Ｘ５　ｘＤｒｉｖｅ３５ｄ,2012年12月,"56,000 Km",LDA-ZW30,N57D30A,排ｶﾞｽ･騒音,２０１５年１１月～２０２０年８月,Ａｄｂｌｕｅシステム故障により、メーターパネルに警告が表示された。ＮＯｘセンサーの交換をしたが、不具合が再発し、Ａｄｂｌｕｅタンクとセンサー交換を求められている。
9,2020年07月31日,岡山,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,エスティマ,不明,"200,000 Km",DBA-GSR55W,不明,電気装置,２０２０年７月２４日,発電機の故障により、交差点から発進時にエアバッグのランプが点灯し、その後にハンドルがロック状態になり、惰性で路肩に停車した。
10,2020年07月30日,宮城,ＨＰ,トヨタ,プリウスＰＨＶ,2017年04月,"49,900 Km",DLA-ZVW52,2ZR-1NM-1SM,エンジン,２０２０年７月２２日,公道の最高速が１２０ｋｍ／ｈとなるのにクルーズコントロールが１１５ｋｍ／ｈまでしか設定できない。
11,2020年07月30日,長野,ＨＰ,ルノー,ルーテシアＲＳ,2014年11月,"65,000 Km",ABA-RM5M,M5M,動力伝達,２０２０年７月１５日,一般道を一定速で走行中に突如ギアが５速から２速になり、警告灯が点灯するとともに駆動力を失い、惰性で路肩に流れ着いた。
12,2020年07月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,エルグランド,不明,不明,DBA-TE52,不明,かじ取り,２０１９年１０月、２０２０年７月２８日,パワーステアリングの不良により、カーブでハンドルが切れなくなり、対向車線にはみ出した。ディーラーで油漏れと診断されたが、油を補充しただけだったようで、再発した。
13,2020年07月30日,神奈川,ＨＰ,スズキ,スイフト　スポーツ,2017年09月,"39,000 Km",CBA-ZC33S,K14C,制動装置,２０２０年６月２０日（発見した日）,リアブレーキパッドが偏摩耗し、キャリパースライドアンカーピンのガタが大きくなった。
14,2020年07月30日,神奈川,ＨＰ,ニッサン,デイズ,2015年01月,"30,300 Km",DBA-B21W,3B20,保安灯火,２０２０年７月,助手席側ドアミラーが格納されなくなった。
15,2020年07月30日,千葉,ＨＰ,ニッサン,エルグランド,2011年02月,"87,753 Km",DBA-TE52,QR25,かじ取り,２０２０年７月２６日,走行中ギュンと言う音がして、パワーステアリングが効かなくなったため、ハンドルが極度に重くなり回らなくなった。
16,2020年07月30日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,カワサキ,ＺＲＸ１２００Ｒ,2007年07月,"10,700 Km",BC-ZRT20A,ZRT20AE,動力伝達,不明,ジェネレーターチェーンが伸びて、クラッチカバーに当たる。
17,2020年07月30日,茨城,ﾌﾘｰﾀﾞｲｱﾙ,ルノー,カングー,2007年07月,"111,400 Km",ABA-KCK4M,K4M,エンジン,不明,プラグのコードの蛇腹の被覆部が粉々になり、絶縁不良になったため、エンジンがかからなくなった。
18,2020年07月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうスーパーグレート,2019年09月,"32,000 Km",2RG-FP74HER,6R20,緩衝装置,２０２０年,敷地内に停車中にロアアームが破断した。
19,2020年07月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうスーパーグレート,不明,不明,2RG-FP74HER,不明,その他,不明,車間距離センサーが故障した。５回ほど部品を交換したが直らなかった。
20,2020年07月30日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,ＧＬＡクラス,2017年03月,"57,400 Km",DBA-156942,270,車枠・車体,不明,雨天時に、運転席ドア側の柱から耳元で雨の流れる音がする。
21,2020年07月30日,兵庫,ＨＰ,ダイハツ,ムーヴ,2011年11月,"60,000 Km",DBA-LA100S,KF,電気装置,２０２０年７月２７日,点火プラグの不具合により、突然エンジン警告灯が点灯し、大きな音と振動と同時に安定した走行が不可能になる。
22,2020年07月30日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ストリーム,2007年04月,"52,400 Km",DBA-RN6,R18A,燃料装置,２０２０年７月上旬,燃料ポンプの蓋部分から燃料が漏れたため、給油時にガソリン臭がするようになった。
23,2020年07月30日,福岡,電話,ニッサン,セレナ,2012年11月,"46,700 Km",DAA-HFC26,MR20-SM23,エンジン,２０２０年,先日、信号で停車中、アイドリングストップが作動してエンジンが停止して、その後、信号が青になったので再出発しようとしたらエンジンがかからなかった。
24,2020年07月30日,鹿児島,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2015年02月,"41,400 Km",DBA-MK32S,R06A,保安灯火,不明,左ドアミラーが開閉しなくなり、走行時に開いた状態で維持できなくなった。
25,2020年07月29日,北海道,ＨＰ,ニッサン,デイズハイウェイスター,2013年08月,"103,000 Km",DBA-B21W,3B20,保安灯火,２０２０年７月２８日,左側ドアミラーがモーターの音はするものの、閉まらない。
26,2020年07月29日,秋田,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,ムーヴ　カスタムＸ,2007年02月,"115,800 Km",DBA-L185S,KF,エンジン,２０２０年７月１１日,給油のためにエンジンを停止し、作業を終えて再始動しようとしたところ、エンジンがかからず、盗難防止のロックがかかったような状態になり、レッカー搬送する事態になった。
27,2020年07月29日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ヴェルファイア,2020年01月,880 Km,6AA-AYH30W,2AR-2JM-2FM,制動装置,２０２０年５月２３日、７月９日,歩行者や自転車が現れた場合、ブレーキペダルが固くなり踏み込めない状態になったことがある。
28,2020年07月29日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,エブリイ,2010年05月,"40,700 Km",EBD-DA64V,K6A,エンジン,不明,ラジエーターキャップの不良により、冷却水がエンジン内で不足し、オーバーヒートした。
29,2020年07月29日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,カワサキ,ＺＲＸ１２００Ｒ,2008年03月,"13,600 Km",BC-ZRT20A,ZRT20AE,エンジン,不明,始動時にエンジン部から異音がして、確認したところ、ジェネレーターチェーンがクラッチカバーに干渉して傷が付いていた。
30,2020年07月29日,埼玉,ＨＰ,ＢＭＷ,Ｘ５　ｘｄｒｉｖｅ　３５ｄ,2014年02月,"62,000 Km",LDA-ZW30S,N57D30A,排ｶﾞｽ･騒音,２０２０年５月,ＳＣＲキャタライザーの故障により、走行中にエンジン警告灯が点灯。アドブルーシステム故障のエラーメッセージが表示され、残走行距離８００ｋｍ走ると、エンジン始動不可の表示が出た。
31,2020年07月29日,埼玉,ＨＰ,ＢＭＷ,Ｘ５　ｘｄｒｉｖｅ　３５ｄ,2014年02月,"62,000 Km",LDA-ZW30S,N57D30A,排ｶﾞｽ･騒音,２０２０年５月,ＳＣＲキャタライザーの故障により、走行中にエンジン警告灯が点灯。アドブルーシステム故障のエラーメッセージが表示され、残走行距離８００ｋｍ走ると、エンジン始動不可の表示が出た。
32,2020年07月29日,愛知,ＨＰ,ポルシェ,マカン,2015年11月,"27,000 Km",ABA-95BCNC,CNC,動力伝達,２０１８年１０月,トランスファーの不良により加速時に変速ショックが生じる。
33,2020年07月29日,静岡,ＨＰ,三菱,アイ,2007年03月,"141,500 Km",CBA-HA1W,3B20,エンジン,２０２０年７月２５日,交差点の右折時に、減速するためアクセルペダルからブレーキペダルに踏み変えたが、アクセルペダルが戻らず逆にエンジン回転が上がってしまい、曲がりきれずに交差点の角のフェンスに衝突した。
34,2020年07月29日,大阪,ＨＰ,メルセデス・ベンツ,ＡＭＧ　Ｃ６３Ｓ,2017年04月,"12,210 Km",CBA-205087,不明,保安灯火,２０２０年７月,ヘッドライト内の結露により、内部回路に不具合が発生し、ヘッドライトが点灯しなくなった。メーターパネルに故障表示が出た。
