番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年11月30日,東京,ＨＰ,プジョー,５００８ＧＴライン　ブルーＨＤ,2020年05月,"1,000 Km",LDA-P87AH01,AH01,電気装置,２０２０年６月１日,車が停止する際、停止後１秒後にフロントにある衝突センサーが障害物は何も無いのにもかかわらず反応し、車内のモニターに異常音がなる。
2,2020年11月30日,埼玉,ＨＰ,トヨタ,ヤリスクロス,2020年09月,"1,200 Km",6AA-MXPJ10,M15A-1NM,電動機(モーター),２０２０年１１月２５日,少しキックダウンしてパワーが落ちた。ディスプレイにトランスミションインプットダンパー異常、ハイブリッドシステム異常が出た。
3,2020年11月30日,愛知,ＨＰ,ニッサン,ノート　ｅ－ＰＯＷＥＲ,2016年01月,"14,000 Km",DAA-HE12,HR12-EM57,エンジン,２０２０年１１月１５日,駐車場にバックで入れる際、ブレーキペダルに足を乗せ、ハンドル、スピード調整をしてる際、突然車が急加速してカーポートに激突して双方共に大破した。
4,2020年11月30日,三重,ＨＰ,ニッサン,リーフ,2014年02月,"57,500 Km",ZAA-AZEO,EM57,制動装置,２０２０年１１月２８日,バックギアに入れ走行中ブレーキが効かなかった。ブレーキは重く感じた。
5,2020年11月30日,広島,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,ウェイク,不明,不明,4BA-LA700S,不明,走行装置,購入当初から,タイヤの中のねじにサビが２カ所あった。
6,2020年11月30日,福岡,ＨＰ,マツダ,ＣＸ－５,2012年09月,"79,800 Km",LDA-KE2FW,SH,燃料装置,２０２０年１１月２７日,燃料ポンプの不良により、車に乗ろうとしたところ、エンジンがかからなくなった。
7,2020年11月29日,岩手,ＨＰ,スバル,インプレッサＳＰＯＲＴ,2016年12月,"44,272 Km",DBA-GT3,FB16,車枠・車体,２０２０年１１月２８日,下げていた運転席側のサンバイザーを軽い力で戻そうとしたら受け部分が破損してサンバイザーごと落ちてきた。
8,2020年11月29日,岩手,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2017年05月,"49,900 Km",DBA-JF2,S07A,乗車装置,２０２０年４月,運転席側のスライドドアが自動開閉しない。
9,2020年11月29日,長野,ＨＰ,ニッサン,エクストレイル,2016年09月,"45,000 Km",DAA-HNT32,MR20-RM31,動力伝達,２０１９年５月,最初、ＣＶＴからキュと言う音が鳴っていたが、その後、突然高速道路上で加速ができなくなった。
10,2020年11月29日,千葉,ＨＰ,ホンダ,ＣＢ６５０Ｒ,2020年03月,不明,2BL-RH03,RH03E,エンジン,不明,走り出したら、ウォーターポンプ付近からエンジンオイルが漏れ出す。
