番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年11月30日,岩手,ＨＰ,スバル,インプレッサ,2014年09月,"64,000 Km",DAA-GPE,FB20-MA1,制動装置,長時間駐車後、エンジン始動時,長時間駐車後、エンジン始動時ブレーキペタルの踏みしろがまったく無くなる。エンジンを始動すれば、復旧する。異音や警告表示はなし。バキュームブースター交換を要すと言われた。
2,2021年11月30日,東京,ＨＰ,マツダ,デミオ,2015年11月,"79,600 Km",LDA-DJ5FS,S5,排ｶﾞｽ･騒音,中古車として約７８０００ｋｍ時点で購入後,購入後ＤＰＦ再生頻度が高く、５０～１１０ｋｍ毎、平均距離としては８０ｋｍを切っている。ディーラーからは予見性リコールは警告灯が出なければ実施することが出来ず、警告灯が点灯しダイアグで確認後当該の内容と認められた場合のみ実施する、との説明を受けマツダから販売しているディーゼルデポジットクリーナーという添加剤の使用を勧められ、使用し様子をみている。
3,2021年11月30日,東京,ＨＰ,マツダ,デミオ,2015年11月,"79,600 Km",LDA-DJ5FS,S5,保安灯火,中古車として約７８０００ｋｍ時点で購入後,ウォッシャー液が２Ｌ補充後２週間で出なくなった。車両下部を経過観察したところ、漏れが発見された。
4,2021年11月30日,神奈川,ＨＰ,その他,Ａｍｐｅｒｅ　Ｋｏｇｕｎａ,2021年11月,120 Km,FB07,不明,保安灯火,２０２１年１１月,走行中にミラーが安定せず、後方確認が十分にできない。ミラーの角度を直すため、片手運転を強いられる。
5,2021年11月30日,神奈川,ＨＰ,その他,Ａｍｐｅｒｅ　Ｋｏｇｕｎａ,2021年11月,120 Km,FB07,不明,電動機(モーター),２０２１年１１月,新車購入まもなく駐車場で。電動アシスト自転車モードにおいて停止モードの表示になった状態で、さらにｄｏｗｎボタンを押すと、車体が前方に動き出し壁に突っ込んだ。
6,2021年11月30日,神奈川,ＨＰ,その他,Ａｍｐｅｒｅ　Ｋｏｇｕｎａ,2021年11月,120 Km,FB07,不明,保安灯火,２０２１年１１月,新車購入当初からナンバープレート取付金具のサイズが日本のプレートと一致しないため、取付時に車体に傷が付く恐れがある。
7,2021年11月30日,岐阜,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうローザ,2012年03月,"289,700 Km",SKG-BE640G,4P10,排ｶﾞｽ･騒音,不明,尿素ＳＣＲシステムが故障し、警告ランプが点灯する。ディーラーで装置の清掃が行われるが、再発し、排気装置一式の交換が必要になっている。
8,2021年11月30日,三重,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ＶＥＺＥＬ　ＲＳ,2020年02月,"3,427 Km",-,不明,乗車装置,２０２１年１１月１７日,優先道路を走行中に側道から一時不停止で車に飛び出され、ブレーキが間に合わずに衝突する事故になった際、運転席のエアバッグから白いガスが見えただけで保護されなかった。
9,2021年11月30日,大阪,ＨＰ,ニッサン,セレナ,2013年03月,"39,800 Km",DAA-HFC26,MR20-SM23,動力伝達,２０２１年１１月５日,ＣＶＴのリコールによりリプログラム作業を受けた後３０００ｋｍ走った車において、高速道路から降りて信号待ちしているときにガタガタと振動が出るようになった。ディーラーにＣＶＴアッシーの交換をすすめられた。
10,2021年11月30日,広島,ＨＰ,ニッサン,フェアレディＺ,2016年11月,"19,000 Km",CBA-Z34,VQ37,かじ取り,２０２１年１１月,メーターパネル内にキー（オレンジ色）の警告灯が点灯していてエンジンが停止出来ない。ステアリングロック機構が作動しない。
