番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年12月31日,福岡,ＨＰ,ホンダ,フィット,2013年12月,"44,600 Km",DAA-GP5,LEB-H1,エンジン,２０２１年１０月１３日　４４６７４ｋｍ,上り坂を３０ｋｍ／ｈで走行中にエンジンが停止した。ディーラーでコンピューターの故障と診断され交換を行ったが、その後、バックギヤに入れたところでエンジンが停止した。２度目の整備ではミッショントラブルと診断され、トランスミッションオイルの交換が行われたが、その後、バックギヤに入れたところでまたエンジンが停止した。
2,2021年12月30日,東京,ＨＰ,シトロエン,Ｃ４ピカソ,2017年01月,"24,370 Km",LDA-B787AH01,AH01,排ｶﾞｽ･騒音,２０２１年１１月１日　走行距離２４３７０,アドブルーが無くなることを表す警告が計器盤に表示され、アドブルーをタンク満タンまで補充するも再度警告が表示された。ディーラーで確認したところ、故障コードＰ２０Ｅ８の入力があるということで、アドブルータンクの交換が見積もられている。
3,2021年12月30日,愛知,ＨＰ,ホンダ,フィット　ｅＨＥＶ,2020年09月,不明,6AA-GR3,LEB-H5,制動装置,２０２１年１２月２９日,エンジンをかけアクセルペダルだけを踏んでいるのにも関わらず、ブレーキがかかった状態で車が動かない。
4,2021年12月29日,埼玉,ＨＰ,ハーレーダビッドソン,ＦＬＨＸＳ,2021年04月,不明,8BL-FLP,P,エンジン,２０２１年１２月２９日　走行距離５００ｋ,インテークマニホールドの変形により、２次エアを吸い込み、エンジン回転が３０００ｒｐｍ近くまで回転が勝手に上がる。
5,2021年12月29日,奈良,ＨＰ,ホンダ,ＮＢＯＸ＋,2012年07月,"39,100 Km",DBA-JF1,S07A,動力伝達,２０２０年１月　３００００ｋｍ,ＣＶＴのドリブンプーリーベアリングから異音が発生している。
6,2021年12月28日,神奈川,ＨＰ,ホンダ,ＰＣＸ　ｅ：ＨＥＶ,不明,900 Km,2AJ-JK06,JK06E-K1N,電気装置,２０２１年１２月２日、１２月２７日　約９,約９００ｋｍの走行をした際、行きには問題無く走行できたが、２時間後にバイクに乗ろうとしたところ、バッテリーが上がっていた。ライトも暗くなり、ウィンカーの明かりも非常に暗く発光する状態だった。その間、バイク店等に連絡しバッテリー上がりからちょうど５時間後に引上げのトラックが来た時にはメーター、ライト、ウィンカー等きっちりと明るさが回復し、エンジンが掛かるようになった。
7,2021年12月28日,千葉,ＨＰ,メルセデス・ベンツ,Ｃ２００,2016年01月,"54,000 Km",RBA-205042C,274,燃料装置,１２月２７日　５４０００ｋｍ,車両をスタートさせた後に車室内・車外から燃料の臭いが漂った。整備工場で確認したところ、燃料ホースのゴム劣化による燃料漏れと診断された。
8,2021年12月28日,愛知,ＨＰ,ニッサン,セレナ,2014年01月,"70,000 Km",DAA-HFC26,MR20-SM23,電気装置,２０２１年１２月　総走行距離７００００ｋ,アクセルペダルを踏み込んだ際のエンジン音が大きくなったため、ディーラーで調査を受けた結果、オルタネーターから異音が出ていると診断された。
9,2021年12月28日,岐阜,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ハスラー,2017年01月,"61,883 Km",DAA-MR41S,R06A-WA04A,保安灯火,不明,右側のブレーキランプに水が浸入し、内部で溜まってしまう状態になっている。
10,2021年12月28日,福井,ＨＰ,ＢＭＷ,ＭＩＮＩクーパー,2019年10月,不明,LDA-YT20,B47C20A,保安灯火,２０２１年１２月２５日　午後０時２０分頃,フロントガラスに突然亀裂が入っていた。ルームミラーの付け根から斜め下方向の運転席側に向かって約１０ｃｍのひび割れとなっており、ひび割れに飛び石の痕跡がなく、フロント内側に爪の引っ掛かりがあることから、車両（車体）の不具合からフロントガラスのひび割れが発生した可能性が高いと判断している。
11,2021年12月28日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,フォワード,2017年10月,"28,400 Km",TKG-FRR90S2,4HK1,その他,不明,日中における速度計の視認性が悪く、木陰などに入ったときにメーターが真っ暗になって見えない。
12,2021年12月27日,長野,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フリード,2012年01月,"86,000 Km",DBA-GB3,L15A,エンジン,不明,トンネルを走行中にエンジンが停止した。止まりそうになる途中でのみ警告灯が点灯した。整備工場で見てもらったところ、２，３番の点火プラグとその差し込み穴が破損していると診断された。
13,2021年12月27日,富山,電話,スズキ,キャリイ,2021年01月,不明,EBD-DA16T,R06A,エンジン,２０２１年１２月１４日,高速道路の追い越し車線を１１０ｋｍ／ｈほどで走行中、突然エンジンが吹け上がり出し、体感で１３０ｋｍ／ｈ位まで加速をし続け、ブレーキやハンドルも効かないまま中央分離帯に３回激突後、左のガードレールにぶつかってようやく停止した。
14,2021年12月27日,東京,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－８,不明,不明,5BA-KG5P,PY,エンジン,購入して間もない時期,エンジンオイル漏れが発生し、オイルランプが点灯した。ディーラーで修理を受けたが、半年経過後に再びオイルランプが点灯したため、ディーラーで確認を受けたところ、前回と同じ部分と、もう一か所からオイル漏れが発生していると診断された。
15,2021年12月27日,神奈川,ＨＰ,ホンダ,ＰＣＸ　ｅ：ＨＥＶ,2021年01月,不明,2AJ-JK06,JK06E-K1N,電動機(モーター),不明,エンジン始動後、数十メートル走行した後、メーター内右上のＣＨＡＲＧＥ／ＡＳＳＩＳＴが点滅し、モーターアシストしなくなった。その後、エンジンのみで走行したものの、メーター内の点滅が気になるため、信号で停止時にスイッチをオフにして、すぐにオンにしたら通常通りの表示になったが、エンジンが掛からなくなった。
16,2021年12月27日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2013年07月,"48,900 Km",DBA-MK32S,R06A,エンジン,２０２１年１２月１２日,一般道を走行中、突然エンジンが吹けてブレーキをかけても止まり切れず、前車に追突した。
17,2021年12月27日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズルークス,不明,"34,000 Km",DBA-B21A,3B20,緩衝装置,不明,４年くらい経過した辺りで、車体下部からギコギコと音が出るようになった。ディーラーで確認したところ、ロアアームが欠損してるのではないかと指摘された。
18,2021年12月27日,不明,ＨＰ,マツダ,ＣＸ－５,2013年08月,"190,800 Km",LDA-KE2AW,SH,エンジン,２０２１年１２月１日,ディーラーでの点検時にウォーターバイパスパイプから冷却水が漏れていると指摘された。
19,2021年12月26日,東京,ＨＰ,スバル,レガシィ,2014年10月,"52,000 Km",DBA-BS9,FB25,制動装置,２０２１年夏頃から発生,エンジンスタート前に踏むブレーキペダルが硬くなり、力いっぱい踏まなければエンジンを始動できないことが度々発生するようになった。ディーラーで確認したところ、ブレーキマスターバッグ一式の交換と診断された。
20,2021年12月24日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ＶＥＺＥＬ,2016年03月,"63,400 Km",DAA-RU3,LEB-H1,電気装置,２０２１年,車室内の前後に装着されているアクセサリーソケット（１８０Ｗ制限）に１００Ｗ以下の製品を接続して使用したところ、３０分程度でソケット内部の接着部分が過熱により溶損し、使用不能になった。
21,2021年12月24日,福島,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ＳＨＵＴＴＬＥ,不明,不明,-,不明,車枠・車体,２年半くらい前から,Ｆフェンダーとバンパーのつなぎ目のチリの大きさが適正値でなく、クリップの爪が見えるほどになっている。ディーラーで２回バンパーを交換してもらったが、解消しない。
22,2021年12月24日,山形,ＨＰ,フィアット,５００,2018年02月,"16,000 Km",ABA-31209,312A2,その他,２０２１年１２月１３日１４時,高速道路の料金所手前でスピードを落としたが、スピードメータの値が下がらず、その後、車を安全な場所へ停車させたが、スピードメータは上昇を続け、針が振切った状態となり、元へは 戻らなくなった、エンジンを切っても、スペードメータの針は振切れたままとなり、実際のスピードがわからないため、運転できないと判断しレッカー移動した。
23,2021年12月24日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,コロナプレミオ,1996年10月,"86,800 Km",E-AT211,7A,燃料装置,２０２１年,給油をしていたところ、給油口から燃料タンクの間の配管と思われる場所から燃料が漏れてきた。
24,2021年12月24日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうキャンター,2004年08月,"75,600 Km",KK-FK71GJ,6M61,車枠・車体,２０２１年１２月１にち,前照灯付近から発火した。車両を確認したところ、前照灯バルブの水滴が下にたまっており、腐蝕しており、ショートした様子だった。
25,2021年12月24日,広島,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィット,2019年01月,不明,DBA-GK3,L13B,保安灯火,不明,Ａピラー根本の三角窓に対し、取り扱い説明書ではデフロスターが存在していて風が当たるような絵があるが、実際の車両にはデフロスターのダクトが存在していない。
26,2021年12月24日,岡山,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,タント,2019年09月,不明,DBA-LA600S,KF,保安灯火,購入直後から,オートハイビーム機能搭載車で、峠道などを走行時に前走車が居るのにも関わらずハイ・ローが何度も切り替わり、パッシングをしているかのような状態になる。
27,2021年12月24日,熊本,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,キャリイ,2004年07月,"110,000 Km",LE-DA63T,K6A,その他,不明,冬期、車が暖まると速度計の針が上がったままになり、燃料計の量を示すブロックが写らない。
28,2021年12月23日,岡山,ＨＰ,ニッサン,エルグランド,2009年04月,"116,954 Km",CBA-NE51,VQ35,電気装置,２０２１／１２／１５,走行中、急に時計が点滅、エアコン風量等切り替え不可、バックに入れても音がでずバックモニターも映らない。バックライト等点滅、フロントライト勝手にハイロー切り替え点滅、ＡＦＳ　ＯＦＦ等メーター部警告灯異常点滅、自動ドアも自動では動かないなど、ほとんどの制御が誤作動をした。危険なため停止後エンジンを切ると各チェックランプがなかなか切れず、エンジンの再始動を試みたが、セルは回るがかからず、翌日自動車整備会社へ点検を依頼したが原因不明と説明されている。
29,2021年12月22日,北海道,ＨＰ,スバル,フォレスター,2015年04月,"56,000 Km",DBA-SJG,FA20,制動装置,２０２０年５月,マスターバックシリンダーの不良により、エンジンを始動しようとする時にブレーキペダルが硬くなる。
30,2021年12月22日,北海道,ＨＰ,スズキ,アルトラパン,2015年05月,"24,997 Km",DBA-HE22S,K6A,エンジン,２０２１年１１月,一般道走行中に警告灯が点灯し、直後にエンジン停止した。ディーラーでスロットルボディ不良と診断された。
31,2021年12月22日,新潟,ＨＰ,ボルボ,ボルボ　ＸＣ６０,2016年09月,"77,000 Km",CBA-DB525XC,B525,エンジン,２０２１年１２月１日,ファンベルトが裂けて切れ、その一部がクランクプーリーに巻き込まれてタイミングベルトのコマがとび、ピストンでバルブを突いたため、エンジン停止となった。
