番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年10月31日,富山,ＨＰ,アウディ,Ｓ４　アバント,2021年03月,"9,510 Km",3BA-8WCWGF,CWG,その他,新車時より,ＭＩＢ３と呼ばれるナビで、目的地設定してナビ案内中に画面がいきなり日本全国地図に自動縮小表示される。車載のＷｉｆｉが不安定で１ＧＢの容量を越えると強制的に停止される。
2,2021年10月31日,神奈川,ＨＰ,ホンダ,フィット,2014年06月,"90,000 Km",DBA-GK5,L15B,エンジン,３年くらい前,信号待ち等停止中から発進時、アクセルペダルを踏んでも息つくような挙動で加速しないときがある。
3,2021年10月31日,岐阜,ＨＰ,アルファロメオ,ステルヴィオ,2021年09月,"1,824 Km",3DA-94922,55284529,その他,納車翌日から発見,何も障害物がない所でパーキングセンサーが反応する。
4,2021年10月31日,岐阜,ＨＰ,アルファロメオ,ステルヴィオ,2021年09月,"1,824 Km",3DA-94922,55284529,動力伝達,納車翌日から発見,１０ｋｍ／ｈ～４０ｋｍ／ｈ前後の速度でアクセルを緩めてブレーキペダルを踏み始めるとエンジンの回転が急に上がり加速する。回転数の上昇は１０００回転ほどで、感覚的にはブレーキペダルを踏むとキックダウンしたみたいに感じる。同じくらいの速度で必ず起こる訳ではなく、街中を３０分走ると大体１～２回発生している。
5,2021年10月31日,和歌山,ＨＰ,ニッサン,ＮＶ３５０キャラバン,2020年01月,不明,LDF-VW2E26,YD25,エンジン,新車購入当初から,サブリザーバータンクの中のクーラント液が異常に減少する。
6,2021年10月31日,島根,ＨＰ,ニッサン,ＤＡＹＺ,2021年02月,"5,300 Km",4AA-B45W,BR06,車枠・車体,２０２１年４月頃,自動車専用道路を走行後、一般道を走行中に突然エンジンのパワーが落ち車が前に進まなくなった、民家の駐車場へ寄ったところ突然発煙し、出火した。
7,2021年10月31日,山口,ＨＰ,ホンダ,Ｎ－ＢＯＸカスタム,2021年02月,"3,700 Km",6BA-JF4,S07B,車枠・車体,納車間も無い頃,走行中、バンッという金属が壊れる衝撃音がし、車両が安定しなくなったため、停車して外に出た。車体を調べていると車内の床の形が変形しており、下からのぞくと車体の底に大きな亀裂が出来ていた。亀裂が出来たせいでタイヤやサスペンション等の部品が歪み車の見た目もおかしくなってしまった。
8,2021年10月31日,高知,ＨＰ,ダイハツ,ロッキー,2020年11月,"7,300 Km",5BA-A210S,1KR,制動装置,２０２１年９月,高速道路を走行中、前方に何も無い道にも関わらず、突然ダイハツスマートアシスト自動ブレーキが誤作動を起こし、ブザー音が鳴りタイヤから白煙が上がりタイヤ跡が残るのをしっかりと確認出来る程の急ブレーキが掛かった。
9,2021年10月31日,福岡,ＨＰ,ダイハツ,タフト,2020年09月,"4,300 Km",5BA-LA910S,KF,エンジン,納車年冬頃,山道を走行中、突然スマートアシスト異常の表示がメーター液晶へ表示された瞬間、目まぐるしく警告灯が付いたり消えたりし始めエンジンが轟音を上げて車が暴走し始めた。必死でブレーキペダルを踏み暴走を食い止めようとしたがエンジンスタートストップボタンも反応せず、山側の道路壁へ激突し、弾みで谷底へ転落した。
10,2021年10月30日,新潟,ＨＰ,スバル,レガシィツーリングワゴン,2013年05月,"59,780 Km",DBA-BRM,FB25,制動装置,２０２１年１０月１５日,マスターバックのエア漏れにより、エンジン停止後半日程度経過すると、再始動時にブレーキペダルが重くなり始動が困難になる。
11,2021年10月30日,埼玉,ＨＰ,ニッサン,セレナ,2015年05月,"42,000 Km",DAA-HFC26,MR20-SM23,電気装置,２０２１年１０月下旬,オルタネーターの不良により、エンジンをかけると異音が聞こえる。
12,2021年10月29日,北海道,ＨＰ,スバル,レヴォーグ,2014年09月,"144,500 Km",DBA-VM4,FB16,制動装置,２０２１年１０月頃から,ブレーキマスターバックの不良により、エンジン始動の際にブレーキペダルが硬くなり、強く踏み込まないとエンジンが始動出来ない。
13,2021年10月29日,岩手,ＨＰ,マツダ,アテンザワゴン,2015年02月,"99,318 Km",LDA-GJ2AW,SH,エンジン,１ヶ月前,通常運転中、加速不良を起こした。点検してもらったところ、吸気バルブの金具が外れ、タービンの羽に当たり破損していた。
14,2021年10月29日,山形,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ライトエース,2011年03月,"108,800 Km",ABF-S412U,3SZ,保安灯火,不明,制動灯が頻繁に点かなくなる。
15,2021年10月29日,山形,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ライトエース,2011年03月,"108,800 Km",ABF-S412U,3SZ,乗車装置,不明,鍵が３年でヘタって使えなくなり、シリンダーが回せなくなる。
16,2021年10月29日,千葉,ＨＰ,マツダ,アクセラ,2017年10月,"20,000 Km",DBA-BM5FP,P5,保安灯火,２０２１年１０月２３日,雨が降り出したのでワイパーを作動させようとしたら動作しなかった。その後、エンジン再起動も変化なく、ワイパーが全く効かない。
17,2021年10月29日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,スバル,インプレッサ,2018年11月,"68,000 Km",DBA-GK7,FB20,保安灯火,不明,前照灯内部が白濁した。
18,2021年10月29日,埼玉,ＨＰ,ニッサン,スカイライン　ハイブリットＧＴ,2014年04月,"40,857 Km",DAA-HV37,VQ35-HM34,車枠・車体,２０２１年１０月６日,一般道を６０ｋｍ／ｈで走行中、路側より猫が飛び出し、急ブレーキで衝突を避けたところ、ＡＢＳの振動と同時に大きな音とともにポップアップエンジンフードが作動した。ただちに停車して車の状況を確認したが前面には何も損傷は見られなかったが、フロントウィンドウ側のボンネットが２０ｃｍ程度持ち上がっていた。
19,2021年10月29日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＭＡＺＤＡ６,2020年06月,"24,000 Km",5BA-GJ5FP,不明,エンジン,不明,エンジン警告灯が点灯し、ディーラーで原因不明としてエンジンを載せ替えたが、警告灯の点灯が再発し、再度エンジンを載せ替えたが信号待ちで振動が発生し、警告灯が点灯した。その後３０ｋｍ／ｈ～４０ｋｍ／ｈしか出なくなった。
20,2021年10月29日,兵庫,ＨＰ,ニッサン,フーガハイブリッド,2011年09月,"88,100 Km",DAA-HY51,VQ35-HM34,動力伝達,２０１９年１２月,１２ヶ月点検において、トランスミッションのオイル漏れが確認された。
21,2021年10月29日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,ＭＬ３５０　４ＭＡＴＩＣ,2006年12月,"100,000 Km",DBA-164186,272,エンジン,不明,エンジンのバランスシャフトのスプロケット部分が欠けてしまい、エンジン警告灯が点灯した。
22,2021年10月29日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,ＭＬ３５０　４ＭＡＴＩＣ,2006年12月,"100,000 Km",DBA-164186,272,排ｶﾞｽ･騒音,不明,ＮＯＸセンサーが故障した。
23,2021年10月29日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,ＭＬ３５０　４ＭＡＴＩＣ,2006年12月,"100,000 Km",DBA-164186,272,車枠・車体,不明,水浸入でコンピューターが壊れて尾灯が不点灯になった。
24,2021年10月29日,山口,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ソリオ,2011年01月,"100,000 Km",DBA-MA15S,K12B,動力伝達,不明,ギアマークの警告灯が点いたり消えたりする。
25,2021年10月29日,福岡,ＨＰ,ＢＭＷ,ＭＩＮＩクロスオーバー,2015年08月,"80,800 Km",LDA-XD20F,N47C20A,エンジン,２０２１年９月下旬,高速道路を走行中にエンジン警告灯が点灯するとともにエンジンが停止し、惰性で路肩に流れ着いた。ディーラーで確認したところ、オイル交換をして１か月ほどであるにも関わらず、オイル切れによる走行でクランクシャフトのベアリングシェルが破損していると診断された。
26,2021年10月29日,福岡,ﾌﾘｰﾀﾞｲｱﾙ,ＤＳ,ＤＳ　７　クロスバック　Ｅ－ＴＥＮＳＥ,2021年03月,"7,000 Km",3LA-X745G06H,5G06-ZA02-ZA01,動力伝達,不明,左から追突されたような音と衝撃が発生し、警告灯が点灯した。ディーラーで確認したところ後輪シャフトが折損していた。
27,2021年10月28日,北海道,ＨＰ,三菱,ふそうエアロエース,2019年09月,"200,000 Km",2TG-MS06GP,6S10,エンジン,２０２１年１０月下旬,フライホイールハウジングの亀裂により、オイルが漏れた。
28,2021年10月28日,北海道,ＨＰ,いすゞ,ギガ,2012年03月,"935,261 Km",LKG-EXD52AD,6WG1,電気装置,２０２１年１０月２８日,エンジン電子制御ハーネス断線によるコントロールヒューズ切れにより、８０ｋｍ／ｈで走行中、突然エンジンが停止した。
29,2021年10月28日,岩手,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ＮＶ３５０キャラバン,2016年06月,"139,900 Km",LDF-CW8E26,YD25,燃料装置,不明,インジェクターの不良により、エンジンが不調になった。
30,2021年10月28日,石川,ＨＰ,スズキ,アルト,2018年06月,"68,000 Km",DBA-HA36S,R06A,燃料装置,２０１９年頃,給油口からガソリンタンクへのホースつなぎ目樹脂部より燃料が漏れ、タール状の物質が出来ていた。
31,2021年10月28日,神奈川,ＨＰ,ニッサンＭＴ,キックスＸ,2021年07月,500 Km,6AA-P15,HR12-EM57,制動装置,２０２１年０８月～１０月,５ｋｍ／ｈ前後まで回生ブレーキで減速し、停止のためフットブレーキペダルを踏みこむ直前に発電用エンジンが起動するとブレーキペダルがロックされ、加速する。
32,2021年10月28日,神奈川,ＨＰ,ニッサン,スカイライン,2016年07月,"31,600 Km",DAA-HV37,VQ35-HM34,その他,２０２１年６月あたりから,エアコン温度設定２５℃、外気温２７℃付近で助手席から温風が出る。真夏外気温３０℃超える時はデュアルエアコンで助手席側を１８℃設定にしても温風が出ることが有る。
33,2021年10月28日,大阪,ＨＰ,ＢＭＷ,５２３ｄ,2013年11月,"109,500 Km",LDA-MX20,N47D20C,保安灯火,雨の日、気温が低い時,ヘッドライトの結露が原因でモジュールが浸水したため、夜間走行中にヘッドライトが不点灯になった。
34,2021年10月28日,兵庫,ＨＰ,ニッサン,セレナ,2011年03月,"79,800 Km",DBA-C26,MR20,車枠・車体,２０２１年１０月発見,パールホワイト色塗装の車で、左右のフロントフェンダーとＡピラーの隙間からめくれるように塗装剥がれが発生した。
35,2021年10月28日,香川,ＨＰ,ニッサン,リーフ,2018年02月,"25,400 Km",ZAA-ZE1,EM57,緩衝装置,２０２１年１０月３日　ＡＭ１１：００前後,一般道を走行中にアクセルペダルを少し踏み込んだところ、足回りからガツッと音がした。ディーラーで確認したところ、運転席側の前輪ロアアームに亀裂が入っていた。
36,2021年10月28日,宮崎,ﾌﾘｰﾀﾞｲｱﾙ,三菱,アウトランダーＰＨＥＶ,2013年10月,"92,100 Km",DLA-GG2W,4B11-S61-Y61,電動機(モーター),不明,充電口の蓋に施錠装置が無く、蓋を押すだけで充電口が見えてしまう。
37,2021年10月28日,鹿児島,ＨＰ,スズキ,スイフト,2019年08月,"48,000 Km",DBA-ZC83S,K12C,制動装置,２０２１年１０月２７日,障害物や前走車もいない状態でインパネに「ブレーキ」と赤い文字で警告が表示された。その後、時速３０ｋｍ／ｈ～４０ｋｍ／ｈ程度で運転中、緩い右カーブ（カーブとも言えない程度のごく緩いカーブ）に差し掛かった際、前走車もいないのに警告音とともに急激にブレーキが掛かった。
38,2021年10月27日,長野,ＨＰ,スズキ,パレット,2008年02月,"55,580 Km",DBA-MK21S,K6A,エンジン,２０２１年１０月２５日,エバポレーターからのガス、オイル漏れでエアコンコンプレッサーが壊れて回らなくなったため、エンジン始動後、前方より煙が出てエンジンが停止した。
39,2021年10月27日,長野,ＨＰ,スズキ,パレットＳＷ,2010年03月,"21,000 Km",CBA-MK21S,K6A,その他,２０２０年６月頃,エアコンエバポレーターからのガス漏れにより、エアコンがきかなくなった。
40,2021年10月27日,石川,ＨＰ,ダイハツ,ハイゼットジャンボ,不明,不明,3BD-S510P,不明,車枠・車体,納車後二週間できずく,変なキシミ音と７５ｋｍ／ｈ以上での高速走行時に車体が上下に激しく揺れて高速走行ができない。
41,2021年10月27日,東京,ＨＰ,ＢＭＷ,３２８ｉ　Ｍスポーツ,2012年11月,"37,000 Km",DBA-3A20,N20B20A,エンジン,２０２１年１０月２日,エンジンが震えてチェックランプが点灯し、エンジンが吹けなくなる。しまいには、アクセルを煽っていないとエンストする。
42,2021年10月27日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ステップワゴン,2018年04月,"17,000 Km",6AA-RP5,LFA-H4,乗車装置,不明,テールゲートオープンステーの改善対策の対象車で、一時的な措置として結束バンドでしばっていたが、中でずれて外れた。
43,2021年10月27日,埼玉,ＨＰ,三菱,ｅＫワゴン,2019年08月,"8,200 Km",5BA-B33W,BR06,その他,２０１９年９月,メーターにある航続可能距離がガソリンを給油しても変わらない。（反応しない）
44,2021年10月27日,愛知,ＨＰ,日野,プロフィア,2019年01月,"15,600 Km",2PG-SS1EKGG,E13C,エンジン,２０２１年１０月１１日,エンジンが焼き付き、突然止まった。
45,2021年10月27日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,１１８ｉ,2015年01月,"75,000 Km",不明,不明,燃料装置,不明,燃料ポンプの不具合により、１０秒ほど減速したのちエンストし、再始動出来なくなった。
46,2021年10月27日,三重,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ランドクルーザープラド,2016年01月,"80,000 Km",LDA-GDJ150W,1GD,排ｶﾞｽ･騒音,新車購入から５年経過,尿素ポンプが故障し、エンジンがかからなくなる。
