番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年06月30日,東京,24時間電話,ニッサン,セレナ,2018年04月,"32,465 Km",DAA-GC27,MR20-SM24,乗車装置,２０２１年６月１０日,運転席側セカンドシート内部のリンク部品が破損したため、リクライニングが全く出来なくなった。
2,2021年06月30日,東京,ＨＰ,アウディ,Ａ６　Ａｌｌｒｏａｄ,2012年09月,"49,000 Km",DBA-4GCGWB,CGW,エンジン,２０２０年９月,エンジンスタートボタンを押すと、エンジンがかからず「ギアボックス故障」「タイヤ空気圧システム故障」「自動スタート・ストップシステム故障　現在使用できません」のエラーが一気に出て、ファンが高速回転する。エンジンスタートストップを繰り返すとエンジンはかかるが、ギアをＤに入れてアクセルペダルを踏んでも加速しない。
3,2021年06月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ジムニー,2017年09月,"35,700 Km",ABA-JB23W,K6A,エンジン,不明,悪路走行中にラジエーターファンが脱落した。
4,2021年06月30日,愛知,電話,トヨタ,レジアスエース,2020年02月,"6,000 Km",QDF-GDH206V,1GD,制動装置,購入直後から,ブレーキペダルが重く、こんなものかとそのまま使用していたがだんだん重くなっていき、エンジンをかけられないほどになってしまった。
5,2021年06月30日,福井,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,セレナ,2011年06月,"160,000 Km",DBA-FC26,MR20,緩衝装置,不明,低速走行時にボールジョイントが外れた。
6,2021年06月30日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,スバル,フォレスター,2020年02月,"5,000 Km",5AA-SKE,不明,エンジン,不明,右折時待ちでアクセルペダルを踏んでも発進しなくなった。アクセルペダルを強めに踏むとアイサイトが一時停止しました、パーキングに入れて下さいと表示が出て、パーキングに入れなおしてみたが症状は改善せず。エンジン再スタートで動くようになった。
7,2021年06月30日,兵庫,ＨＰ,ニッサン,ノートｅ－ＰＯＷＥＲ,2017年06月,"19,602 Km",DAA-HE12,HR12-EM57,車枠・車体,２０２０年６月,カウルトップのなか（運転者からは清掃できない箇所）に汚れが溜まり、屋外駐車中の雨天時にエアコン外気導入口から雨水が車内に流れ込んでしまい運転席、助手席下にあるリチウムイオンバッテリーが水に浸かってしまい走行できなくなった。
8,2021年06月30日,鳥取,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ライフ,2003年07月,"30,000 Km",LA-JB2,E07Z,かじ取り,不明,ハンドルを切った後、自然に直進に戻らない。
9,2021年06月30日,岡山,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,パレット,2008年06月,"104,500 Km",CBA-MK21S,K6A,エンジン,不明,エンジンが高回転になるとカラカラという異音がする。
10,2021年06月30日,徳島,ＨＰ,スズキ,ジムニー,2021年02月,"5,402 Km",3BA-JB64W,R06A,緩衝装置,新車で購入して最初から,一般道のカーブで少し荒れた路面や段差を通過し、ＥＳＰが作動した際にフロントサスペンション付近と思われる箇所から「ギコー」と大きな音がする。
11,2021年06月30日,愛媛,来訪,いすゞ,ギガ,2016年01月,"299,003 Km",QKG-EXD52AD,6WG1,排ｶﾞｽ･騒音,２０２１年４月７日,エアインテークダクトから車両外の火種を吸い込んだため、車両火災になった。
12,2021年06月30日,福岡,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ＮＶ３５０キャラバン,2016年02月,"150,000 Km",LDF-VW2E26,YD25,燃料装置,不明,エンジンがかからなくなったため、整備工場で確認したところ、燃料パイプが根元から折れていた。
