番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年07月31日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィット,2016年08月,不明,DBA-GK4,L13B,保安灯火,購入直後から７～８回発生,方向指示器を操作し、ハンドルを動かすと、数秒間ハザードが点滅する。
2,2019年07月31日,長野,ＨＰ,メルセデス・ベンツ,Ｅ２５０,2014年05月,"30,000 Km",RBA-212236C,274,排ｶﾞｽ･騒音,不明,ＮＯＸセンサーが頻繁に故障する。
3,2019年07月31日,東京,ＨＰ,ニッサン,ＮＶ３５０キャラバン,2014年01月,"90,000 Km",LDF-VW2E26,YD25,エンジン,２０１９年７月,クーラントが著しく減っていく。補充してもすぐに減る。
4,2019年07月31日,東京,ＨＰ,ニッサン,ＮＶ３５０キャラバン,2014年01月,"90,000 Km",LDF-VW2E26,YD25,排ｶﾞｽ･騒音,２０１９年７月,ＥＧＲバルブが固着し、開閉しなくなり、駆動させる樹脂アームが破損した。
5,2019年07月31日,東京,ＨＰ,ニッサン,ＮＶ３５０キャラバン,2014年01月,"90,000 Km",LDF-VW2E26,YD25,動力伝達,２０１９年７月,デファレンシャルギアからヒューと異音がする。
6,2019年07月31日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,Ｃ２００,2013年07月,"58,000 Km",DBA-204048,271,かじ取り,２０１９年７月３０日,ハンドル操作が重たくなったため、ボンネットを開けて確認したところ、パワーステアリングの部品から液漏れしていた。
7,2019年07月31日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2013年10月,"59,700 Km",DBA-B21W,3B20,保安灯火,不明,右側電動ドアミラーが、事故などを起こしていないのにも関わらず、開閉しなくなった。
8,2019年07月31日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,三菱,デリカＤ５,2014年06月,"52,600 Km",LDA-CV1W,4N14,その他,１０日前,メーターパネルのディスプレイ表示が出ないことがある。
9,2019年07月31日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,アルトラパン,不明,不明,DBA-HE33S,R06A,エンジン,不明,エンジンを始動し、すぐにギアをＤレンジに入れると、エンジン回転が２０００ｒｐｍ以上に吹け上がり、ブレーキを少し緩めただけで車が動く。
10,2019年07月31日,栃木,24時間電話,ダイハツ,ムーヴキャンパス,不明,"46,086 Km",不明,不明,乗車装置,２０１９年６月２７日２３時頃,衝突事故時にエアバッグが開かなかった。
11,2019年07月31日,静岡,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2014年03月,"48,100 Km",DBA-JF1,S07A,動力伝達,２０１９年７月３０日,シフトレバーボタン部分のプラスチックが破損し、内部で挟まったため、ボタンが押せなくなり、車を動かせなくなった。
12,2019年07月31日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,ゴルフ,2009年03月,"140,000 Km",ABA-1KBLG,BLG,エンジン,不明,ウォーターポンプの軸が破損し、警告灯の点灯等は無いまま、走行中にエンジンから異音が発生し、冷却水が漏れた。
13,2019年07月31日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,パサートヴァリアント,2015年05月,"80,000 Km",DBA-3CCZE,CZE,燃料装置,不明,オートストップで給油をしているにもかかわらず、６０Ｌタンクに７０Ｌ給油できてしまった。
14,2019年07月31日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノート,2013年02月,"60,000 Km",DBA-E12,HR12,エンジン,２０１９年７月７日,走行中に、加速不良になった。ラジエーターが水漏れで交換になった。
