番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年05月31日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ハイエース,2003年04月,"101,000 Km",KG-LH178V,5L,エンジン,不明,タイミングベルトの警告灯が点灯した。
2,2021年05月31日,岩手,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィット,2016年09月,"41,000 Km",DAA-GP6,LEB-H1,動力伝達,不明,トランスミッションの油漏れでエンストした。
3,2021年05月31日,東京,ＨＰ,スバル,ＷＲＸ　ＳＴＩ,2019年06月,"25,000 Km",CBA-VAB,EJ20,かじ取り,購入当初から現在まで,駐車時の据え切り時にハンドルコラム付近からキューまたはブッ！と異音が出る。
4,2021年05月31日,東京,ＨＰ,ヤマハ,ＳＲ４００,2020年08月,不明,2BL-RH16J,H342E,エンジン,２０２０年６月から１１月,停止または低速走行時、１速でクラッチを握っているとエンジンが止まることがある。
5,2021年05月31日,東京,ＨＰ,トヨタ,ＲＡＶ４,2021年04月,不明,6AA-AXAH54,A25A-3NM-4NM,車枠・車体,２０２１年４月２０日,ルーフレールから雨漏りする。
6,2021年05月31日,東京,ＨＰ,ホンダ,ＶＥＺＥＬ,2015年03月,"49,600 Km",DAA-RU3,LEB-H1,制動装置,２０２０年４月,電子パーキングブレーキの動作時に「キュッ、キューッ」とカモメが鳴くような異音がするようになった。
7,2021年05月31日,東京,ＨＰ,ヤマハ,ＳＲ４００,2020年06月,不明,2BL-RH16J,H342E,エンジン,２０２０年６月から１１月,停止または低速走行時、１速でクラッチを握っているとエンジンが止まることがある。
8,2021年05月31日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ＭＩＮＩ,2015年04月,"23,000 Km",LDA-XD20F,N47C20A,エンジン,不明,整備後のディーラーでの試運転中に、エンジン内部が破損し、エンストした。
9,2021年05月31日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ＵＤトラックス,クオン,2010年07月,"618,400 Km",ADG-CV2YL,MD92,乗車装置,不明,リモコンキーで施錠・解錠したのち、シリンダーに鍵を挿し、ドアを閉めて離れたところ、勝手に施錠されて閉め出されてしまった。
10,2021年05月31日,栃木,ＨＰ,カワサキ,ＺＲＸ１２００　ＤＡＥＧ,2010年10月,"48,519 Km",EBL-ZRT20D,ZRT20AE,エンジン,アイドリングで停車時,ＥＣＵ不具合により電動ファンが動かず、オーバーヒートの警告灯が点灯し冷却水がリザーブタンクから噴き出した。
11,2021年05月31日,栃木,ＨＰ,カワサキ,ＺＲＸ１２００　ＤＡＥＧ,2010年10月,"48,519 Km",EBL-ZRT20D,ZRT20AE,エンジン,アイドリングで停車時,ＥＣＵ不具合により電動ファンが動かず、オーバーヒートの警告灯が点灯し冷却水がリザーブタンクから噴き出した。
12,2021年05月31日,愛知,ＨＰ,スバル,ＸＶ,2013年08月,"19,000 Km",DBA-GP7,FB20,動力伝達,２０２１年５月２９日,ＣＶＴ（トランスミッション）の故障によりＰ、Ｒ、Ｎレンジで異音が発生する。
13,2021年05月31日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,アクア,2012年06月,"160,000 Km",DAA-NHP10,1NZ-1LM,保安灯火,不明,バックランプに水が浸入し不点灯になった。
14,2021年05月31日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,シエンタ,2013年09月,"55,000 Km",DBA-NCP81G,1NZ,制動装置,不明,駐車ブレーキを解除しても駐車ブレーキ・ＡＢＳ表示が消えない。
15,2021年05月31日,大阪,ＨＰ,ニッサン,セレナ,2013年01月,"79,044 Km",DAA-HC26,MR20-SM23,電気装置,半年前,オルタネーターの不良によりエンジンをかけるとエンジンルームから異音がする。
16,2021年05月31日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ポルテ,2016年11月,"13,000 Km",DBA-NSP141,2NR,その他,不明,プリクラッシュセーフティ歩行者用のデータを書き換えた後、カーナビの「地図ソフト認識出来ません」という警告が出た。
17,2021年05月31日,広島,ＨＰ,マツダ,アテンザ,2013年06月,"144,000 Km",LDA-GJ2FW,SH,エンジン,２０２１年５月,バイパスを走行中に速度が出なくなり、水温警告が数分後に一瞬表示された。路肩にとめて確認すると、樹脂製冷却水パイプが破裂していた。
18,2021年05月31日,広島,ＨＰ,スバル,ＸＶハイブリッド,2014年02月,"75,000 Km",DAA-GPE,FB20MA-1,制動装置,２０２１年２月頃,エンジン始動時にブレーキペダルが硬くなっており、強く踏み込まないとエンジンがかからない。
19,2021年05月31日,熊本,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,ビッグホーン,不明,"260,000 Km",KH-UBS73GW,4JX1,エンジン,不明,坂の途中で停車したため、ディーラーで確認してもらったところ、クランクシャフト内オイルリング等のすり減りと診断された。
20,2021年05月30日,北海道,ＨＰ,シボレー,トレイルブレイザー,2004年06月,"147,000 Km",GH-T360,4L,燃料装置,不明,給油ホースと燃料タンクの繋ぎに亀裂があって燃料が漏れているような染み跡がある。
