番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年05月31日,北海道,ＨＰ,スバル,ＷＲＸ,2015年10月,"89,438 Km",CBA-VAB,EJ20,その他,２０２２年３月５日,高速道路走行中に突然エアコン吹き出し口から発煙した。ディーラーで確認したところ、マグネットクラッチからの発煙と説明された。
2,2022年05月31日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ギャランフォルティス,2007年09月,"152,000 Km",DBA-CY4A,4B11,動力伝達,不明,ＣＶＴの不良により、発進時にガタンと衝撃が出て、その後ジャダーが発生し、エンジン回転は上がるが加速しない症状が出るようになった。
3,2022年05月31日,東京,ＨＰ,ダイハツ,タント,不明,不明,6BA-LA650S,KF,乗車装置,２０２１年,納車したばかりにも関わらずドアノブが折れた。
4,2022年05月31日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ジャガー,Ｆ－ＰＡＣＥ,2020年06月,不明,DBA-DC2XB,PT204,燃料装置,２０２２年５月２３日,３車線の高速道路の右車線を走行中に突然車が失速し始めた。路肩に寄せて行こうとしたが、３車線の真ん中で止まってしまった。再始動操作を何度か行ったところ、始動して走行できたため、高速道路を降りた後でディーラーに連絡し、レッカー搬送をした。ディーラーで車の確認をしたところ、フューエルデリバリ―のコントロールモジュールが故障していると診断され、交換になった。
5,2022年05月31日,神奈川,ＨＰ,ダイハツ,ハイゼット,不明,不明,3BD-S710V,KF,動力伝達,２０２２年,通常走行していたところ、エンジン回転数が高くなったり低くなったりする音がした後、金属がこすれる音がして衝撃と共にストールし、走行出来なくなった。
6,2022年05月31日,茨城,ＨＰ,フォルクスワーゲン,ＶＷゴルフ　ＧＴＩ／１６９ｋＷ,2016年02月,"37,000 Km",ABA-AUCHH,CHH,エンジン,２０２１年９月,リザーバータンクの冷却水水位が購入一ヶ月もしないのに目視でわかるほど低下した。エンジン本体と同アンダーカバーに冷却水の漏れ跡があり、整備工場で確認したところ、ウォーターポンプ・サーモスタットから水漏れしていると判った。
7,2022年05月31日,愛知,ＨＰ,ダイハツ,ロッキー,不明,不明,5AA-A202S,WA-VEX,エンジン,リコール対策後,ハイブリッドシステムのリコール対策後にハイブリッドシステムが故障し走行不能になった。
8,2022年05月31日,大阪,ＨＰ,ダイハツ,タフト,不明,不明,6BA-LA900S,KF,制動装置,２０２１年,前を走る車の反射する光にダイハツスマートアシスト自動ブレーキが反応し、走行中に急ブレーキがかかった。
9,2022年05月31日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ライズ,2020年06月,不明,5BA-A200A,1KR,動力伝達,２０２２年４月初め,山間部を走行した際にトランスミッションの内部へ石が入ったため、トルクコンバーターに噛みこみ、ケースに穴が開く損傷に至った。
10,2022年05月31日,京都,文書,日野,セレガ,2012年12月,"1,432,953 Km",QPG-RU1ESBA,E13C,車枠・車体,不明,高速道路流入路左カーブを走行中にバス右側後方のトランク扉が開きスーツケース２個が車外に落下。原因調査を行ったところ、トランクに入れたリュックサックから出た登山用のスティックが左カーブの遠心力によりトランク扉キャッチのリンクロッドへ入り込み、ロックが外れるに至ったと推察。事故当時はトランクに施錠を行っていなかったが、施錠時にもトランクは開いた。
11,2022年05月31日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－５　ＸＤ,不明,不明,-,不明,乗車装置,２０２２年５月２９日,助手席の電動リクライニングシートを使用したところ、火花が出た。
12,2022年05月31日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,プリウス,2016年11月,"20,000 Km",DAA-ZVW50,2ZR-1NM,保安灯火,２０２２年１月,運転席側の上下のテールランプの内側が１．５ｃｍくらいの幅で白濁している。
13,2022年05月31日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ワゴンＲ,2014年10月,"60,000 Km",DAA-MH44S,R06A-WA04A,保安灯火,２０２２年１か月,ドアミラーが開いたままで閉じなくなり、エンジン始動後、ずっとモーターが回り続ける状態になった。
14,2022年05月31日,広島,ＨＰ,ダイハツ,トール,不明,不明,DBA-M900S,KF,保安灯火,納車直後から,納車直後からヘッドライト照射範囲が異常で、ロービームでもハイビームに匹敵するほど異常に高く、車検毎に光軸ズレが発見される。
15,2022年05月31日,山口,ＨＰ,ダイハツ,ウェイク,不明,"45,000 Km",4BA-LA710S,KF,動力伝達,２０２１年から,１０分以上走行するとＣＶＴ変速機から異音が発生し、異臭がする。
16,2022年05月31日,福岡,ＨＰ,ダイハツ,コペン,不明,不明,3BA-LA400K,KF,乗車装置,納車後１年程,高速道路を走行中、道の少しのギャップを通過した直後、爆発音とともにエアバッグが誤作動して展開した。
17,2022年05月30日,北海道,ＨＰ,ニッサンUK( 生産国： 英国),デュアリス,2007年07月,"112,600 Km",DBA-NJ10,MR20,その他,２０２２年５月,エアコンが効かなくなった。
