番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年01月31日,宮城,ＨＰ,三菱,ｅＫ－ＷＡＧＯＮ,2008年06月,"70,200 Km",DBA-H82W,3G83,その他,２ヶ月前くらいから,スピードメーターのシフト表示が正しく表示されない。
2,2022年01月31日,神奈川,ＨＰ,フォルクスワーゲン,ＶＷクロス　トゥーラン１．４／１０３ｋＷ,2013年06月,"48,777 Km",DBA-1TCTHW,CTH,エンジン,２０２１年１２月２６日,１・３・４番シリンダーミスファイヤーにより、高速道路を走行中に走行不能状態に陥った。
3,2022年01月31日,埼玉,ＨＰ,ホンダ,ＦＲＥＥＤ,2021年12月,不明,6BA-GB5,L15B,エンジン,２０２１年１２月２５日、２０２２年１月３,エンジン始動時に警告灯が複数点灯した。正常なのか判らないまま発進したところ、道路を少し走ったところで勝手に車が停止し、アクセルペダルを踏んでも発進しなくなった。一度エンジンを切ってから始動させると動いたため、ディーラーに連絡し、自走で入庫した。ディーラーで確認したところ、スロットルボディの故障コードが検出され、交換が行われたが後日に同じ症状が再発した。
4,2022年01月31日,茨城,電話,マツダ,ＣＸ－５,2013年01月,"125,400 Km",LDA-KE2AW,SH,エンジン,２０１９年５月１日　１１万㎞,高速道路を走行していたところ、水温上昇のアラートが出たので確認したら冷却水が無くなっていた。冷却水を補充したが、エンジン内部の不良と思われる圧力がラジエター側に漏れており漏れが止まらずエンジンの交換となった。２０１９年１０月頃新品エンジンに交換後２．５年ほど過ぎ走行距離が２８０００ｋｍほどの時に、再度同様の症状で冷却水が噴き出した。
5,2022年01月31日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,ジープ,ラングラーアンリミテッド,2018年02月,"19,800 Km",ABA-JK36L,G,エンジン,２０２２年１月２０日,アクセルペダルに延長キットを装着した車において、信号待ち中に隣の車線が発進したことで自車が動いていると思い、ブレーキペダルを踏んだところ、アクセルペダルが引っかかって同時踏み状態になり、エンジンが４０００ｒｐｍ近くにふけて前車に追突してしまった。
6,2022年01月31日,岐阜,ＨＰ,スズキ,エブリイ,2020年07月,不明,EBD-DA17V,R06A,動力伝達,２０２２年０１月３０日,ニュートラルで信号待ちをし、その後にギアが入らなくなり、発進できなくなった。
7,2022年01月31日,島根,電話,ポルシェ,カイエン,2006年09月,"100,300 Km",GH-9PABFD,BFD,燃料装置,不明,車室内に燃料臭がし、車両を確認したところ、燃料タンク左から結構な勢いで燃料が漏れていた。
8,2022年01月31日,高知,ＨＰ,三菱,デリカ,2015年11月,"57,000 Km",LDA-CV1W,4N14,電気装置,２０２２年１月２６日,右リア車輪速センサーの外れにより、ＡＳＣ、ＡＢＳ、４ＷＤ点検を受けてくださいという警告が表示された。
9,2022年01月31日,熊本,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ＲＡＶ４,2019年06月,"20,000 Km",6AA-AXAH54,A25A-3NM-4NM,車枠・車体,新車購入１年目と２年目,雨の日や洗車をすると雨漏りが発生し、エアバッグに水がしみて電装部品ごと濡れたとのことで全て交換修理してもらった。ルーフレールのパッキンが改善された部品を取り付けた。ところが２年目に洗車後また天井に水が浸入した。
10,2022年01月31日,沖縄,ＨＰ,フォルクスワーゲン,ゴルフ,2015年11月,"117,800 Km",DBA-AUCJZ,CJZ,保安灯火,２０２２年１月２６日,走行中に右側ドアミラーの鏡部分が落下した。
11,2022年01月31日,不明,電話,その他,エーモン　非常信号灯,不明,不明,6726,不明,装置その他,不明,非常信号灯の電池交換をしようとして本体をねじったところ、抵抗感なくライト部と本体が捻じれ、内部配線が切れて灯火が点かなくなってしまった。
12,2022年01月30日,愛知,ＨＰ,トヨタ,ランドクルーザープラド,2005年08月,"170,500 Km",CBA-TRJ120W,2TR,車枠・車体,２０２０年７月３０日頃,ドア部の塗料のひび割れを発見したため、販売店に相談したところ、飛び石での剥がれと説明を受け、タッチペンで補修し様子みたが、その後１か月ほどで別の剥がれを発見し、所有者でその他の場所も確認したところ、ボンネット、天井と、複数個所の剥がれを発見した。
13,2022年01月30日,愛知,ＨＰ,トヨタ,ミライ,2018年07月,"9,382 Km",ZBA-JPD10,4JM,保安灯火,２０２１年１２月２７日,駐車中フロントガラスが衝撃等なく自然に割れた。
14,2022年01月29日,滋賀,ＨＰ,トヨタ,アルファード,2011年12月,"80,300 Km",DBA-ANH20W,2AZ,車枠・車体,新車で購入後５年くらいから,ホワイトパール色塗装の車で、天上の塗装が半分くらい剥がれていった。その後、フロントフェンダーの塗装が剥がれた。
15,2022年01月29日,島根,24時間電話,ホンダ,ＣＢＲ１０００Ｒ　ＲＲＳＰ,2021年06月,不明,2BL-SC82,SC82E,車枠・車体,２０２２年１月２５日,オーリンズ製リヤサスペンションリンクが２ｍｍ斜めについており、走行すると不安定になりカーブを曲がったときに、衝撃が吸収されない。
16,2022年01月29日,福岡,ＨＰ,ニッサン,セレナ,2017年01月,"120,000 Km",DAA-GFC27,MR20-SM24,制動装置,１月１４日,パーキングブレーキアクチュエーターの不良により、車を発進させようとした際にパーキングブレーキ点滅及び警告灯が点灯した。
17,2022年01月28日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,アルト,2015年01月,"40,000 Km",DBA-HA36S,R06A,エンジン,２０１８年５月，２０２１年１２月１１日,高速道路を走行中にゴゴゴと異音がし、加速不良になった。ディーラーでエンジンが溶けたと診断された。
18,2022年01月28日,山形,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノート,2012年03月,"120,000 Km",DBA-E11,HR15,緩衝装置,中古車で購入当初から,前輪サスペンションの頭のボルトが錆びている。
19,2022年01月28日,東京,ＨＰ,三菱,デリカＤ５,2014年07月,"126,800 Km",DBA-CV5W,4B12,電気装置,２０２１年１０月,車速センサーの不良により、ディスプレイにＡＢＳ警告表示、ＡＳＣ警告表示とともに「販売会社に連絡」と表示された。
20,2022年01月28日,茨城,ＨＰ,トヨタ,アクア,2014年01月,"76,035 Km",DAA-NHP10,1NZ-1LM,保安灯火,２０２２年１月２３日,テールランプの接合部の剥がれにより水が溜まった。
21,2022年01月28日,愛知,ＨＰ,日野,プロフィア,2014年10月,"853,900 Km",QPG-SS1EKDG,E13C,動力伝達,２０１６年６月,一般道路走行中、突然車が走行不能になり各部点検をしたところプロペラシャフトが脱落していた。
