番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年10月31日,福島,ＨＰ,メルセデス・ベンツ,Ｂ１８０,2011年09月,"65,730 Km",CBA-245232,266,動力伝達,２０２０年１０月車検点検後から,ＣＶＴ故障点検が表示され、２速固定となりエンジン回転数が増加する。エンジンブレーキで急制動がかかる。
2,2020年10月31日,新潟,ＨＰ,ホンダ,Ｎ－ＷＧＮ,2020年08月,不明,6BA-JH4,S07B,エンジン,不定期,エンジン始動時、長くクランキングしてもエンジンがかからないことがある。
3,2020年10月31日,新潟,ＨＰ,ホンダ,フィット　ＲＳ,2014年08月,"72,000 Km",DBA-GK5,L15B,エンジン,２０２０年９月,アイドリングストップから始動が出来なくなる。アイドリングオフで信号待ちでエンジン停止になる。
4,2020年10月31日,東京,ＨＰ,スバル,レガシィツーリングワゴン,2007年09月,"49,400 Km",CBA-BP5,EJ20,動力伝達,始動後ＡＴ冷間時に多発。暖機後もしばしば,冷間時、暖機時を問わず２速と３速のシフトアップ、ダウンの両方で背中を蹴られたような衝撃のシフトショックがある。
5,2020年10月31日,東京,ＨＰ,ＢＭＷ,３１８ｉ,2020年09月,130 Km,3BA-5F20,B48B20A,車枠・車体,２０２０年１０月３０日深夜と翌朝,駐車中にトランクが勝手に開く。
6,2020年10月31日,東京,ＨＰ,トヨタ,コースター,2019年11月,"2,000 Km",2KG-XZB70,N04C,エンジン,不明,エアコン作動時にコンプレッサーが入るとベルトがすべり鳴く。
7,2020年10月31日,東京,ＨＰ,カワサキ,ＮＩＮＪＡ　Ｈ２ＳＸ　ＳＥ,2018年11月,"13,000 Km",2BL-ZXT02A,不明,動力伝達,２０２０年１０月,シフトドラムを回すカムに付いているピンが折れたため、走行中、５速にシフトアップしようとしたが入らなくなった。
8,2020年10月31日,神奈川,ＨＰ,メルセデス・ベンツ,ＧＬＣ　２２０ｄ　ｓｐｏｒｔｓ,2017年12月,"9,523 Km",LDA-253905C,651,制動装置,２０１９年９月,ブレーキホールドが効かず、前車に衝突する。
9,2020年10月31日,栃木,ＨＰ,スズキ,パレット,2012年06月,"48,989 Km",DBA-MK21S,K6A,動力伝達,２０２０年６月ぐらいになって,走り出す時、アクセルを開けるとミッションから異音が出てガタガタする。
10,2020年10月31日,静岡,ＨＰ,ＢＭＷ,Ｋ１３００Ｓ,2009年04月,"41,800 Km",K1300S,134EA,燃料装置,２０２０年１０月４日,走行中に燃料タンクのホース継手（クイックカプラ）より燃料が吹き出す。
11,2020年10月30日,山形,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－８,2020年03月,不明,3DA-KG2P,SH,その他,２～３週間前,テレビなどが見れるディスプレイが突然真っ黒になった。ディーラーでプログラムアップデートの作業をしてもらったが、今度は走行中にテレビが表示されてしまう症状が出た。
12,2020年10月30日,山形,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－８,2020年03月,不明,3DA-KG2P,SH,制動装置,不明,ブレーキパッドのグリス不足により、前進と後進を切り替えた際にブレーキからカチンと音がする。
13,2020年10月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,その他,ＰＧＡ　車載用ＤＣ充電器　タイプＣ　タフケーブル,2020年05月,不明,PG-IQ3DC34A01BK,不明,装置その他,不明,自動車のシガーソケットに差し込んで充電に使用したところ、運転中に焦げ臭くなった。製品を見たところ発煙しており、車を止めて確認したところ、ケーブルが黒焦げになって溶けていた。
14,2020年10月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,マークＸジオ,2007年12月,"66,000 Km",DBA-ANA15,2AZ,エンジン,不明,エンジンオイルの消費が激しくなったため、トヨタに相談したところ、過去に保証延長が出ていたが、期間を終えているので有償と言われた。
15,2020年10月30日,神奈川,ＨＰ,スバル,インプレッサスポーツ,2012年02月,"104,000 Km",DBA-GP7,FB20,制動装置,２０２０年６月頃,ブレーキブースターの気密保持が出来ないため、ブレーキペダルが固く、エンジンが始動出来ない。
16,2020年10月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2015年06月,"107,900 Km",DBA-JF1,S07A,エンジン,不明,信号からの発進時、アイドリングストップから復旧をしないでそのままエンストしてしまう事がある。
17,2020年10月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2015年09月,"60,000 Km",DBA-JF1,S07A,エンジン,不明,アイドリングストップから復旧しなくなる。
18,2020年10月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,ＳＬＫ２００,2011年10月,"17,000 Km",DBA-172448,271,乗車装置,不明,高速道路を走行中、事故等になっていないのにも関わらず、運転席のアクティブヘッドレストが作動した。
19,2020年10月30日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2011年04月,"101,500 Km",DBA-ML21S,K6A,その他,不明,エアコンの効きが悪い。
20,2020年10月30日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2011年04月,"101,500 Km",DBA-ML21S,K6A,乗車装置,不明,ブレーキの荷重がかかると、助手席付近でカタカタと異音がする。
21,2020年10月30日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2011年04月,"101,500 Km",DBA-ML21S,K6A,エンジン,不明,車を使用中、エンストしたことがある。
22,2020年10月30日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2011年04月,"101,500 Km",DBA-ML21S,K6A,保安灯火,不明,左前の車幅灯が、球切れをしていないのに点灯しなくなることがある。
23,2020年10月30日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2011年04月,"101,500 Km",DBA-ML21S,K6A,動力伝達,不明,坂道でブレーキをかけている状態から発進するためブレーキペダルから足を離した際にギアがニュートラルになったような状態で車がずり下がってしまう事がある。
24,2020年10月30日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2011年04月,"101,500 Km",DBA-ML21S,K6A,乗車装置,不明,ブレーキの荷重がかかると、助手席付近でカタカタと異音がする。
25,2020年10月30日,岐阜,ＨＰ,フォルクスワーゲン,ゴルフトゥーラン,2016年11月,"47,000 Km",DBA-1TCZD,CZD,動力伝達,４００００ｋｍ超,主に１速から２速へのギアチェンジする際にジャダーが発生する。
26,2020年10月30日,奈良,ＨＰ,ニッサン,セレナＳハイブリッド,2014年09月,"51,000 Km",DAA-HFC26,MR20-SM23,制動装置,２０１６年９月１５日,走行距離２００００ｋｍ頃からリアブレーキからキーキー音が鳴り出した。
27,2020年10月30日,広島,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ＮＶ３５０キャラバン,2015年09月,"40,000 Km",CBF-VR2E26,QR20,かじ取り,不明,国４４２７のリコール対象車となり、発電機および補機ベルトを対策品と交換した車両で、リコール届出の内容にあるパワーステアリングポンプのブラケットが破損し、パワーステアリングが効かなくなった。
28,2020年10月29日,北海道,ＨＰ,スズキ,ジムニー,2009年07月,"59,800 Km",ABA-JB23W,K6A,緩衝装置,２０１７年１月,フロント左コイルスプリングがガッツンと大きな音で折れた。
29,2020年10月29日,福島,ＨＰ,ニッサン,ノート,2013年07月,"77,700 Km",DBA-E12,HR12,動力伝達,２０２０年９月３０日,ＣＶＴの不良により、高速道路を走行中にエンジンチェックランプが点灯した。
30,2020年10月29日,福島,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ハイエース,2011年04月,"210,000 Km",CBF-TRH221K,2TR,エンジン,不明,ラジエーターから液漏れした。
31,2020年10月29日,東京,ＨＰ,ニッサン,エクストレイル,2016年02月,"40,269 Km",DAA-HNT32,MR20-RM31,動力伝達,２０２０年１０月２３日,定速時にカラカラ音がする。ハイブリッドに切り替わる時に違和感がある。
