番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年07月31日,愛知,ＨＰ,三菱,ふそうキャンター,2014年04月,"60,000 Km",TKG-FEA50,4P10,車枠・車体,２０２１年３月３日,左右あおり開閉装置が外傷、物を当てた等なく突然開かなくなり破損した。そのままでは仕事ができないので無理やり開けた際、あおりの重みで手を挟み左拇指靱帯損傷のケガをした。
2,2021年07月31日,大阪,ＨＰ,スズキ,クロスビー,2018年08月,"31,000 Km",DAA-MN71S,K10C-WA05A,走行装置,２０２０年１２月,タイヤが外側が偏った摩耗をし、車両がスリップする。
3,2021年07月31日,広島,ＨＰ,三菱,ＭＩＮＩＣＡＢ－ＭｉＥＶ,2020年02月,"45,031 Km",ZAB-U68V,Y51,制動装置,納車後１年程,走行時の異音がすると共に制動力が落ちた。使用を止め点検したところ、サスペンションアームがずれて取り付けられていた影響でブレーキ配管を破損しており、更に車体が歪んでいた。
4,2021年07月31日,山口,ＨＰ,ダイハツ,ハイゼット,2018年09月,"50,300 Km",EBD-S510P,KF,車枠・車体,納車後数年後,真っ直ぐ走らなくなり、車体を確認すると、フレームへ亀裂が入っていた。
5,2021年07月31日,福岡,ＨＰ,ホンダ,オデッセイハイブリッド,2017年02月,"69,000 Km",DAA-RC4,LFA-H4,制動装置,少なくとも２０２０年１１月頃より,ブレーキマスターシリンダー付近からオイルが漏れ、ブレーキ液量低下の警告が表示された。
6,2021年07月30日,石川,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ワゴンＲ,2012年01月,"44,000 Km",DBA-MH23S,K6A,その他,不明,エバポレーターに関わるリコール措置を済ませた車で、エバポレーターに穴が開いた。
7,2021年07月30日,東京,ＨＰ,ＢＭＷ,２２０ｉ　グランツアラー,2016年01月,"34,000 Km",DBA-2D20,B48A20A,電気装置,２０２１年７月２８日,オルタネーターの不良により、高速道路を走行中にエンジン警告灯が点灯するとともにエンジンが停止し、惰性で路肩に流れ着いた。
8,2021年07月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,その他,パナソニック　ストラーダ,不明,不明,CN-MW200D,不明,装置その他,不明,バッテリーを交換するたびにカーナビが写らなくなる。１ヶ月ほど走ってると急に復帰する。その後は問題なく使える。
9,2021年07月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,エルグランド,2009年01月,"106,900 Km",CBA-ME51,VQ25,電気装置,不明,電圧低下でエンストした。この際、警告灯は点灯しなかった。
10,2021年07月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2015年01月,"34,100 Km",DBA-JF1,S07A,エンジン,２０２１年７月２３日,７月１５日に車両点検に出した車で、７月２３日に車両火災が発生した。
11,2021年07月30日,埼玉,ＨＰ,ＢＭＷ,Ｋ１３００ＧＴ,2010年02月,"50,000 Km",K1300GT,134EA,制動装置,２０２１年７月７日,ＡＢＳユニットの故障により、走行中にメーターパネル内の警告灯が点灯した。
12,2021年07月30日,愛知,ＨＰ,トヨタ,アルファード,2010年06月,"206,600 Km",DBA-ANH20W,2AZ,車枠・車体,２０２１年７月,ホワイトパール色塗装の車で、天井部分の塗装が剥がれた。
13,2021年07月30日,静岡,ＨＰ,トヨタ,ヴェルファイア,2010年02月,"56,000 Km",DBA-ANH25W,2AZ,車枠・車体,２０２１年７月２５日,パールホワイト色塗装の車で、ルーフセンター部分の塗装が２０ｃｍ四方に渡って剥がれた。
14,2021年07月30日,広島,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2013年07月,"65,000 Km",DBA-JF1,S07A,動力伝達,２０２１年７月１日,走行中に常時ＣＶＴのドリブンプーリーベアリングからカラカラと異音が発生した。販売店にて点検してもらったところ、これ以上走行するすると走行不能になると診断された。
15,2021年07月30日,広島,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ヴォクシー,2019年03月,"10,000 Km",不明,不明,電気装置,不明,前カメラ警告灯が点灯し、１０分ほどで消えた。
16,2021年07月29日,北海道,ＨＰ,ニッサン,エクストレイルハイブリッド,2015年04月,"69,068 Km",DAA-HNT32,MR20-RM31,制動装置,２０２１年７月２８日,走行中警告音が鳴り、エンジンのチェックランプが赤とオレンジの２種類点灯。ブレーキペダルが踏み込まれた状態のまま戻らない。
17,2021年07月29日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ジムニーシエラ,2016年10月,"57,000 Km",ABA-JB43W,M13A,エンジン,新車購入時より,信号待ちなどで停止し、その後発進しようとする際にエンストする。（ＡＴ車）
18,2021年07月29日,岩手,ＨＰ,トヨタ,エスティマハイブリッド,2008年08月,"166,500 Km",DAA-AHR20W,2AZ-2JM-2FM,保安灯火,２０２１年７月,ユーザー車検に際し予備車検場で検査してもらったところ、すれ違い前照灯（ヘッドライトロービーム）の光量が不足しているので車検に通らないとの指摘を受けた。
19,2021年07月29日,長野,ＨＰ,三菱,エクリプスクロス,2018年03月,"18,462 Km",DBR-GK1W,4B40,保安灯火,２０２０年１月,フロントガラスの合わせガラスの中に気泡が発生し、次第に木の根の様に気泡が伸びて行く。
20,2021年07月29日,長野,ＨＰ,ニッサン,セレナ,2012年09月,"92,000 Km",DAA-HFC26,MR20-SM23,電気装置,２０２０年５月,オルタネーターから甲高い異音が出るようになった。
