番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年08月31日,北海道,ＨＰ,スズキ,エスクード,2016年03月,"43,000 Km",DBA-YE21S,M16A,車枠・車体,購入当初から,アイスバーン路面でのコンピュータ制御不良によりふらつく。真っ直ぐ走らない。
2,2021年08月31日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノートｅ－ＰＯＷＥＲニスモＳ,2014年03月,"12,583 Km",DAA-HE12,HR12-EM57,電動機(モーター),２０２１年８月３０日,駐車のため徐行にて前進中、アクセル操作をしていないにも関わらず車が急加速し、敷地内の建物に衝突した。衝突前にインテリジェント　エマージェンシーブレーキ（自動ブレーキ）は未作動およびソナー警告音も鳴らず、衝突後に警告音が鳴った。エアバッグも作動しなかった。
3,2021年08月31日,青森,ＨＰ,トヨタ,プリウスα,2014年01月,"183,000 Km",DAA-ZVW41W,2ZR-5JM,電動機(モーター),２０２１年８月２９日,始動した際、ハイブリッドシステム異常警告灯、エンジン警告灯、電子制御ブレーキ警告灯、スリップ表示が点灯し、モーター駆動しなくなった。
4,2021年08月31日,山形,ＨＰ,三菱,ふそうキャンター,2015年01月,"56,000 Km",TKG-FDA20,4P10,排ｶﾞｽ･騒音,年に２回くらいづつ,ドージングモジュールの不良により、ＤＰＦ異常の警告が点滅する。５万ｋｍで５回同じ部品を交換している。
5,2021年08月31日,東京,ＨＰ,ＢＭＷ,ミニクロスオーバー,2015年03月,"30,800 Km",LDA-XD20F,N47C20A,エンジン,２０２１年８月２９日,走行中にバッテリーの警告灯と水温計の警告灯が点灯、アイドリングの状態で回転数が不安定で、最終的には加速もしなくなった。整備工場で確認したところ、バイブレーションダンパーがバラバラに壊れていた。
6,2021年08月31日,埼玉,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2018年05月,"13,500 Km",DBA-JF3,S07B,エンジン,２０１９年～,高速道路へ進入加速時にエンジン警告灯（ＰＧＭ－ＦＩ警告灯）が点灯するとともに失速、回転数が上がらなくなり減速した。
7,2021年08月31日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,エルフ,2019年08月,"121,100 Km",TRG-NPR85AN,不明,エンジン,不明,アイドリングストップ機能搭載車で、スターターモーターが焼損した。
8,2021年08月31日,静岡,ＨＰ,ボルボ,Ｖ６０　Ｔ４,2014年06月,"61,500 Km",DBA-FB4164T,B4164T,動力伝達,走行距離６万ｋｍ以降,シフトをバックに入れても、クラッチが繋がるまで時間がかかる。変速時に異音と振動がある。パーキングに入れサイドブレーキを掛けているのに、前に動こうとする。
9,2021年08月31日,三重,ＨＰ,ニッサン,セレナ,2012年02月,"87,861 Km",DBA-FC26,MR20,電気装置,２０２１年８月７日,オルタネーターの不良により、アイドリングストップの後、エンストして停止した。復旧したものの、異音が激しく警告灯が点滅したままとなった。
10,2021年08月31日,大阪,ＨＰ,シボレー,キャプティバ,2016年12月,"69,000 Km",不明,LE9,動力伝達,２０２１年１月１３日午前９時頃,街中を通常走行中、突然激しい機械の引きずり音と振動が発生した。バックミラー越しに白煙が上がっているのを確認した。ディーラーで確認したところ、トランスファーが内部で瓦解していたと診断された。
11,2021年08月31日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ＮＶ３５０キャラバン,2015年09月,"78,000 Km",LDF-VW2E26,YD25,走行装置,２０２１年,リヤアクスルのオイルシールに関わるリコール作業を済ませた車で、リコール作業から３年３万ｋｍ程度使用後にオイルシールからオイル漏れをした。
12,2021年08月31日,兵庫,ＨＰ,トヨタ,クラウン,2019年03月,"16,000 Km",6AA-AZSH20,A25A-1KM,燃料装置,２０２１年８月３０日,燃料ポンプの不良により、高速道路を走行中、突然エンジンに異常振動が発生した。エンストを起こすのではと思ったと同時にモニター警告灯が点灯（エンジン故障・その他の故障のサイン）した。警告音は鳴らなかった。その後、エンジンは元の状態になったが、警告灯は点灯し続け、購入先のディーラーで修理をするようにとメッセージが出た。
13,2021年08月31日,鳥取,ＨＰ,スバル,フォレスター,2018年06月,"53,000 Km",5AA-SKE,FB20,動力伝達,２０２０年冬頃,雪道を走行中、ＡＷＤ警告灯が点灯すると同時に挙動が激しく乱れ、スピンした。
14,2021年08月31日,島根,ＨＰ,ダイハツ,タント,2020年10月,"14,500 Km",6BA-LA650S,KF,エンジン,２０２１年７月,走行中、スマートアシストの警告が液晶に表示されると同時に、様々な警告灯が点灯し、エンジンが轟音を上げて全開になった。ブレーキから煙が出るまでブレーキペダルを踏み、エンジンボタンを押しながらエンジン停止を試みるが、全く反応しなかった。自動ブレーキのスマートアシストが作動せず崖に衝突し止まった。
15,2021年08月31日,山口,ＨＰ,ダイハツ,タフト,2021年05月,"8,900 Km",5BA-LA900S,KF,制動装置,２０２１年８月,高速道路を走行中、スマートアシストが誤作動し、走行中にも関わらず突然急ブレーキが掛かりタイヤから白煙が上がった。
16,2021年08月31日,福岡,ＨＰ,ダイハツ,ハイゼット,2017年09月,"45,000 Km",3BD-S510P,KF,保安灯火,２０２１年６月,ヘッドライトユニット裏のフレームが歪み光軸がズレてしまう。テールライトユニットが華奢な設計であぜ道走行中に外れる。
17,2021年08月31日,福岡,ＨＰ,三菱,ｅＫクロス,2020年07月,"24,000 Km",4AA-B35W,BR06,エンジン,今年中旬,購入して間もないがエンジンから煙が上がりオーバーヒートした。
18,2021年08月31日,佐賀,ＨＰ,ホンダ,Ｎ－ＶＡＮ,2018年09月,"54,000 Km",5BD-JJ2,S07B,車枠・車体,２０２１年,運行前に点検しようと車両を見渡したところ、車の下回りの部分に大きな亀裂が確認された。
19,2021年08月31日,長崎,ＨＰ,ニッサン,セレナ,2013年01月,"93,000 Km",DAA-HC26,MR20-SM23,電気装置,２０２１年夏,オルタネーターから異音がするようになった。
