番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年01月31日,東京,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,2017年10月,"11,000 Km",JBK-BX250A,BX250AE,エンジン,不定期,発進時、ギヤを入れてクラッチを繋ぐ直前にエンジンがストールする。
2,2019年01月31日,群馬,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,2015年09月,"9,000 Km",JBK-BX250A,BX250AE,エンジン,購入した２０１８年９月以降乗る度に発生,発進時又は減速時にクラッチを切って微小アクセルを開けた時にエンストする。
3,2019年01月31日,山梨,ＨＰ,ダイハツ,ミライース,2018年09月,不明,DBA-LA350S,KF,動力伝達,毎日,朝、夕方のエンジン始動直後にＣＶＴから異音がする。
4,2019年01月31日,愛知,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,2016年10月,"16,015 Km",JBK-BX250A,BX250AE,エンジン,通年,交差点にて発進時クラッチを繋ぐ直前、または低速時走行時に微小なスロットル操作をするとエンジンが停止する。
5,2019年01月31日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,Ｓ４５０,2018年10月,不明,DAA-222058,256-EM0014,制動装置,２０１９年１月２４日,ガソリンスタンドから道路に出るため、歩道を跨いで一時停止をし、自転車の通行を避けるために一旦バックをしようとしたところ、何かに衝突したかのようにドカンッという衝撃と共に車が急停止した。降車して車両と周囲を確認したが、車両前方を自転車が通過した以外には何もなかった。
6,2019年01月31日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2019年01月,不明,DAA-MK53S,R06A-WA05A,乗車装置,購入直後から,左ドアが、半ドアになりやすい。
7,2019年01月31日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,パッソ,2011年09月,"50,000 Km",DBA-KGC30,1KR,燃料装置,２０１８年９月～１０月ごろ,山道走行中に燃料ポンプが故障し、エンジンが停まったため、ブレーキ、ハンドルとも操作困難になった。
8,2019年01月31日,大阪,ＨＰ,ニッサン,キャラバン,2009年09月,"168,000 Km",ADF-VWME25,ZD30,エンジン,２０１７年１２下旬頃,気温０度以下の状態でアイドリングしていると、水温が下がりヒーターが効かなくなる、また長い下り坂など長時間アクセルを開けない状況になると水温が下がる。
9,2019年01月31日,山口,ＨＰ,ダイハツ,コペンローブ,2014年10月,"27,000 Km",DBA-LA400K,KF,エンジン,２０１７年１０月,インタークーラーからスロットル間のパイピング部品にクラックが入った。
10,2019年01月31日,高知,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,タント,2018年03月,不明,DBA-LA600S,KF,エンジン,２０１８年７月頃、１０月３０日の２回,発進時、アクセルを殆ど操作していないのにも関わらず、急発進をした。
11,2019年01月31日,福岡,ＨＰ,フォルクスワーゲン,ゴルフ,2013年12月,"45,900 Km",ABA-AUCHH,CHH,保安灯火,２０１５年１０月頃,新車から２年目でヘッドライト内側に細いウロコ状の亀裂が徐々に入り、プロジェクターレンズが白濁したため、照度が激減し、夜間走行において視認性が落ちた。
12,2019年01月31日,不明,電話,トヨタ,ヴィッツ,2018年05月,不明,DBA-KSP130,1KR,制動装置,不明,前方に特段の問題が無いところで被害軽減ブレーキの警告が出る。
13,2019年01月30日,岩手,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ティアナ,2006年07月,"153,100 Km",CBA-TNJ31,QR25,燃料装置,不明,給油口から燃料タンクまでのパイプが腐食して穴が開き、給油時に燃料が漏れた。ディーラーで応急処置を受けたが、数年経過してパイプの腐食が進み、燃料タンク内に錆が溜まったために突然エンジンがかからなくなった。
14,2019年01月30日,青森,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノートｅ－ＰＯＷＥＲ,2017年02月,不明,DAA-HE12,HR12-EM57,電気装置,不明,バッテリー上がり状態になり、エンジンの始動が出来なくなった。
15,2019年01月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,その他,ＫＭＳ　汎用ハイスロキット,不明,不明,-,不明,装置その他,不明,当該製品をホンダ・スーパーカブに装着して使用したところ、走行中にスロットルワイヤーの装着部がグリップ部と分離し、グリップ部はハンドルから抜け、ワイヤー装着部はスロットル全開位置で引っかかったため、バイクが暴走しそうになり、ブレーキで強引に停めたため、足を負傷した。
16,2019年01月30日,千葉,ＨＰ,スバル,インプレッサ,2017年08月,不明,DBA-GT7,FB20,その他,２０１７年８月,エアコンをフルオート運転状態で内外気切替ボタンを押し内気循環に切り替えた後（マニュアルモードになる）、エアコンをＯＦＦにすると、実際は内気循環状態であるにもかかわらず、内外気状態を表示するランプが消灯状態となり、取扱説明書に記載の「内気循環中はランプが点灯する」という内容と相違がある。また、一目見ただけでは外気導入状態であると誤認する。
17,2019年01月30日,栃木,ＨＰ,ホンダ,ステップワゴンハイブリッド,2019年01月,680 Km,6AA-RP5,不明,動力伝達,２０１９年１月２９日,ドライブシャフトブーツのバンドの締め付けが緩んでいてグリスが漏れてしまっている。
18,2019年01月30日,愛知,ＨＰ,アウディ,Ｑ５,2014年02月,不明,ABA-8RCNCF,CNCW,その他,購入してから１年ぐらい,助手席側のエアコン吹き出し口から、設定温度に関係無く熱風が出る。エアコンを切っても風量が少ないが熱風が出たままになる。
19,2019年01月30日,静岡,電話,ニッサン,リーフ,2016年09月,不明,ZAA-AZE0,EM57,制動装置,不明,当該リーフで２～３ｋｍ／ｈで走行していて、自動ブレーキが作動せず、前方の軽自動車に追突事故を起こしてしまった。
20,2019年01月30日,静岡,ＨＰ,スズキ,ランディ,2009年10月,"75,000 Km",SC25,不明,動力伝達,不明,ＣＶＴ（無段変速機）の不良により、普段からターボ音のような唸りがあったが、高速道路で突然スピードが２０ｋｍ／ｈぐらいしか出なくなった。
21,2019年01月30日,大阪,ＨＰ,トヨタ,ハイエース,2013年11月,"34,600 Km",CBA-TRH219W,2TR,車枠・車体,２０１９年１月２０日,洗車をしていたところ、ぶつけてもないのに屋根の塗装が一部剥離して、金属の下地が出ていることを発見した。
22,2019年01月30日,山口,ＨＰ,スズキ,ワゴンＲ,2012年12月,"27,000 Km",DBA-MH34S,R06A,エンジン,２０１８年１１月２１日、２０１９年１月２,エンジンの再始動が出来なかった。
23,2019年01月30日,佐賀,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2018年03月,不明,DBA-JF3,S07B,保安灯火,２０１８年１２月２７日,コンピューターの演算システムの不良により、方向指示器がスイッチを操作しても点滅しなくなり、パワースライドドアも動かなくなった。
24,2019年01月29日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,アルファード,2005年11月,"113,500 Km",TA-MNH15W,1MZ,エンジン,不明,アクセルを開けても加速しない場合や、ギア抜けの症状が出る。
25,2019年01月29日,宮城,ＨＰ,ニッサン,セレナ,2012年09月,"54,674 Km",DAA-HC26,MR20-SM23,エンジン,２０１８年１月以降,信号待ちから加速しようとしたときにエンストする。
26,2019年01月29日,青森,ＨＰ,トヨタ,ヴェルファイア,2012年01月,"76,000 Km",DBA-ANH25W,2AZ,エンジン,２０１８年４月頃より,エンジンオイルが異常消費している。２０１８年夏頃にオイル交換後、約３０００ｋｍで点検時、レベルゲージに付かなくなった。
27,2019年01月29日,山形,ＨＰ,ニッサン,エクストレイル,2013年03月,"41,000 Km",DBA-NT31,MR20,動力伝達,２０１９年１月２３日,ＣＶＴ（無段変速機）の不良により、一般道路を走行中に突然異音がして、アクセルペダルを踏んでもエンジンが吹けなくなり、停止した。
28,2019年01月29日,長野,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,ウェイク,2016年02月,不明,DBA-LA710S,KF,車枠・車体,２０１８年秋ごろ,アンダートランクの樹脂カバーと、車体の鉄板が接触しているところが、排気管の熱により溶損していた。
29,2019年01月29日,神奈川,ＨＰ,ニッサン,セレナ,2011年08月,"63,700 Km",DBA-C26,MR20,電気装置,２０１８年１１月１１日,オルタネータープーリーが脱落したため、信号待ちをしていたらエンジンルームから異音がし、エンジンが停止してしまった。
30,2019年01月29日,茨城,24時間電話,アルファロメオ,ミト,2010年12月,"52,200 Km",ABA-95514P,955A7,かじ取り,２０１９年１月１５日、１月２９日,パワーステアリングの不良により、走行中に突然ハンドルが切れなくなり、ハンドルマークの警告とブザーが鳴った。
31,2019年01月29日,山梨,ＨＰ,ジープ,コンパスリミテッド,2018年08月,不明,ABA-M624,B,車枠・車体,新車を購入時,フロントガラスとピラーの間に１センチくらいの隙間があり、中のフレームが見えていた。
32,2019年01月29日,山梨,ＨＰ,ジープ,コンパスリミテッド,2018年08月,不明,ABA-M624,B,制動装置,新車を購入時,ブレーキをかけるとキーキー音がする。
33,2019年01月29日,愛知,ＨＰ,ニッサン,フェアレディＺ,2011年05月,"44,100 Km",CBA-Z34,VQ37,かじ取り,２０１９年１月１８日,ステアリングロックモーターの不良により、キー警告灯が点灯したままになり、エンジンが始動しなくなった。
34,2019年01月29日,大阪,ＨＰ,ニッサン,セレナ,2015年01月,"25,000 Km",DAA-HFC26,MR20-SM23,保安灯火,２０１８年７月,ハイマウントストップランプのレンズに縦方向に亀裂が入った。
35,2019年01月29日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,スバル,レガシィ,2004年09月,"76,000 Km",TA-BP5,EJ20,エンジン,２０１８年９月３０日,ウォーターポンプのベアリングが固着し、タイミングベルトが切れ、切れたものがクランクギアにまきついたため、走行中に何の予兆も無く突然エンストし、走行不能になった。
36,2019年01月29日,福岡,ＨＰ,ヒュンダイ,ユニバース,2015年12月,"50,957 Km",LDG-RD00,D6CC,その他,２０１９年１月２４日,高速自動車道を走行中に速度計が８０ｋｍ／ｈを指示したまま動かなくなった。
37,2019年01月29日,沖縄,ＨＰ,スズキ,キャリイ,2004年03月,"78,300 Km",LE-DA63T,K6A,その他,２０１８年,スピードメーターが点いたり消えたりした後に完全に消えた。
38,2019年01月28日,神奈川,ＨＰ,フィアット,アバルト５００,2011年01月,"32,000 Km",ABA-312141,312A1,動力伝達,２０１９年１月２７日,走行中、クラッチペダルが戻ってこなくなり、ちょっと踏んだら元に戻ったが、足元に何かダンパーのような物とそれに付随するプレートが転がってきた。
39,2019年01月28日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,エブリイ,2016年08月,"28,600 Km",EBD-DA17V,R06A,制動装置,何度も発生,急な飛び出しなどに対して急ブレーキをかける際、倍力装置が働いていないのではないかと思うような、ブレーキの効き不良が発生する。
40,2019年01月28日,愛知,ＨＰ,いすゞ,ギガ,2006年10月,"31,200 Km",PJ-CYL51Q6,6WF1,緩衝装置,２０１８年１２月,ＲＲスタビリンカー脱落により、エアサスベローズが破損し、走行不能になった。
41,2019年01月28日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,アクセラ,2018年09月,681 Km,LDA-BMLFP,S5,その他,購入直後から,マツダコネクト（カーナビゲーション）の作動が安定せず、運転開始後、再起動を繰り返す。
42,2019年01月28日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,ＵＤトラックス,クオン,2014年07月,"300,000 Km",QKG-CW5XL,GH11,エンジン,不明,ブローバイ本体と、インタークーラー周辺からオイルが漏れる。
43,2019年01月28日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,カローラアクシオ,2012年03月,"36,700 Km",DBA-NZE141,1NZ,エンジン,２０１９年１月２５日,車止めの無い店舗の駐車場において、バックで駐車し、所定の位置に止まれたので、ギアをＰにして駐車ブレーキを引き、ブレーキペダルから足を離した途端、後方へ急発進し、後方に止まっていた駐車車両に衝突した。
44,2019年01月28日,広島,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ミニクロスオーバー,2018年01月,不明,不明,不明,その他,不明,後部ドアがリモコン操作のボタン一つで自動開閉するタイプの車両で、機械式駐車場に駐車後、ドアロックをして車両から離れた後、知らぬ間にリモコンのボタンを押していたようで、ドアが開いたままとなったため、駐車パレットの移動時に設備のチェーンにドアが絡まってしまった。
45,2019年01月28日,福岡,ＨＰ,日野,セレガ,2012年03月,"351,700 Km",LKG-RU1ESBA,E13C,車枠・車体,２０１８年１１月,運転席と乗降口の上のプラスチックカバーのコーキング不良により、天井から運転席に雨漏りした。
46,2019年01月28日,福岡,ＨＰ,マツダ,ＣＸ－５,2015年03月,"44,500 Km",LDA-KE2FW,SH,保安灯火,２０１９年１月１５日　午前７時,エンジンを始動するとヘッドライト警告灯が点灯し、アダプティブＬＥＤヘッドライト（ＡＬＨ）が作動せず、ハイビームになったままの状態となる。
47,2019年01月28日,大分,ＨＰ,ニッサン,フェアレディＺ,2008年12月,"140,000 Km",CBA-Z34,VQ37,かじ取り,２０１９年１月２６日,ステアリングロックの不良により、出先の駐車場で何の前兆もなく、突然エンジンが始動しなくなった。ＫＥＹ警告灯が点灯し、ＡＣＣにもＯＮにもならなかった。
48,2019年01月27日,宮城,ＨＰ,ボルボ,Ｖ４０,2014年08月,"63,400 Km",DBA-MB4164T,B4164T,動力伝達,２０１９年０１月,「トランスミッション機能低下の警告」アラート表示となり、走行時ミッション抜けが発生し、走行不能になった。
49,2019年01月27日,東京,ＨＰ,スバル,レガシィＢ４,2009年07月,"139,400 Km",DBA-BM9,EJ25,制動装置,２０１８年９月ごろ,ブレーキマスターバックの空気漏れにより、エンジン始動時、ブレーキペダルが相当な強い力をかけないと踏み込めなくなった。
50,2019年01月27日,東京,ＨＰ,スバル,レガシィＢ４,2009年07月,"139,400 Km",DBA-BM9,EJ25,動力伝達,２０１９年１月ごろ,５ＡＴ車で、１→２速、２→３速変速時に、一瞬ニュートラルに入り、その後強い衝撃と共に変速される。
51,2019年01月27日,愛知,ＨＰ,トヨタ,スペイド,2014年02月,"31,535 Km",DBA-NCP141,1NZ,エンジン,不明,オイル交換時にオイル漏れが発見された。
52,2019年01月26日,山形,ＨＰ,トヨタ,シエンタ,2016年02月,不明,DBA-NSP170G,2NR,保安灯火,常時,ワイパーブレードの両端がぶれ、真っ直ぐ水かき動作を行わない。ビビリ音が常に発生する。
53,2019年01月26日,神奈川,ＨＰ,トヨタ,プリウス,2016年02月,"24,000 Km",DAA-ZVW51,2ZR-1NM,エンジン,２０１９年１月１９日午後３時３７分,信号発進時、前の車に続き、アクセルペダル踏んでスタートしたが、２～３ｋｍ／ｈでチョロチョロと発進し、もう少し踏み込んだ瞬間、ちょっと加速をし、いつもの乗り心地に戻った。
54,2019年01月26日,山梨,24時間電話,三菱,ふそうスーパーグレート,2016年04月,"160,000 Km",QKG-FV60VX,6R10,エンジン,２０１８年１２月,メーターの警告灯が出ていない状態で、インジェクターノズルが不具合を起こし、エンジンがかからなくなった。
55,2019年01月25日,長野,ＨＰ,スバル,サンバー,2003年06月,"45,000 Km",LE-TT2,EN07,動力伝達,昨年の１２月の雪道,４ＷＤのＡＴ車で、雪の林道の坂道でスリップして登れなかった。
56,2019年01月25日,千葉,ＨＰ,ＵＤトラックス,クオン,2016年07月,"312,000 Km",QKG-GK6XAB,GH13,エンジン,不明,インジェクターの不良により、エンジンがなかなかかからない。
57,2019年01月25日,千葉,ＨＰ,ＵＤトラックス,クオン,2016年07月,"312,000 Km",QKG-GK6XAB,GH13,動力伝達,不明,クラッチシリンダーの不良により、突然ギアが入らなくなり走行不能になる。
58,2019年01月25日,埼玉,ＨＰ,フォード,フォーカス,2014年03月,"62,000 Km",ABA-MPBMGD,MGD,保安灯火,２０１８年１２月,ヘッドライト部の純正ＬＥＤスモールランプが左右ともチカチカ点滅している。
