番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年02月28日,東京,ＨＰ,フォルクスワーゲン,ゴルフヴァリアント１．４／１０３ｋＷ,2018年03月,"19,500 Km",ABA-AUCHP,CHP,電気装置,購入後半年後位,ＮＥＣのＷｉ－ＦｉルーターＷＸ０６をＶｏｌｋｓｗａｇｅｎ純正インフォテイメントシステム　“Ｄｉｓｃｏｖｅｒ　Ｐｒｏ”とネット接続すると走行中に、本機が再起動を繰り返す。
2,2022年02月28日,茨城,ＨＰ,トヨタ,ヤリスクロス,2021年03月,不明,6AA-MXPJ10,M15A-1NM,その他,不明,坂道下り坂や橋を走行中にスリップをしていないのにメーターにＴＲＣの表示が出る。
3,2022年02月28日,茨城,ＨＰ,トヨタ,ヤリスクロス,2021年03月,不明,6AA-MXPJ10,M15A-1NM,その他,２０２１年１１月３日,購入後、一ヵ月　走行中にトヨタセーフティセンスのセンタートレース機能が誤作動。またセンタートレース機能ＯＮ設定しているが、ＯＦＦの警告が出る、後レーントレーシングアシスト及びＲＣＡＴの表示も出る
4,2022年02月28日,茨城,ＨＰ,トヨタ,ヤリスクロス,2021年03月,不明,6AA-MXPJ10,M15A-1NM,その他,不明,走行中、車線を変更しようとした際、実際には車両がいるのにドアミラーのブラインドスポットモニターの警告が点灯しない
5,2022年02月28日,茨城,ＨＰ,トヨタ,ヤリスクロス,2021年03月,不明,6AA-MXPJ10,M15A-1NM,電気装置,２０２２年１月２１日１８：００頃,突然ブザーが鳴りだし、液晶画面に「車内にキーがあります」警告表示が出る。どう対処するか解らず、２分ぐらいたってころ外の状況を確認しようとしドアを開けたところ、ブザーが停止し、警告も消灯した。
6,2022年02月28日,茨城,ＨＰ,トヨタ,ヤリスクロス,2021年03月,不明,6AA-MXPJ10,M15A-1NM,エンジン,２０２１年１２月２７日１７：００頃,エンジンを起動しようとするが起動せず、キー本体でプッシュスタートＳＷを押したところ起動できた。
7,2022年02月28日,茨城,ＨＰ,トヨタ,ヤリスクロス,2021年03月,不明,6AA-MXPJ10,M15A-1NM,その他,２０２１年１０月８日１７：４５頃,走行中「前方カメラが使用できません」の警告及びブザー音が鳴った。
8,2022年02月28日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,エブリイ,2016年01月,"100,000 Km",ABA-DA17W,R06A,エンジン,２０２２年,クランクシャフト付近から異音がするようになった。ディーラーに相談したところ、エンジン載せ替えか、オーバーホールになる。と見積もられている。
9,2022年02月28日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ハイエース,2021年02月,不明,QDF-GDH201V,1GD,乗車装置,冬季など、寒いとき,スライドドアの内部からドンドン、ガチャガチャと異音が出る。
10,2022年02月28日,静岡,ＨＰ,ニッサン,ＲＯＯＸ,2021年06月,不明,5AA-B44A,BR06-SM21,エンジン,購入から３か月程度,エンジンを切って、その後に再始動しようとした際に、エンジンがかからず、メーターの画面がパシパシと異常な表示をするとともに鍵が見つからないという警告が出た。鍵をスペアキーと交換してみても効果がなくディーラーでコンピューターの不良ではないかと言われている。
