番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年02月28日,東京,ＨＰ,ＢＭＷ,３２０ｄ,2014年02月,"38,308 Km",LDA-3D20,N47D20C,制動装置,２０２１年２月２８日,一般道路を走行中にブレーキシステムの警告、衝突警告機能制限、走行安定性走行注意の警告と共にブレーキがだんだん効かなくなった。
2,2021年02月28日,埼玉,ＨＰ,ボルボ,ＸＣ９０,2006年05月,"196,000 Km",CBA-CB5254AW,B5254,燃料装置,２０２１年１月２日,給油口近くのゴムにヒビが入ったため、ガソリンを満タンにして車体が右に傾く場所に止めていたところ、給油口近くの足回り付近からガソリンがポタポタ漏れていた。
3,2021年02月28日,静岡,ＨＰ,ニッサン,ノートｅ－ＰＯＷＥＲメダリスト,2017年06月,"11,380 Km",DAA-HE12,HR12-EM57,エンジン,２０２１年１月１５日,ワンペダル走行で駐車をするため、軽くアクセルペダルを踏みながらゆっくりバックしていた時、突然車が急加速し、車止めを乗り越えて物置に激突した。
4,2021年02月28日,兵庫,ＨＰ,ニッサン,セレナ,2013年11月,"64,000 Km",DAA-HFC26,MR20-SM23,エンジン,２０２０年１０月,エンジンのノッキングが少しずつ大きくなり、その後エンジンルームから異音が発生した。
5,2021年02月28日,徳島,ＨＰ,メルセデス・ベンツ,Ｓ３５０,2006年12月,"84,000 Km",DBA-221056,272,エンジン,不明,バランスシャフトのスプロケットが摩耗したためチェックランプが点灯し、走行不能になった。
6,2021年02月28日,福岡,ＨＰ,スバル,レヴォーグ,2020年12月,"1,439 Km",4BA-VN5,CB18,制動装置,２０２１年２月１６日,ブレーキブースター及びバッテリーの不良により、一般道でのブレーキ操作時にブレーキペダルが重くなった。それ以降、ブレーキペダルを踏みこんでも停止しづらい状態になり、警告音及び警告表示が出た。
7,2021年02月28日,福岡,ＨＰ,スバル,レヴォーグ,2020年12月,987 Km,4BA-VN5,CB18,エンジン,２０２１年２月１日６：４５,プッシュスタートを押してもエンジンがかからない。
8,2021年02月27日,新潟,ＨＰ,三菱,ｉ－ＭｉＥＶ,2012年07月,"30,100 Km",ZAA-HA3W,Y4F1,動力伝達,２０２１年１月,パーキングレンジに入れた時にミッション内のギアをロックする部品の破損により、パーキングレンジに入れ、サイドブレーキをひかないと車がバックに下がったり、傾斜のある場所では、どこまでも動き続ける。
9,2021年02月27日,長野,ＨＰ,トヨタ,ウィッシュ,2004年03月,"161,100 Km",CBA-ZNE10G,1ZZ,エンジン,走行時,走行時、特に５０ｋｍ／ｈ以上出ている時にエンジンルーム内から「ゴーゴー」と毎回異音がする。
10,2021年02月27日,神奈川,ＨＰ,トヨタ,プリウス　Ｓツーリング,2016年03月,"51,455 Km",DAA-ZVW50,2ZR-1NM,かじ取り,２０２１年２月,徐行での交差点の右左折、車庫入れや切り替えしなど低速時にハンドルを何回か回すと引っ掛かかるような感触があり、その後、抜けるような感触とカク、カクというような感じの振動がでる。
11,2021年02月27日,香川,ＨＰ,トヨタ,カムリ,不明,不明,DAA-AVV50,不明,保安灯火,中古車購入時から,フロントガラスの縁から１～２ｃｍ幅の部分で四面共にガラス内に気泡のような跡がある。
12,2021年02月26日,山形,ＨＰ,ホンダ,オデッセイ,2013年03月,"123,288 Km",DBA-RB3,K24A,エンジン,不明,冷寒時、エンジン始動後にガガと異音が鳴る。ディーラーでＶＴＣアクチュエーター等の交換をしたが、改善されず、再発した。
13,2021年02月26日,秋田,ＨＰ,ニッサン,セレナハイウェイスター,2016年05月,"53,000 Km",DBA-FNC26,MR20,動力伝達,２０２０年秋頃,ＣＶＴのコントロールバルブの不良で、エンジンからうなるような異音がするようになり、走り出しが重く加速が悪くなった。寒くなると変速がうまく切り替わらず、低速ギアのまま２０００回転までアクセルペダルを踏んでも４０ｋｍ／ｈくらいまでしかスピードが出なかった。
14,2021年02月26日,長野,ＨＰ,トヨタ,ＲＡＶ４,2020年10月,"3,500 Km",6LA-AXAP54,A25A-5NM-4NM,車枠・車体,２０２０年１１月１２日～,ヒートポンプエアコン付近から大きな異音が発生するとともに、ハンドル・ブレーキペダル・アクセルペダルがブルブルと振動する。
15,2021年02月26日,長野,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,３０８,2019年01月,"49,000 Km",LDA-T9YH01,YH01,エンジン,２／２４夜,高速道路走行中にエンストした。警告灯が点灯しており、再始動出来なかった。
16,2021年02月26日,東京,ﾌﾘｰﾀﾞｲｱﾙ,テスラ,モデルＳ,2015年10月,"51,000 Km",ZAA-SL2SA,L2S-L2S,動力伝達,不明,駐車場でギアがＰからＤに入らなくなった。ファームウェアのアップデートが来ないと直らないということだが、いつまで経っても来ない。
17,2021年02月26日,埼玉,ＨＰ,ニッサン,エクストレイル,2014年05月,"56,000 Km",DBA-NT32,MR20,動力伝達,２０２１年２月中旬,ＣＶＴベルトの滑りにより、アクセルペダルを踏むとガタガタと強い衝撃が起き、次第に駆動力が伝わらなくなり自走不能となった。
18,2021年02月26日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,エルフ,2020年08月,不明,2RG-NKR88A,4JZ1,車枠・車体,不明,荷台あおりの支柱にコントロールボックスが溶接されていて、そこにあおりのフック受けがついているが、コントロールボックスごと傾いて折れた。
19,2021年02月26日,愛知,ＨＰ,ニッサン,セレナ,2012年10月,"73,302 Km",DAA-HFC26,MR20-SM23,電気装置,２０２１年２月２５日,オルタネーターの不良により、走行中に異音が発生するようになった。
20,2021年02月26日,静岡,ＨＰ,ニッサン,フェアレディＺ,2012年03月,"53,000 Km",CBA-HZ34,VQ37HR,かじ取り,２０２１年２月１９日,ステアリングロックアクチュエータの故障により、キーシステムが作動しなくなったため、エンジンが始動出来ず、走行不能になった。キーシステムに問題があるという警告がメータ内に表示されていた。
21,2021年02月26日,兵庫,ＨＰ,スズキ,スペーシア,2016年03月,"51,000 Km",DAA-MK42S,R06A-WA04A,エンジン,２０１７年に気が付く,寒いときの始動時、エンジンが高回転になり、なかなか回転数が下がらず、ギアを入れるとより回転が上がり継続する。この症状により、ブレーキを放した途端に凄い勢いで後進して慌ててしまい、ブレーキの操作を誤り後部をぶつけてしまった。
22,2021年02月26日,山口,ＨＰ,ニッサン,デイズルークス,2015年03月,"33,100 Km",DBA-B21A,3B20,保安灯火,２０２１年２月,左側ドアミラーが自動開閉せず、モーター音だけが出ている。
23,2021年02月26日,佐賀,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,ポロ,2011年02月,"57,100 Km",DBA-6RCBZ,CBZ,エンジン,不明,タイミングベルト不具合により、エンジンから異音が出る。
24,2021年02月26日,熊本,ＨＰ,ニッサン,エクストレイル　ハイブリッド,2015年07月,"30,000 Km",DAA-HNT32,MR20-RM31,動力伝達,２０２０年頃から,走行中、電気駆動からエンジンに切り替わる際に「キュン」という異音がする。また、停止状態から車庫入れ等を行う際にもエンジンが動くと異音がする。
25,2021年02月26日,熊本,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,アルファード,2010年07月,"80,000 Km",DBA-ANH20W,2AZ,車枠・車体,４～５日前,塗装が剥がれた。
26,2021年02月26日,沖縄,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2012年12月,"78,000 Km",DBA-JF1,S07A,動力伝達,２０２１年１月,加速時、２０ｋｍ／ｈ程度からＣＶＴより異音が発生し、同時にガタガタとした振動を伴いながら加速していく。速度が速くなれば異音も大きくなるが、振動は低速時に発生する事が多い。メーターでの警告灯などは一切点灯しない。
27,2021年02月25日,岩手,ＨＰ,三菱,ふそうスーパーグレート,2013年09月,"760,000 Km",QKG-FS55VZ,6R10,エンジン,２０２０年１月７日,ラジエータアッパーホース部亀裂がはいった。
28,2021年02月25日,長野,ＨＰ,ダイハツ,ハイゼットカーゴ,2015年07月,"380,000 Km",EBD-S331V,KF,動力伝達,２０２０年５月,オートマチックトランスミッションのガード付きオイルパンにおいて、隙間が狭く水が入ると逃げ場がなく、オイルパンが錆びる。
29,2021年02月25日,東京,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ルーミー,2018年03月,不明,DBA-M910A,1KR,その他,不明,スマートアシストの後方誤発進防止装置が機能しない。
30,2021年02月25日,埼玉,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2013年11月,"30,204 Km",DBA-JF1,S07A,エンジン,最近,エンジンタイミングケース付近からオイル漏れにより、エンジンからオイルの焼ける臭いがする。
31,2021年02月25日,愛知,ＨＰ,ＢＭＷ,１１６ｉ　ＳＰＯＲＴ,2012年03月,"63,000 Km",DBA-1A16,N13B16A,燃料装置,２０２１年２月２０日,フューエルポンプ機能不良により、走行中にエンジンがストールして停止し、再始動出来なくなったため、レッカー搬送した。
32,2021年02月25日,静岡,ＨＰ,ニッサン,ノート,2012年02月,"42,300 Km",DBA-E11,HR15,動力伝達,２０２１年２月１４日,車検の見積もり点検時、ＣＶＴから異音が出ている事が確認された。
33,2021年02月25日,京都,ＨＰ,ホンダ,ＰＣＸ１５０,2018年08月,"16,000 Km",2BK-KF30,KF30E,エンジン,２０２０年１２月,アイドリングストップ機能をＯＦＦにした状態で信号待ち・一時停止し、そこから再発進するためアクセルを回すと突如エンストすることがある。
34,2021年02月25日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ミニクーパー,2008年06月,"72,700 Km",ABA-MM16,N14B16A,エンジン,不明,６～７万ｋｍでタイミングチェーンガイドが割れる。
35,2021年02月25日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,１１６ｉ,2012年12月,"59,500 Km",DBA-1A16,N13B16A,エンジン,不明,エンジンのミスファイアが有り、エンジンチェックランプが点灯してエンジンが不調になった。車両を確認したところ点火コイルが溶損するとともにコンピューターの内部が壊れていた。
36,2021年02月25日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ミニクーパー,2010年06月,"71,900 Km",ABA-ML16,N12B16A,エンジン,不明,６～７万ｋｍでタイミングチェーンガイドが割れる。
37,2021年02月25日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ミニ,2011年02月,"67,200 Km",DBA-SV16,N18B16A,燃料装置,不明,燃料高圧ポンプの不良により、エンジンが不調になり、加速不良、始動不良が発生する。
38,2021年02月25日,沖縄,ＨＰ,マツダ,フレアワゴン,2013年08月,"93,400 Km",DBA-MM32S,R06A,動力伝達,購入して１週間後,ＣＶＴコントローラーの不良により、走行中にエンジンの回転数が上下する。
39,2021年02月24日,北海道,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2015年09月,"45,000 Km",DBA-JF2,S07A,車枠・車体,常に,フロントバンパーの爪部の強度がない。
40,2021年02月24日,宮城,ＨＰ,ボルボ,ＸＣ６０,2012年05月,"75,000 Km",CBA-DB4204TXC,B4204T,動力伝達,２０２１年２月２２日午後２時頃,一般道を走行中ギアが３速までしか入らず、最高速度が５０ｋｍ／ｈ程度までしか出なくなった。また、バック出来ない状態になった。
41,2021年02月24日,神奈川,ＨＰ,メルセデス・ベンツ,Ｃ１８０,2016年02月,"20,700 Km",DBA-205040C,274M16,その他,２０２１年２月１８日,ソフトウェアの不備により、ドライブトレーンコントロールユニットを更新しないとメータパネル内の整備を促すメッセージ表示をリセットできない。
42,2021年02月24日,神奈川,ＨＰ,ＢＭＷ,Ｒ１２５０ＧＳ－Ａ,2021年01月,"1,000 Km",2BL-R12MA,A74B12M,保安灯火,購入納車後すぐ（２０２１年２月）,ホーンを吹鳴するとブレーキランプの異常を知らせるメッセージが表示され、以降ブレーキランプが点灯しない。イグニッションオンオフで回復する。
