番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年06月30日,神奈川,ＨＰ,フォルクスワーゲン,ポロ,2018年11月,"12,000 Km",ABA-AWCZP,CZP,保安灯火,２０１９年１月,フロントワイパーよりビビり音が発生するともに、十分なふき取りができないため、視界確保に支障をきたしている。
2,2019年06月30日,埼玉,ＨＰ,フォルクスワーゲン,ゴルフ,2015年03月,"36,000 Km",DAJ-AUCJZ,CJZ,走行装置,２０１７年８月、２０１８年８月、２０１９,走行中いきなり警告音が出て、ＥＳＰ／ＡＣＣエラーが点灯、その後タイヤ空気圧エラー、ＡＢＳシステム、Ｓｔａｒｔ／Ｓｔｏｐシステム、光軸調整のエラーへと拡大していく。
3,2019年06月30日,愛知,ＨＰ,ニッサン,シーマ,2014年12月,"100,000 Km",DAA-HGY51,VQ35-HM34,電動機(モーター),２０１９年６月２９日,ハイブリッド警告灯が半年で３回点いた。
4,2019年06月30日,愛知,ＨＰ,フォルクスワーゲン,ゴルフ,2019年06月,167 Km,DBA-AUCPT,CPT,動力伝達,納車時から,ドライビングプロファイルでエコモード選択後、エンジンを切って再始動すると、ナビ画面は「エコ」であるが、メーターディスプレイの表示はノーマルモードの表示になる。
5,2019年06月30日,福岡,ＨＰ,ニッサン,デイズルークス,2014年12月,"22,300 Km",DBA-B21A,3B20,保安灯火,２０１９年６月２８日,左側ドアミラーが格納しなくなった。
6,2019年06月29日,長野,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2018年04月,"8,683 Km",DBA-JF4,S07B,制動装置,１～６か月位前,ホンダセンシング（衝突防止装置）搭載車で、３０ｍ位の距離で２ｍ程の高低差を下って僅かに上がる道を走行中に、下りきった最下部辺りで衝突防止装置が不要作動して停止する。
7,2019年06月29日,群馬,ＨＰ,アルファロメオ,ジュリエッタ,2017年02月,"3,000 Km",ABA-940181,940B2,エンジン,２０１９年６月２６日,走行中、警告灯が数回点滅し、突如エンジンが停止し、ハザードランプ等もつかなくなった。
8,2019年06月29日,愛知,ＨＰ,アプリリア,スカラベオ,不明,"7,000 Km",ZD4RB,CB01,エンジン,２０１９年６月２２日,始動から５ｋｍくらいしたら、突然停止した。時間が経って再始動できるが、エンジンが温まると止まる。
9,2019年06月29日,愛知,ＨＰ,フィアット,５００チンクエチェント,2014年12月,"14,000 Km",ABA-31209,312A2,車枠・車体,２０１９年６月２９日頃,ダッシュボード助手席側に亀裂が出来た。
10,2019年06月29日,広島,ＨＰ,マツダ,デミオ,2014年10月,"57,908 Km",LDA-DJ5FS,S5,エンジン,２０１９年６月１６日,長い登り坂を走行中、失速しないようにアクセルペダルを踏み込んだところ、エンジンが激しく振動し、アクセルを開けても、回転が上昇しなくなり失速した。停車して確認したら、エンジン警告灯が点いていた。
11,2019年06月29日,佐賀,ＨＰ,ニッサン,セレナ,2007年07月,"87,000 Km",DBA-C25,MR20,燃料装置,２０１７年,燃料タンクより、発進時または停止時等の燃料の揺動により異音が発生する。
12,2019年06月28日,山形,ＨＰ,フォルクスワーゲン,ゴルフ,2010年10月,"149,000 Km",DBA-1KCAV,CAV,エンジン,２０１９年５月２１日、６月,タイミングチェーンの伸び（駒飛び）により、点火タイミングのズレが発生したため、エンジンチェックランプが点灯し、エンジンの回転数を上げるとビビリ音が発生するようになった。
13,2019年06月28日,石川,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,プリウスα,2011年10月,"138,600 Km",DAA-ZVW41W改,2ZR-5JM,燃料装置,不明,ＬＰＧとガソリンのバイフューエル車で、ベーパライザー（気化器）の不良により、エンジン内に冷却水が混入し、冷却水が減るようになった。
14,2019年06月28日,石川,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ピクシスエポック,2013年06月,"48,200 Km",DBA-LA300A,KF,走行装置,２０１９年,右後輪のホイールベアリングの不良により、走行中に異音が出るようになった。
15,2019年06月28日,埼玉,ＨＰ,ホンダ,ＶＥＺＥＬハイブリッド,2018年04月,"8,000 Km",DAA-RU4,LEB-H1,電気装置,２０１９年２月、同４月、６月,新車で、購入後１年以内に２回のバッテリー上がりが発生（誤操作なし）。バッテリーを交換するも３回目のバッテリー上がりが発生（誤操作なし）。
16,2019年06月28日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,日野,レンジャー,2005年08月,"62,000 Km",PB-FC6JCFA,J05D,エンジン,不明,車両の電気配線が途中で断線していたため、エンジンチェックランプが点灯してフェイルセーフによる出力制限がかかり、タービンが回らなくなった。
17,2019年06月28日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,スバル,インプレッサ,2009年12月,"60,000 Km",DBA-GH2,EL15,燃料装置,２０１９年６月,駐車場で始動できなかったため、点検したところ、燃料ポンプのコネクタが接触不良になっており、コネクタ同士が溶損していた上、点検中に取れて燃料ポンプに穴があき、揮発油が吹き出した。
18,2019年06月28日,福井,ＨＰ,マツダ,デミオ,2014年12月,"83,500 Km",LDA-DJ5AS,S5,制動装置,２０１７年１２月,発進し、ブレーキペダルを踏む時にリヤブレーキが鳴く。
19,2019年06月28日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,モト・グッツィ,Ｖ７レーサー,2016年11月,"7,000 Km",ZGULW,AN,車枠・車体,不明,マフラー上部カバーの加工不良によるバリのため、当該部位に触れた際に指に４針縫う怪我をした。
20,2019年06月28日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,ミライース,2018年03月,"8,000 Km",DBA-LA350S,KF,かじ取り,不明,ハンドルを切ると、金属が擦れるような異音がする。
21,2019年06月28日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,モト・グッツィ,Ｖ７レーサー,2016年11月,"7,000 Km",ZGULW,AN,車枠・車体,不明,マフラー上部カバーの加工不良によるバリのため、当該部位に触れた際に指に４針縫う怪我をした。
