番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年01月31日,福島,ＨＰ,スズキ,パレット,不明,不明,DBA-MK21S,不明,動力伝達,２０２１年１月３０日,ＣＶＴの不良により、エンジン始動と同時に、カラカラ・シャラシャラというような軽い音がする。Ｄレンジに入れると音は止まるが、走ると音が出る。
2,2021年01月31日,新潟,ＨＰ,トヨタ,ＲＡＶ４,2019年05月,不明,6BA-MXAA54,M20A,車枠・車体,２０２０年８月頃,ルーフレールパッキンの不良により、雨漏りした。
3,2021年01月31日,埼玉,ＨＰ,ニッサン,リーフ,2019年01月,"27,000 Km",ZAA-ZE1,EM57,動力伝達,新車購入してから６か月以降から,冬になると、ｅ－ｐｅｄａｌモードでアクセルペダルを完全に離した状態にすると前方から金属音がする。その時、一瞬詰まる感じがある。
4,2021年01月31日,大阪,ＨＰ,ニッサン,オッティ,2009年02月,"87,100 Km",CBA-H92W,3G83,動力伝達,２０１８年５月,変速機の故障により、外出の帰りにガタンと言う何かを踏んだ様な音が鳴り、エンジンは掛かったままで走行不能になった。
5,2021年01月30日,石川,ＨＰ,フォルクスワーゲン,パサート,2015年07月,"154,312 Km",DBA-3CCZE,CZE,保安灯火,２０２１年１月,前面ガラスのデフロスターの風が出なくなった。
6,2021年01月30日,神奈川,ＨＰ,日野,日野レンジャー,2016年03月,"183,329 Km",QKG-FE7JLAA,J07E,エンジン,２０２０年１２月６日,一般道路を走行中、赤信号で停止時にエンストし、再始動不能になった。
7,2021年01月30日,兵庫,ＨＰ,フォルクスワーゲン,ポロ,2015年09月,"33,200 Km",DBA-6RCJZ,CJZ,動力伝達,１月初旬,変速機のＰポジションエラーにより、走行中に突然、警告灯がついたため、販売店に連絡した。
8,2021年01月30日,鹿児島,ＨＰ,スズキ,エブリイ,2015年10月,"116,000 Km",HBD-DA17W,R06A,保安灯火,２０１８年７月頃～,助手席のパワーウインドウの操作が力無く開閉するようになった。
9,2021年01月29日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,キャラバン,2012年09月,"62,000 Km",LDF-VW2E26,YD25,エンジン,不明,暖機中にエンストし、直ぐには再始動が出来なくなる。
10,2021年01月29日,東京,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ジムニー,2020年10月,"1,300 Km",3BA-JB64W,R06A,動力伝達,購入当初から,手動変速車で、１速から５速ギアの全てにおいて、２０００回転からアクセル踏み込むと床下からカリカリと異音が発生する。
11,2021年01月29日,東京,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ジムニー,2020年10月,"1,300 Km",3BA-JB64W,R06A,動力伝達,購入当初から,手動変速車で、１速から５速ギアの全てにおいて、２０００回転からアクセル踏み込むと床下からカリカリと異音が発生する。
12,2021年01月29日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,クロスビー,2020年11月,"1,000 Km",DAA-MN71S,K10C-WA05A,乗車装置,不明,前席ドアのストッパーが軽く、ちょっとの力で全開になり隣の車に当たりそうになる。
13,2021年01月29日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,ゴルフヴァリアント,2014年10月,"46,500 Km",DBA-AUCHP,CHP,車枠・車体,不明,グローブボックスに水が浸入した。
14,2021年01月29日,茨城,ＨＰ,ＵＤトラックス,コンドル,2013年11月,"280,000 Km",QDG-PW39L,GH7,エンジン,２０２１年１月２８日,１番、３番ピストンの圧縮不良により、エンジンチェックランプが点灯した。
15,2021年01月29日,茨城,ＨＰ,ニッサン,セレナ,2014年02月,"86,551 Km",DAA-HFC26,MR20-SM23,動力伝達,２０１９年頃から,ＣＶＴコントロールバルブの不良により、低速からの加速時に時々ノッキングのようになり車体ががたつき、その後、異常音が発生した。
16,2021年01月29日,愛知,ＨＰ,トヨタ,ＲＡＶ４,2019年05月,不明,6AA-AXAH54,A25A-3NM-4NM,車枠・車体,今年,雨の日や洗車をすると雨漏りが発生し、車内内装に浸みてくる。
17,2021年01月29日,静岡,ＨＰ,ＢＭＷ,１１６ｉ,2014年05月,"71,200 Km",DBA-1A16,N13B16A,エンジン,２０２０年１２月３０日,エンジンのバルブ欠けにより、一般道路を走行中に突然異音がしてエンジン警告灯が点灯し、出力が上がらずエンジンが停止した。
18,2021年01月29日,大阪,ＨＰ,ニッサン,セレナ,2014年02月,"38,800 Km",DAA-HFC26,MR20-SM23,その他,２０１８年と２０２０年,エンジンをかけたまま停車していたところ、水温警告灯が赤点灯した。
19,2021年01月29日,兵庫,ﾌﾘｰﾀﾞｲｱﾙ,三菱,パジェロイオ,2000年04月,"146,000 Km",GF-H66W,4G93,保安灯火,２年前から,冬にエンジンをかけようとキーを回すと警音器鳴りっぱなしになる。
