番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年10月31日,長野,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＣＸ－５,2012年12月,"98,900 Km",LDA-KE2FW,SH,緩衝装置,２０１９年１０月２４日,駐車時、切り返しなどをしている途中で右前輪が脱落した。
2,2019年10月31日,石川,ＨＰ,ニッサン,セレナ,2014年03月,"73,825 Km",DAA-HC26,MR20-SM23,電動機(モーター),２週間前から,オルタネーターから大きな異音がする。
3,2019年10月31日,千葉,ＨＰ,トヨタ,シエンタ,2019年03月,"3,000 Km",6AA-NHP170G,1NZ-2LM,その他,２０１９年９月１２日,方向転換の為にバックした際、後方安全確認システムが機能せず、コンクリート階段２段目に接触させてしまい、後方バンパーが損傷した。
4,2019年10月31日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,アウディ,Ａ３,2011年10月,"51,000 Km",DBA-8PCAX,CAX,動力伝達,３週間前,ＤＳＧメカトロニクスのリコール対象外の車両で、同じメカトロニクスの不良により、シフトインジケーターが点滅するとともに、走行不能になった。
5,2019年10月31日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ワゴンＲ,2017年03月,"60,000 Km",DAA-MH55S,R06A-WA05A,エンジン,２～３か月前,乗車していると助手席前方から異音がする。確認の結果、エンジンルーム内の金属部品を止めている樹脂パーツの緩みによるものだった。
6,2019年10月31日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ワゴンＲ,2017年03月,"35,000 Km",DAA-MH55S,R06A-WA05A,制動装置,半年前,急な上り坂でブレーキペダルを踏み、信号停止をしていると、ブレーキペダル付近からカチカチと異音が出る。
7,2019年10月31日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ワゴンＲ,2017年03月,"35,000 Km",DAA-MH55S,R06A-WA05A,エンジン,１年半くらい,暖機後、アクセルペダルを踏み込んだ際にガラガラガラ・・と速度に合わせた異音が発生する。
8,2019年10月31日,山口,ＨＰ,ＢＭＷ,３２０ｉツーリング,2010年03月,"60,200 Km",ABA-VR20,N46B20B,エンジン,２０１９年８月１日,２０ｋｍ／ｈ位で走行後、アクセルオフでエンストする。信号待ちや、交差点で曲がる時に起こる。
9,2019年10月30日,北海道,ＨＰ,スバル,エクシーガ,2008年07月,"69,619 Km",CBA-YA5,EJ20,動力伝達,２０１９年春ごろ～最近では２０１９年１０,加速時に変速するタイミングで突然エンジン回転数が上がり、強烈な衝撃とドンッ！！という音が出る。後部より追突されたと思い後ろを見るも何もない。
10,2019年10月30日,福島,ＨＰ,スバル,ＸＶハイブリッド,2013年11月,"131,200 Km",DAA-GPE,FB20-MA1,電動機(モーター),２０１９年１０月,ハイブリッドシステムの異常と言う警報が出て、オルタネーターによる発電も停止し、バッテリー残量がどんどん低下していく。
11,2019年10月30日,東京,ＨＰ,スバル,エクシーガ,2010年01月,"96,400 Km",CBA-YA5,EJ20,動力伝達,２０１９年１０月３０日,首都高速を走行中、変速がスムーズに行われず、回転数が急激に上昇し、動力が伝わった瞬間に後ろから追突されたかと思う程の強い衝撃（変速ショック）があった後、ＡＴ　ｏｉｌ　ｔｅｍｐ、ＡＢＳ、ＶＤＣ警告灯が点灯した。直ちに安全な場所まで移動後、停車し、エンジン再始動をした後は、警告灯は表示されず、走行可能な状態になった。
12,2019年10月30日,埼玉,ＨＰ,トヨタ,ヴェルファイア,2010年09月,"69,800 Km",DBA-ANH20W,2AZ,エンジン,２０１７年,エンジンオイルの消費が異常に激しく、エンジンオイルを、メーカー指定のシビアコンディション以内（凡そ５０００ｋｍ）で交換しているが、毎回レベルゲージの下限値付近まで消費している。
13,2019年10月30日,埼玉,ＨＰ,ニッサン,エルグランド,2015年11月,"36,800 Km",DBA-TE52,QR25,かじ取り,不明,ディーラーでの１年点検終了３か月後、ボンネット内部を確認した際に、パワーステアリングオイルがｍｉｎレベルを下回っている事に気付いた。
14,2019年10月30日,栃木,ＨＰ,三菱,デリカＤ５,2008年01月,"120,000 Km",DBA-CV5W,4B12,エンジン,２０１９年１０月２１日,走行中にエンジン警告灯が点灯し、エンジンが停止した。
15,2019年10月30日,兵庫,ＨＰ,ホンダ,クロスカブ１１０,不明,不明,2BJ-JA45,JA10E,保安灯火,気づいたのは２０１９年夏,尾灯が点かない。
