番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年03月31日,秋田,ＨＰ,スバル,レガシィ,2010年02月,"89,000 Km",DBA-BM9,EJ25,制動装置,２０１８年１月ごろ,ブレーキマスターバックの空気漏れにより、１晩経過するとエンジン始動時、ブレーキペダルが相当な強い力をかけないと踏み込めなくなった。
2,2019年03月31日,長野,ＨＰ,トヨタ,アルファード,2012年06月,"72,000 Km",DBA-ANH20W,2AZ,車枠・車体,２０１９年２月,パールホワイト塗装の車で、天井とボンネットの塗装が広い範囲で剥がれた。
3,2019年03月31日,神奈川,ＨＰ,トヨタ,ハイエース,2011年10月,"134,700 Km",LDF-KDH201V,1KD,車枠・車体,２０１８年８月,塗装が剥離した。
4,2019年03月31日,埼玉,ＨＰ,スズキ,ＧＳＲ２５０,不明,不明,JBK-GJ55D,不明,エンジン,２０１８年１１月,キーを回したときにＦＩランプが点灯し、エンジン始動できない。常時ではないので、何度も回していると始動できる。
5,2019年03月31日,山梨,ＨＰ,マツダ,アクセラ,2009年11月,"153,000 Km",DBA-BL5RP,ZY,車枠・車体,２０１３年頃から現在まで,ダッシュボード表面の変質により、フロントガラスに日光が当たると前方が見え難くなる。
6,2019年03月31日,静岡,ＨＰ,トヨタ,カムロード,2006年04月,"159,200 Km",KR-KDY230改,2KD,動力伝達,２０１８年,リヤアクスルのオイルシールの不良により、デフオイルがブレーキドラム側に漏れ、制動力が著しく低下した。
7,2019年03月31日,兵庫,ＨＰ,フォルクスワーゲン,ゴルフトゥーラン,2007年11月,"118,000 Km",ABA-1TBMY,BMY,エンジン,２０１９年２月頃,タイミングチェーンの不良（伸び）により、エンジン始動直後に異音が発生し、エキゾーストシステム故障マークが点灯した。
8,2019年03月30日,長野,ＨＰ,フォルクスワーゲン,ゴルフトゥーラン,2009年05月,"108,000 Km",ABA-1TBMY,BMY,エンジン,２０１９年３月１５日,一般道を走行中にエンストし、再始動不能になった。ディーラーで確認したところ、ターボチャージャーのタービン破損により、エンジンも全損となり、廃車となった。
9,2019年03月30日,東京,ＨＰ,スズキ,エブリイ,2017年12月,"17,000 Km",EBD-DA17V,R06A,エンジン,２０１８年８月頃　走行距離６０００ｋｍぐ,夏にエンジンを切った後も電動ファンが回り続けており、不思議に思って冷却水を確認したところ、ほぼ空っぽになっていた。
10,2019年03月30日,茨城,ＨＰ,マツダ,アクセラスポーツ,2009年09月,"112,300 Km",DBA-BLEFW,LF,エンジン,２０１８年１２月,ＡＢＳの警告灯とスリップ表示灯が点灯、ｉ－ｓｔｏｐランプが点滅しっぱなしになり、ｉ－ｓｔｏｐが作動しなくなる。
11,2019年03月30日,茨城,ＨＰ,マツダ,アクセラスポーツ,2009年09月,"112,300 Km",DBA-BLEFW,LF,エンジン,２０１８年１２月,ＡＢＳの警告灯とスリップ表示灯が点灯、ｉ－ｓｔｏｐランプが点滅しっぱなしになり、ｉ－ｓｔｏｐが作動しなくなる。
12,2019年03月30日,群馬,ＨＰ,スズキ,ソリオバンディット,2017年01月,"12,000 Km",DAA-MA36S,K12C-WA05A,エンジン,２０１７年１２月から,スキー場の帰り道、ゆるい下り坂で、エンジンブレーキをかけるため、ＤレンジのＳモードスイッチを押すも、エンジン回転数は２０００ｒｐｍ～３０００ｒｐｍを２秒間隔程度でハンチングし、エンジンブレーキが全く効かない状態になった。また、Ｄレンジの下にＬレンジでも、同じ状況が発生した。
13,2019年03月30日,兵庫,ＨＰ,ヤマハ,ビーノ５０,2014年07月,"32,921 Km",JBH-SA37J,A313E,エンジン,２０１６年７月頃通勤途中,走行中に突然エンジンが止まってしまう。
14,2019年03月30日,奈良,ＨＰ,スバル,インプレッサＸＶ　ハイブリッド,2014年02月,"66,300 Km",DAA-GPE,FB20-MA1,動力伝達,２０１８年１２月,ギアのマニュアル操作が効かない。走行中にｏｉｌｔｅｍｐ警告点灯、ＡＢＳ警告点灯、坂道アシスト警告点灯が突然起こる。
15,2019年03月30日,和歌山,ＨＰ,ニッサン,ステージア,2006年05月,"150,000 Km",GH-M35,VQ25,その他,２０１８年５月頃から,エンジンをかけてすぐ燃料計が動作するが実際の量と指示値が一致しない。前回走行終了時より増えている。時間の経過により（１時間程度）正しい指示値が表示される事がある。
16,2019年03月30日,岡山,ＨＰ,マツダ,ＣＸ－５,2013年04月,"86,766 Km",LDA-KE2FW,SH,かじ取り,リコール修理でディーラーに入庫後,インタメディエイトシャフトのガタにより、異音がするようになった。
17,2019年03月30日,岡山,ＨＰ,マツダ,ＣＸ－５,2013年04月,"86,766 Km",LDA-KE2FW,SH,保安灯火,リコール修理でディーラーに入庫後,ドアミラーが動かなくなり、モーターが回りっぱなしになった。
18,2019年03月29日,東京,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,サイ,2013年05月,"150,000 Km",DAA-AZK10,2AZ-2JM,制動装置,２０１９年３月２８日,走行中に突然ブレーキの警告灯が点灯すると共に、ブレーキが効かなくなった。
19,2019年03月29日,愛知,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,不明,不明,JBK-BX250A,不明,その他,不明,車載されている工具でプラグを交換しようとしたところ、工具が小さすぎて入らなかった。緊急整備時に使えない。
20,2019年03月29日,愛知,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,不明,不明,JBK-BX250A,不明,緩衝装置,９０００ｋｍ走行後,リアのサスペンションリンクの締結トルクが過剰につきブッシュが破損し、カラーも破損していた。
21,2019年03月29日,愛知,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,不明,不明,JBK-BX250A,不明,保安灯火,購入１年後,前照灯カバーにヒビが入り、全面に広がり、ついには中まで到達した。
22,2019年03月29日,愛知,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,不明,不明,JBK-BX250A,不明,動力伝達,購入２年後,ドライブスプロケットの消耗により交換を試みたところ、大人３人がかりでも外せない強大なトルクでボルトが締められていた。
23,2019年03月29日,愛知,ＨＰ,カワサキ,Ｎｉｎｊａ２５０ＳＬ,不明,不明,JBK-BX250A,不明,緩衝装置,９０００ｋｍ走行後,リアのサスペンションリンクの締結トルクが過剰につきブッシュが破損し、カラーも破損していた。
24,2019年03月29日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,Ｚ４,2010年11月,"60,000 Km",ABA-LM25,N52B25A,かじ取り,半年前から,走行中に警告灯が点灯し、パワーステアリングが効かなくなる。
25,2019年03月29日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,セレナ,2011年11月,"80,000 Km",DBA-FC26,MR20,その他,不明,エアコンコンプレッサーのクラッチ溶接部が溶損し、エアコンが効かなくなった。
26,2019年03月29日,静岡,ＨＰ,ニッサン,フェアレディＺ,2014年10月,"72,000 Km",CBA-Z34,VQ37,かじ取り,不明,エンジン始動後にインテリジェントキーワーニングが点灯してステアリングロックが作動しなくなった。
27,2019年03月29日,香川,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,インサイト,2009年07月,"109,400 Km",DAA-ZE2,LDA-MF6,エンジン,不明,イグニッションキーのプラスチック部分が金属部分から抜けて外れたため、イグニッションが操作できなくなった。ロードサービスに依頼し、外れた部分を直してもらったが、その後、リモコン部分が外れた。
28,2019年03月29日,愛媛,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,アコード,2014年05月,"24,000 Km",DAA-CR6,LFA-MF8,車枠・車体,２０１９年３月,洗車時、トランクを開けてゴムパッキン部分のふき取りを行っていたところ、ゴムパッキンから針金が飛び出していたため、指を負傷した。
29,2019年03月29日,福岡,ＨＰ,スバル,レガシィツーリングワゴン,2009年05月,"68,000 Km",DBA-BR9,EJ25,エンジン,２０１８年３月頃から,イモビライザーへ電力を供給しているパワーサプライコンピュータの不良により、エンジンを始動しようとしてプッシュスタートボタンを押しても一瞬だけＡＣＣにしか入らず、ＯＮやエンジン始動に至らない。スマートキーを当てても始動できないためレッカー移動となった。
30,2019年03月29日,福岡,ﾌﾘｰﾀﾞｲｱﾙ,メルセデス・ベンツ,Ｃ２５０,2015年09月,"12,200 Km",RBA-205045,274,燃料装置,中古車購入後１か月くらいから,一晩駐車をしたところ、著しい燃料臭がするようになった。
31,2019年03月29日,長崎,ＨＰ,スズキ,ソリオ,2018年05月,"18,590 Km",DBA-MA26S,K12C,車枠・車体,２０１８年１２月２９日,走行中に白煙が上がっているのに気づき、エンジンを停止してフロントフード前側の隙間からエンジンルーム内を覗くと向かって右奥が燃えているのを確認した。車両は間もなく全焼した。
32,2019年03月29日,沖縄,ＨＰ,日野,メルファ,2016年08月,"38,000 Km",SDG-RR7JJCA,不明,エンジン,２０１７年８月,新車納車後、一か月でベルトが外れた。ベルト調整を行ったが、その後一年半の間に４回切れました。
33,2019年03月28日,北海道,ＨＰ,トヨタ,トヨエース,2013年12月,"56,360 Km",TKG-XZU695,N04C,エンジン,２０１９年３月２６日,ターボチャージャーの不良により、警告灯がつき、加速しにくくなる。
34,2019年03月28日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ｅＫスペース,2017年05月,不明,DBA-B11A,3B20,制動装置,購入半年後位から,長時間の運転をすると、停止時に前輪ブレーキからギシギシと異音が鳴る。
35,2019年03月28日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,三菱,デリカＤ５,2014年06月,"52,600 Km",LDA-CV1W,4N14,エンジン,２年前から,走行中にインタークーラーのホースが外れ、失速した。ディーラーで修理を受けたが、整備ミスと製品不良で何度も再発をしている。
36,2019年03月28日,千葉,ＨＰ,トヨタ,カローラフィールダー,2017年09月,"3,062 Km",DAA-NKE165G,1NZ,車枠・車体,事故修理後　２０１８年９月１９日,追突され、修理したところ、それ以降、停止、発進時に後部よりコツコツという異音がするようになった。
37,2019年03月28日,千葉,ＨＰ,スバル,レガシィツーリングワゴン,2012年01月,"37,000 Km",DBA-BR9,EJ25,動力伝達,新車購入時から,高速道路に入ってから２から３速に切り替わるときショックが強く、ＡＴｔｅｍｐが点灯した。
38,2019年03月28日,埼玉,ＨＰ,トヨタ,ハイエース,2012年02月,"136,000 Km",CBF-TRH200V,1TR,車枠・車体,２０１８年９月～現在,パールホワイト塗装の車で、フロントバンパー及びルーフの塗装が剥がれた。
39,2019年03月28日,埼玉,ＨＰ,メルセデス・ベンツ,Ｖ３５０,2013年06月,"28,900 Km",ABA-639350A,272,乗車装置,２０１９年８月,リアスライドドアの不良により、勝手に閉じて人が挟まれ、挟み込み防止機構も働かない。
40,2019年03月28日,埼玉,ＨＰ,メルセデス・ベンツ,Ｖ３５０,2013年06月,"28,900 Km",ABA-639350A,272,乗車装置,２０１８年８月,ドアロックがかからない。
41,2019年03月28日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ルークス,2012年05月,"40,000 Km",DBA-ML21S,K6A,動力伝達,不明,ＣＶＴコントロールバルブの不良により、加減速の際に車体がノッキングのような振動をする。
42,2019年03月28日,福井,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ライフ,2009年12月,"25,000 Km",DBA-JC1,P07A,保安灯火,不明,フィリップス社製のヘッドライトバルブを装着したところ、ロービームのカットラインがはっきりと出過ぎているため、怖くて５０ｋｍ／ｈ以上の速度が出せない。
43,2019年03月28日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうキャンター,2013年11月,"195,800 Km",TKG-FEA50,4P10,排ｶﾞｽ･騒音,不明,ＤＰＦの手動再生指示が頻繁に表示される。また、手動再生を行っても警告が消えず、ディーラーでマフラー交換や清掃を行うが、修理後２か月程度で再発する。
44,2019年03月27日,青森,ＨＰ,ニッサン,フェアレディＺ,2009年06月,"55,890 Km",CBA-Z34,VQ37,かじ取り,２０１８年１２月,電動ステアリングロックの作動不良により、メーター内にキー警告が表示され、エンジンが始動困難になった。
