番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年05月31日,神奈川,電話,ヤマハ,アクシスＺ１２５,2019年05月,不明,SED7J,不明,かじ取り,３週間前から,走行中にハンドルが振動してしまう。
2,2019年05月31日,茨城,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フリード,2012年11月,"84,000 Km",DBA-GB3改,L15A,エンジン,２０１９年５月,走行中にエンジン警告灯が点灯した。エンジンから異音がして、吹けも悪かった。点検したところ、点火プラグの２番がねじ山がなくなってゆるみ、３，４番もゆるんで排気ガスが抜けていた。
3,2019年05月31日,愛知,電話,コマツ,ＷＡ８０,2009年07月,不明,SB-WA053,4D95L,エンジン,不明,ホイールローダーで車両作業後、エンジンを停止し駐車していたところ一定時間後に車両が燃えた。
4,2019年05月31日,岐阜,ＨＰ,ニッサン,デイズ,2013年08月,"43,000 Km",DBA-B21W,3B20,保安灯火,２０１８年１２月頃,左側サイドミラーがモーター音はするが格納しなくなった。
5,2019年05月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,セレナ,2019年03月,不明,DAA-GC27,MR20-SM24,制動装置,２０１９年５月１日,雨天時、６０ｋｍ制限道路を４５ｋｍ／ｈで走行中、被害軽減ブレーキが誤作動して急制動がかかった。
6,2019年05月30日,神奈川,ＨＰ,クライスラー,ジープ　コマンダー,2008年12月,"47,000 Km",GH-XH47,661,エンジン,２０１５年頃,夏の季節（概ね外気温２８度程度）になるとエンジン回転数が不安定となり、スムーズに加速できなかったり突然エンストを起こす場合がある。
7,2019年05月30日,千葉,電話,ニッサン,ジューク,2012年03月,"55,400 Km",DBA-YF15,HR15,動力伝達,中古車として購入して約１年後,ＣＶＴの不良により、チェックランプが点灯して坂道を上れなくなった。
8,2019年05月30日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ＭＩＮＩ,2017年06月,"7,000 Km",LDA-YT20,B47C20A,乗車装置,２０１８年秋,低速走行時と停車中にバックドアが勝手に開いた。
9,2019年05月30日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ノート,2013年07月,"30,000 Km",DBA-E12,HR12,走行装置,２０１９年２月,ホイールベアリングの不良により、走行中に後方からこもったような異音が出るようになった。スピードを上げると異音が大きくなる。
10,2019年05月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ニッサンＭＴ,マーチ,2011年02月,"78,000 Km",DBA-K13,HR12,動力伝達,２０１９年５月,ＣＶＴの不具合により、エンジンの動力が伝わらずに加速しなくなった。
11,2019年05月30日,愛知,電話,ニッサン,ノート,2018年09月,不明,DBA-E12,HR12,エンジン,２０１９年５月２４日,フロントカバーにオイルの滲みが発見された。
12,2019年05月30日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スイフトスポーツ,2018年03月,"7,000 Km",CBA-ZC33S,K14C,制動装置,２０１８年１２月３１日、２０１９年５月１,低速走行時、周囲に人や車があるときに加速しようとしたところ、被害軽減ブレーキが誤作動した。
13,2019年05月30日,京都,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,１１６ｉ,2013年09月,"47,200 Km",DBA-1A16,N13B16A,燃料装置,２０１９年５月８日,走行中に燃料ポンプが停止したため、走行中にエンジンが停止した。
14,2019年05月30日,兵庫,ＨＰ,ＵＤトラックス,クオン,2016年09月,"254,017 Km",QKG-GK6XAB,GH13,エンジン,エンジンをかけた時,始動後エンジンオイルの警告ランプが点灯したが消灯、その後エンジン回転がレッドゾーンまで上がりマフラーから白煙が出てエンジンが停止した。
15,2019年05月30日,徳島,ＨＰ,ダイハツ,コペン,2014年10月,"37,000 Km",DBA-LA400K,KF,車枠・車体,今年の２月頃から,エンジンマウントが破損したため、車体との干渉により、異常な振動や音が強く感じられる。
16,2019年05月29日,神奈川,ＨＰ,ニッサン,キューブ,2003年05月,"39,331 Km",UA-BZ11,CR14,動力伝達,２０１８年冬ごろ,走行中にＣＶＴランプが点灯するとともに、タコメーターが４千～６千回転まで上昇し、エンジンブレーキが作動して、急減速する。
17,2019年05月29日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,８６,2017年02月,不明,DBA-ZN6,FA20,車枠・車体,購入当初から,バンパーが下がってくる。何度もディーラーに言って調整させるが、上げてもすぐに下がってしまう。
18,2019年05月29日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2012年05月,"75,000 Km",DBA-JF1,S07A,車枠・車体,２０１９年５月２８日,ライトをつけたまま駐車して数分後、フォグランプより発火し、火災になった。
19,2019年05月29日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうファイター,2016年10月,"261,700 Km",TKG-FK61F,6M60,動力伝達,不明,高速走行中に変速機が破損し、走行不能になった。
20,2019年05月29日,愛知,ＨＰ,ボルボ,ＸＣ６０,2013年10月,"50,700 Km",CBA-DB4204TXC,B4204T,動力伝達,２０１９年４月,走行中にギアが抜け、アクセルを踏んでも進まない。トランスミッション機能低下の警告表示がされた。
21,2019年05月29日,大阪,ＨＰ,ＢＭＷ,ｉ３,2014年10月,"52,895 Km",DLA-1Z06,W20K06A-P250,エンジン,２０１９年３月上旬,燃料が潤沢にもかかわらず、発電用レンジエクステンダーエンジンが警告音と共に停止し、電欠のため走行不能になった。
22,2019年05月29日,兵庫,ＨＰ,メルセデス・ベンツ,Ｃ２５０,2011年12月,"40,758 Km",DBA-204047,271,エンジン,２０１９年４月,エンジン付近から異音がして止まった。修理工場に持ち込んだところ、タイミングベルトが外れていて、原因はプーリーの根元が溶けて傾いていたとの事だった。
23,2019年05月29日,滋賀,ＨＰ,マツダ,アクセラ,2009年11月,"22,600 Km",DBA-BLEFP,LF,エンジン,２０１８年１１月頃から　たびたび起こる,ＡＢＳの警告灯が点灯とスリップ表示灯が点灯し、ｉ－ｓｔｏｐが機能しなくなる。しかし、朝の始動時は消える場合がある。
24,2019年05月29日,奈良,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうキャンター,2018年08月,"20,000 Km",TPG-FEB80,4P10,排ｶﾞｽ･騒音,２０１９年５月,ＤＰＦ再生量の表示は増減するが、０になっても再生中の表示が消えない。
25,2019年05月29日,福岡,ＨＰ,ホンダ,Ｎ－ＷＧＮ,2015年07月,"13,073 Km",DBA-JH1,S07A,エンジン,２０１９年４月,信号待ちでアイドリングストップ機能で停止後、ブレーキペダルを離してもエンジンがかからない。
26,2019年05月29日,宮崎,ＨＰ,スズキ,ジムニーシエラ,2016年11月,"50,000 Km",ABA-JB43W,M13A,エンジン,一年ほど前,信号待ちから発進時にエンジンが停止する。
27,2019年05月28日,長野,ＨＰ,マツダ,ＣＸ－５,2012年09月,"98,400 Km",LDA-KE2AW,SH,電気装置,２０１９年５月２７日,オルタネーターのプーリが折れて外れたため、走行中、ボンネット内より異音が発生すると同時に「充電システム異常」の警告が点灯した。
28,2019年05月28日,長野,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,エクストレイル,2018年03月,不明,DAA-HNT32,MR20-RM31,その他,不明,走行中、スイッチに触れていないのに、パネルの表示もオフのままで急にエアコンから強風が吹き出した。
29,2019年05月28日,長野,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,エクストレイル,不明,不明,DAA-HNT32,不明,エンジン,２０１９年５月,走行中エンジン停止。「走行不能」という表示が出て、しばらくエンジンがかからなかった。
30,2019年05月28日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,ムーヴ,2012年09月,"23,000 Km",DBA-LA100S,KF,電気装置,不明,オルタネーター・プーリー・ベルトに錆が発生、ベルトが鳴くようになった。
31,2019年05月28日,静岡,ＨＰ,マツダ,ＣＸ－８,2017年12月,不明,3DA-KG2P,SH,その他,最初から,コンソールボックスが高すぎるため、安全かつ最適な運転ポジションにシートを調整すると、ハンドルの下部を握ったり、ギアを変更するときに、常にコンソールボックスに左肘があたり運転に支障が生じる。
32,2019年05月28日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2018年04月,不明,DBA-JF3,S07B,エンジン,不明,始動時、ブレーキペダルを踏んでスタートスイッチを押した後、エンジンがかかると同時くらいで、シフトをＤにしてブレーキペダルを話したところ、始動時のエンジン吹け上がりの勢いで、車が飛び出した。
33,2019年05月27日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,アウディ,Ａ４,2009年12月,"80,000 Km",ABA-8KCDNF,CDN,エンジン,２０１９年５月,エンジンオイルの消費が多くなり、２００ｋｍで１リットル減るようになった。
34,2019年05月27日,長野,ＨＰ,アルファロメオ,ジュリエッタ,2012年05月,"41,259 Km",ABA-940141,940A2,車枠・車体,２０１９年３月頃,運転席ドアインナーハンドルメッキが剥がれ、触れ方によっては怪我を負うようなささくれが発生している。
35,2019年05月27日,富山,ＨＰ,ダイハツ,タント,2008年07月,"88,646 Km",DBA-L375S,KF,乗車装置,２０１９年５月１７日,５０ｋｍ／ｈ程で走行中、電動スライドドアが勝手に開いた。
36,2019年05月27日,東京,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,アテンザ,2013年09月,"200,000 Km",LDA-GJ2FP,SH,エンジン,２０１９年５月,青信号で発進したところ、警告灯が点灯し、スピード上がらなくなった。
37,2019年05月27日,埼玉,ＨＰ,ボルボ,Ｖ６０,2015年02月,"55,000 Km",DBA-FB4164T,B4164T,動力伝達,２０１８年１１月頃,走行前、及び走行中にトランスミッション機能低下のメッセージが出てギアが上がらなくなり、後続車に追突されそうになった。又バックギアが入らない。
38,2019年05月27日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,オデッセイ,2012年12月,"95,331 Km",DBA-RB3,K24A,かじ取り,２０１９年５月２４日,駐車場で再始動しようとしたところ、ハンドルマークの警告灯点灯後、ハンドル操作が出来なくなった。
39,2019年05月27日,茨城,ＨＰ,マツダ,デミオ,2019年02月,"4,038 Km",6BA-DJLFS,P5,エンジン,５月２１日　夜間走行時　前日に納車１ヶ月,エンジン警告灯が点灯後、アイドリングストップが機能しなくなり、アクセルペダルを踏んでもスピード出なくなった。さらにハンドルが重くなり、停車時に振動、発進時に異音がした。
40,2019年05月27日,栃木,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2014年01月,"30,000 Km",DBA-B21W,3B20,電気装置,２０１９年５月,運転席・助手席・後ろの席のドアロックが開かなくなった。
41,2019年05月27日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,2013年06月,"37,200 Km",DBA-B21W,3B20,かじ取り,２０１９年５月１９日,左折時に突然ハンドルがロックされ、操作出来なくなった。
42,2019年05月27日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,ワゴンＲ,2010年03月,"75,000 Km",DBA-MH23S,K6A,その他,２０１９年５月２５日,１年前にリコール国３７６５の措置を済ませた車で、エアコンから冷風が出なくなった。床下の配管に穴が開いて、エアコンガスが漏れたとの診断で、修理をしたが、１年後に再び冷風が出なくなった。
43,2019年05月27日,静岡,ＨＰ,メルセデス・ベンツ,Ｅ４００アバンギャルド,2015年06月,"45,600 Km",MBA-212061C,276,エンジン,２０１９年４月２５日,高速道路を走るとエンジン警告ランプが点灯する。診断機で調べるとＮＯＸセンサーの異常が検出される。エラーを消去すれば消えるが、高速道路を走ると再発する。
44,2019年05月27日,兵庫,ＨＰ,トヨタ,アルファード,2009年10月,"70,000 Km",DBA-ANH20W,2AZ,動力伝達,現在,坂道を上がる時、停止後、ブレーキペダルを離すと後ろに下がっていく。
45,2019年05月27日,沖縄,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,Ｎ－ＢＯＸ,2012年10月,"71,000 Km",DBA-JF1,S07A,車枠・車体,２０１８年１０月,フロントガラスより車室内に水漏れした。
