番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年02月29日,北海道,ＨＰ,三菱,デリカＤ５,2013年06月,"48,700 Km",LDA-CV1W,4N14,排ｶﾞｽ･騒音,２～３年前ぐらいから？,エキゾーストマニホールドの繋ぎ目にクラックが発生し、排気漏れをしたため、室内に排気臭がするようになった。
2,2020年02月29日,長野,ＨＰ,ダイハツ,ハイゼットトラック,2008年03月,"56,700 Km",EBD-S211P,KF,エンジン,２０１６年,エンジンオイルの消費が多く、オイル交換時の測定でオイルゲージにオイルが付着しないほどまで減る。
3,2020年02月29日,長野,ＨＰ,ダイハツ,タント,2010年12月,"85,000 Km",CBA-L385S,KF,エンジン,２０１８年５月ごろ,エンジンオイルの消費が多く、オイル交換時の測定でオイルゲージにオイルが付着しないほどまで減る。
4,2020年02月29日,長野,ＨＰ,ダイハツ,ハイゼットトラック,2013年04月,"44,700 Km",EBD-S211P,KF,エンジン,２０２０年２月ごろ,エンジンオイルの消費が多く、オイル交換時の測定でオイルゲージにオイルが付着しないほどまで減る。
5,2020年02月29日,長野,ＨＰ,ダイハツ,ハイゼットトラック,2008年03月,"76,000 Km",EBD-S211P,KF,エンジン,２０１７年８月ごろ,エンジンオイルの消費が多く、オイル交換時の測定でオイルゲージにオイルが付着しないほどまで減る。
6,2020年02月29日,長野,ＨＰ,ダイハツ,ハイゼットトラック,2008年12月,"45,300 Km",EBD-S211P,KF,エンジン,２０１９年３月ごろ,冷間時エンジンかかりにくい。エンジンオイルの消費が多く、オイル交換時の測定でオイルゲージにオイルが付着しないほどまで減る。
7,2020年02月29日,石川,ＨＰ,ホンダ,フィットハイブリッド,2018年03月,"12,900 Km",DAA-GP5,LEB-H1,制動装置,納車時から,雨天走行時、ゆっくりと減速して停車する寸前、急ブレーキがかかったような、車体が沈み込むような挙動がみられる。
8,2020年02月29日,大阪,ＨＰ,ホンダ,フィット,2019年06月,"8,000 Km",DBA-GK5,L15B,動力伝達,ＣＶＴトランスミッション交換後　２０１９,冷間時や低速からの再加速でエンジン回転は上がるが速度が伸びていかない。
9,2020年02月29日,福岡,ＨＰ,ニッサン,デイズルークス,2015年03月,"11,000 Km",DBA-B21W,3B20,保安灯火,２０２０年２月２７日,左ドアミラーの電動格納が出来なくなった。
10,2020年02月28日,茨城,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,デイズ,不明,不明,DBA-B21W,3B20,エンジン,不明,暖機運転に著しく時間がかかり、１５分程度走行しても暖機が終わらない。
11,2020年02月28日,愛知,ＨＰ,マツダ,ＣＸ－５,2012年07月,"85,400 Km",LDA-KE2FW,SH,排ｶﾞｽ･騒音,２０２０年２月１５日１７：０４,高速道路を走行中にエンジン警告灯が点灯するとともに一瞬エンジンが停止した。惰性で走行中に自動的にエンジン再始動したため、徐行で１ｋｍ先のＳＡに入った。
12,2020年02月28日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,エアウェイブ,2006年04月,"117,600 Km",DBA-GJ1,L15A,動力伝達,不明,ＣＶＴの不良により、発進時、クリープ状態になった際にゴンッという音がしてギアが外れ、車が前に進まない。数秒の時間差を置いてから動くようになるが、次の発進時にも同じ症状が発生する。
13,2020年02月28日,大阪,ＨＰ,トヨタ,エスティマ,2011年12月,"90,000 Km",DBA-ACR50W,2AZ,かじ取り,２０２０年,少し荒れた路面になるとコラム奥がカタカタと鳴る。
14,2020年02月28日,福岡,電話,ニッサン,キャラバン,2005年03月,"109,000 Km",KG-VWE25,ZD30,燃料装置,２０１９年,燃料ポンプとパイプの付け根から燃料が漏れた。
15,2020年02月28日,熊本,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィット,2014年03月,"48,100 Km",DAA-GP5,LEB-H1,エンジン,２０２０年１月１７日,スマートキーシステムの警告灯が点灯した。
16,2020年02月27日,北海道,ＨＰ,フォルクスワーゲン,ゴルフ,2010年07月,"65,369 Km",DBA-1KCBZ,CBZ,動力伝達,２０２０年２月２４日,エンジンは始動するが、突然シフトレバーがＰレンジから動かなくなった。
17,2020年02月27日,北海道,ＨＰ,いすゞ,フォワード,2012年04月,"670,000 Km",QKG-FTR34T2,不明,動力伝達,２０１９年８月,デフケースの上部に目に見えない程の小さな穴が開き、そこからオイルが漏れる。
18,2020年02月27日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スイフト,2012年03月,不明,DBA-ZC72S,K12B,制動装置,不明,エンジンを始動し、４０～５０ｍ走行すると、車両の右前方からシュッシュッという異音が出る。走行を続けていると消えるが、次にエンジンを始動して走行を再開するときには再発する。
19,2020年02月27日,東京,ＨＰ,シトロエン,Ｃ４　ピカソ,2015年08月,"27,000 Km",ABA-B7875G01,5G01,動力伝達,２０１９年１２月８日／２０２０年２月１０,高速道路を走行中にエンジン警告灯が点灯するともにアクセルペダルを踏んでもスピードが出ず、数ｋｍほど走ったところでストップした。
20,2020年02月27日,東京,ＨＰ,ＢＭＷ,ミニクーパー　Ｓ,2016年06月,"69,200 Km",DBA-XM20,B48A20A,保安灯火,２０１９年６月,新車購入から３年も経たない頃からヘッドライト表面の湾曲に沿うようにクラック（ひび割れ）が発生し、現在も拡大が進行している。
21,2020年02月27日,東京,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ＰＣＸ１２５,2017年04月,"58,000 Km",EBJ-JF56,不明,車枠・車体,不明,トランクオープナーが故障し、トランクが閉まらなくなった。
