番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年03月31日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,タント,不明,不明,-,不明,車枠・車体,不明,スライドドア回りの塗装が剥がれた。販売店で雪の接触があったものと扱われている。
2,2022年03月31日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,プリウス,2019年03月,不明,DAA-ZVW55,2ZR-1NM-1MM,電動機(モーター),不明,スーパーの駐車場から発進時、アクセルペダルをほとんど踏み込まないうちに車が急発進した。ブレーキをかけたところ停車できた。
3,2022年03月31日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ｅＫワゴン,2013年06月,"14,800 Km",DBA-B11W,3B20,エンジン,冬季,エンジン停止ボタンを押してもエンジンが止まらないことがある。
4,2022年03月31日,福島,ＨＰ,ダイハツ,タフト,不明,不明,5BA-LA910S,KF,乗車装置,２０２１年９月,運転席ドアを開けようとしたところドアハンドルが折れた。
5,2022年03月31日,山形,ＨＰ,ダイハツ,トール,不明,不明,5BA-M900S,1KR,制動装置,２０２１年１０月,走行中ブレーキペダルを踏んだところ、ブレーキべダルが折れた。
6,2022年03月31日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,エルフ,2013年01月,"159,000 Km",SKG-NPR85YN,4JJ1,燃料装置,不明,国４１４８のリコールを済ませた車で、サプライポンプをエンジンに締結する取付けボルトが折れ、燃料が漏れてエンジンが止まった。
7,2022年03月31日,長野,ＨＰ,ダイハツ,ロッキー,不明,不明,5AA-A202S,WA-E1A,エンジン,２０２２年３月,ハイブリッドシステム異常と表示がされ走行不能になった。ダイハツ販売会社から原因不明とされた。
8,2022年03月31日,神奈川,ＨＰ,マツダ,ＣＸ－５,2015年01月,"135,000 Km",LDA-KE2AW,SH,エンジン,２０２２年３月,車検に出した後、クーラント漏れの形跡があることを言われディーラーにて圧力テストを行った。その際問題はないと診断され走行を続けたら、エンジンの警告灯が点灯した。ディーラーにて再度点検を依頼したら、ガスケットの抜けを診断された。オーバーヒートしてると言われたがオーバーヒートの警告灯は一度も点灯していなかった。
9,2022年03月31日,神奈川,ＨＰ,ＢＭＷ,ＢＭＷ　５２３ｄ,2018年10月,"125,000 Km",LDA-JC20,B47D20A,保安灯火,２０１９年から左右毎年　左右それぞ４２ヶ,ヘッドライトのデイライトＬＥＤモジュールの接続部分の変形による不灯、及びヘッドライトユニットの変形により、デイライトが点かなくなった。
10,2022年03月31日,神奈川,ＨＰ,三菱,ＭＩＮＩＣＡＢ－ＭｉＥＶ,不明,不明,ZAB-U68V,Y51,制動装置,納車後直ぐ,駐車の為にバックしながらブレーキペダルを踏んだところ、全く効かずに車止めに衝突して止まった。
