番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年02月28日,北海道,ＨＰ,トヨタ,ヴェルファイアＺＲハイブリッド,2012年01月,"49,138 Km",DAA-ATH20W,2AZ-2JM-2FM,車枠・車体,２０１９年２月２７日,ルーフの塗装が洗車中に突然、広範囲で２箇所剥がれた。
2,2019年02月28日,石川,ＨＰ,フォルクスワーゲン,ゴルフ,2013年07月,"40,294 Km",DBA-AUCPT,CPT,動力伝達,２０１９年２月２６日,ＤＳＧ（自動変速機）の不良により、エンジン始動後、Ｄレンジに入れてもトランスミッションエラーと表示され、自走不能の状態になった。
3,2019年02月28日,千葉,ＨＰ,ホンダ,フィットハイブリッド,2014年01月,"59,400 Km",DAA-GP5,LEB-H1,電気装置,２０１９年２月２５日　１４：２３,一般道路の踏切で一時停止し、再発進して線路に侵入した途端に、動力システムがダウンして動かなくなった。
4,2019年02月28日,茨城,ＨＰ,スズキ,パレット,2009年03月,"135,200 Km",DBA-MK21S,K6A,保安灯火,２０１８年７月,スモール点灯時にブレーキ踏むとスモールランプが消えてブレーキも光らない。スモールが点灯していないときは正常に作動する。
5,2019年02月28日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,デミオ,2010年03月,"135,600 Km",DBA-DE3FS,ZJ,エンジン,２０１９年２月２６日,高速道路を運転中にエンジンがふけっぱなしで暴走状態になった。
6,2019年02月28日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィットハイブリッド,2014年01月,"197,000 Km",DAA-GP5,LEB-H1,動力伝達,不明,ＤＣＴ（自動変速機）の不良により、アクセルペダルを踏み込んでも発進出来なくなった。
7,2019年02月28日,静岡,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィットハイブリッド,2014年01月,"197,000 Km",DAA-GP5,LEB-H1,電気装置,不明,点火コイルのリコールを受けた車で有るにも関わらず、点火コイルが故障して失火が発生し、エンストした。
8,2019年02月28日,京都,ＨＰ,トヨタ,ヴェルファイア　ハイブリッド,2012年03月,"94,400 Km",DAA-ATH20W,2AZ-2JM-2FM,車枠・車体,２０１９年１月,ガソリンスタンドにあるセルフ洗車機を使用した時にルーフの塗装が剥がれた。
9,2019年02月28日,鳥取,ﾌﾘｰﾀﾞｲｱﾙ,日野,レンジャー,2018年08月,不明,2KG-FD2ABG,A05C,動力伝達,不明,荷物を最大積載量まで搭載して坂道を走行すると、クラッチが過熱して警告が出る。
10,2019年02月28日,山口,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2014年01月,"16,700 Km",DBA-JF1,S07A,動力伝達,２０１９年２月２８日,オートマのシフトレバーがパーキングに入ったと思っていたが、実際にはリバース位置で止まっており、ブレーキペダルを離したので意図せず車が後退し、後方の人に衝突しそうになった。
