番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2025年10月31日","北海道","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2025/03","6AA-GT8","フリード","","LEB-H5","かじ取り","","レーンキープアシスト機能を使っていると、車が車線内で蛇行する。"
2,"2025年10月31日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2015/03","QKG-FS1EKDA","プロフィア","390,000 Km","E13C","排ｶﾞｽ･騒音","","ＤＰＦの詰まりにより警告灯が点く症状が頻?に発生する。堆積メーターが０から一気に満タンになって警告発報に至ってしまう事が有る。"
3,"2025年10月31日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2014/02","QKG-FV50VX","ふそうスーパーグレート","691,100 Km","6R10","エンジン","","エアコンプレッサーのヘッドガスケットが抜け、冷却水経路に空気が混入して冷却水サブタンクから冷却水が噴き出す。"
4,"2025年10月31日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2014/02","QKG-FV50VX","ふそうスーパーグレート","691,100 Km","6R10","燃料装置","","国４１３５のリコールでインジェクタークリーナーを注入した車両で、１年程度でエンジンが不調になった。"
5,"2025年10月31日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2020/12","3BA-JB64W","ジムニー","49,000 Km","R06A","動力伝達","","クラッチレリーズシリンダーからオイルが漏れた。"
6,"2025年10月31日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2017/03","DBA-GB5","ＦＲＥＥＤ","52,900 Km","L15B","制動装置","２０２５年夏","国４２７４でブレーキマスタシリンダのリコールを受けている車で、７年後にブレーキペダルの踏み加減に違和感が生じ、ディーラーで相談をしたところ、ブレーキマスタシリンダ不良と診断された。"
7,"2025年10月31日","富山県","ＨＰ","三菱","2019/12","3DA-CV1W","デリカ","65,000 Km","4N14","エンジン","２０２５年１０月３０日","アイドリング中、車両周辺が排ガス臭くなった。ボンネットを開けると排ガス臭く、下側からエンジンを覗くと、エキゾーストマニホールド周辺が黒くなっており、亀裂が確認できた。"
8,"2025年10月31日","神奈川県","ＨＰ","ＢＭＷ","2024/12","3BA-42GM20","ＢＭＷ　Ｘ２　ｘＤｒｉｖｅ２０ｉ","9,509 Km","B48A20P","動力伝達","２０２５年１０月１４日　午前１０時１０分","走行中に突然加速しなくなり、センターコンソールのギヤセレクターの表示を見るとニュートラル（Ｎ）になっていた。ブレーキを踏み、もう一度ドライブ（Ｄ）モードへ切り替えようとしたが、全くセレクターが効かず、再始動をしようとしてエンジンを切ろうとしても、数回エンジンボタンを押すまではエンジンを切ることができなかったうえ、３車線道路の真ん中で停車してしまった。"
9,"2025年10月31日","香川県","ＨＰ","ダイハツ","2014/05","DBA-LA100S","ムーヴ","75,800 Km","KF","保安灯火","今年の７月","助手席の窓ガラスと窓枠付近にキラキラした粉が落ちる。ガラスを触るとザラザラしていて曇っている。"
10,"2025年10月31日","愛知県","ＨＰ","メルセデス・ベンツ","2017/02","LDA-213204C","Ｅ２２０ｄステーションワゴン","287,600 Km","654","緩衝装置","２０２４年１２月ごろ","停車中に車高が最下限まで下がり、エンジンを始動しても車高が復元せず、「車高異常」の警告が表示された。自身で点検を行った結果、エンジンルーム内のエアサスペンション用ホース部分が破損していることが判明した。"
11,"2025年10月31日","神奈川県","ＨＰ","スズキ","","8BK-EL11L","Ｖストローム２５０ＳＸ","","EJA1","制動装置","２０２４年","低速でフロントブレーキを掛けると波を打ったようなジャダーが発生し、コントロール出来ない。"
12,"2025年10月31日","千葉県","ＨＰ","トヨタ","2025/10","6AA-MXPJ15","ヤリス　クロス","209 Km","M15A-1NM-1MM","保安灯火","２０２５年１０月３０日　１１：００頃","ナビゲーションシステムのモニター画面が真っ黒のまま写らず、音声案内は聞こえるが操作や安全確認ができない。"
13,"2025年10月30日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2007/09","CBA-MH22S","ワゴンＲ","120,000 Km","K6A","緩衝装置","２０２５年１０月２９日","一般道の交差点を右折しようとした際に、左前輪のボールジョイントが外れ、走行不能になった。"
14,"2025年10月30日","長崎県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2025/05","5AA-206242C","Ｃ２００ステーションワゴン","","254-EM0024","その他","２０２５年１０月","走行中、バチッという音と共にメーターがブラックアウトした。ディーラーでコンピューターの通信不良と診断され、修理された。"
15,"2025年10月30日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","ルノー","2021/06","3BA-HJBH5H","キャプチャー","30,600 Km","H5H","エンジン","２０２５年８月２１日","自動車専用道路を走行中にカタカタという異音と異臭がし、失速した。路肩に停めたところ、エンジンが止まってしまい走行不能になった。"
16,"2025年10月30日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2015/12","DAA-GP7","ＳＨＵＴＴＬＥ","57,700 Km","LEB-H1","保安灯火","","左のフロントドアガラスが白濁し、視認性が著しく悪くなっている。"
17,"2025年10月30日","群馬県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2021/07","3DA-447811C","Ｖ２２０ｄ","","651","緩衝装置","２０２４年６月","リヤショックアブソーバーから油漏れが発生し、交換を行ったが１年２か月、１３０００ｋｍ程度で再発した。"
18,"2025年10月30日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2017/03","DAA-GP5","フィット","33,700 Km","LEB-H1","保安灯火","","助手席側のフロントドアガラスが曇った状態で掃除をしても酷くなるばかりの状態になった。"
19,"2025年10月30日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2025/09","5BA-DG5","ＷＲ－Ｖ","","L15D","車枠・車体","","パールホワイト色塗装の車で、ボディと左右ドアの色味が違う。また、運転席側と助手席側で塗装の膜厚が異なっている。"
20,"2025年10月30日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","アウディ","2025/07","3BA-FU20","アウディ　Ａ５","","DWZ","その他","","パッセンジャーディスプレイ（助手席に着座した時のみ、ナビやｙｏｕｔｕｂｅなどが見える機能）が起動しない。"
21,"2025年10月30日","神奈川県","ＨＰ","いすゞ","2024/01","2PG-FRR90T4","フォワード","171,291 Km","4HK1","エンジン","２０２５年１０月２３日　ＡＭ３時頃","一般道を走行中、計器類は正常だが突然エンジンが停止し、再始動もできなくなった。"
22,"2025年10月30日","宮崎県","ＨＰ","スバル","2021/01","4BA-SK5","フォレスター","18,045 Km","CB18","エンジン","２０２５年１０月２５日","走行中に突然、メーターパネルに「ＲＡＢシステム点検」などの警告表示がされて、「販売店で点検を受けてください」、アイサイトエラーも表示された。ディーラーで確認した結果、ウォーターバイパスバルブ、サーモコントロールバルブの交換になった。"
23,"2025年10月30日","東京都","ＨＰ","ニッサン","2023/12","6AA-GFC28","セレナ","9,400 Km","HR14-EM57","保安灯火","２０２５年１０月下旬","リバースに入れても、画像が映らなくなった。"
24,"2025年10月30日","埼玉県","ＨＰ","マツダ","2018/03","LDA-DK5FW","ＣＸ－３","38,000 Km","S5","保安灯火","２０２５年１０月","ウィンドウォッシャー液が漏れ、補充してからさほど時間が空いていないのにウォッシャー液が出なくなった。"
25,"2025年10月30日","群馬県","ＨＰ","メルセデス・ベンツ","2021/05","4BA-247754M","メルセデスＡＭＧ　ＧＬＡ４５　Ｓ　４Ｍ＋","6,568 Km","139","燃料装置","２０２５年７月及び１０月","高速道路を走行中に加速したところ、エンジンの振動が大きくなり、エンジンランプが点灯した。エンジンの振動が大きく、加速も出来ないため、路肩をゆっくりと走行して、一番近くのインターチェンジで降りた。ディーラーで確認した結果、燃料噴射インジェクターの詰まりと診断され交換が必要となった。"
26,"2025年10月29日","宮城県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2015/09","DAA-GP5","フィット","57,300 Km","LEB-H1","保安灯火","","助手席側の窓ガラスのＵＶコートが劣化し、白濁した。"
27,"2025年10月29日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2015/01","DBA-156942","ＧＬＡ１８０","37,000 Km","270","かじ取り","２０２５年８月３日","パワーステアリングが作動しませんと表示が出て、ハンドル操作が著しく重くなり操作不能になった。"
28,"2025年10月29日","広島県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2007/07","DBA-H82W","ｅＫ－ＷＡＧＯＮ","58,800 Km","3G83","その他","","速度計、走行距離計、燃料計がまともに表示されなくなった。ＡＢＳの警告が点くこともあり、叩いて衝撃を与えると症状が消えることが有るが再発する。"
29,"2025年10月29日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2014/01","DBA-B11W","ｅＫカスタム","","3B20","保安灯火","２０２５年６月ごろから","前席の窓ガラスがギラギラするようになった。自分でスクレーパーで掃除を試みたが、ガラスに傷がついてしまうだけで、綺麗にならなかった。"
30,"2025年10月29日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2019/03","DAA-MN71S","クロスビー","","K10C-WA05A","保安灯火","","運転席側のドアガラス内側がキラキラとラメ状になり、だんだん広がって白ボケてきた。"
31,"2025年10月29日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2019/03","DAA-MN71S","クロスビー","","K10C-WA05A","車枠・車体","","シートベルトのピラーのショルダーベルトアンカーの樹脂部に縦方向の亀裂が入っている。"
32,"2025年10月29日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2022/01","6AA-MXPJ10","ヤリス　クロス","16,700 Km","M15A-1NM","保安灯火","","右側ヘッドライトのクリア塗装が１ｃｍほど欠けてきている。"
33,"2025年10月29日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2022/01","6AA-MXPJ10","ヤリス　クロス","16,700 Km","M15A-1NM","車枠・車体","","左右Ａピラーの外装シート（黒いテープ状のもの）が変色し、見た目が悪くなった。"
34,"2025年10月29日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2021/02","6AA-MXPJ15","ヤリス　クロス","","M15A-1NM-1MM","車枠・車体","","左右Ａピラーの外装シート（黒いテープ状のもの）が変色し、見た目が悪くなった。"
35,"2025年10月29日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2021/02","6AA-MXPJ15","ヤリス　クロス","","M15A-1NM-1MM","車枠・車体","","ヘッドライトのクリア塗装の上半分が欠けてきている。"
36,"2025年10月29日","宮崎県","ＨＰ","マツダ","2005/03","LE-DG62V","スクラム","230,000 Km","K6A","動力伝達","２０２５年１０月２４日","ＡＴ車で、バックしたのちにシフトレバーがスカスカの状態になり、どの位置にシフトレバーを動かしても、バックレンジのままで、エンジンを切り再度エンジンをかけようとしたが、かからなくなった。"
37,"2025年10月29日","岐阜県","ＨＰ","ＢＭＷ","2019/06","LDA-HT20","ＢＭＷ　Ｘ１　ｘＤｒｉｖｅ　１８ｄ","73,911 Km","B47C20A","保安灯火","２０２５年１０月２７日","右前照灯のカバー内部に水滴が発生した。"
38,"2025年10月29日","埼玉県","ＨＰ","ニッサン","2018/03","DAA-GC27","セレナ","19,700 Km","MR20-SM24","制動装置","２０２５年　９月中旬","ＡＢＳ、ＶＤＣランプが点灯したままになりオートブレーキホールドその他が使えなくなった。ディーラーで確認した結果、原因はアクチュエーターと診断された。"
39,"2025年10月29日","東京都","ＨＰ","ＭＩＮＩ","2024/12","ZAA-42GA33","ＭＩＮＩ　カントリーマン　Ｅ","","HB0003N0","電気装置","２０２５年１０月下旬","走行中突然車両のディスプレイがブラックアウトし、操作系統や各種警告表示等が一切確認できない状態になった。また、同時にデフロスターが最大風量で作動し続け、風向きの調節も一切できない状況となり、ディスプレイ下部のデフロスタースイッチを押しても停止せず、目に直接強風が当たり、視界の確保が困難になった。"
40,"2025年10月29日","北海道","ＨＰ","三菱","","DBA-MB15S","デリカＤ：２","11,000 Km","K12B","燃料装置","２０２５年１０月２８日","フューエルリッドを開けるレバーが破損した。"
41,"2025年10月29日","茨城県","ＨＰ","トヨタ","2025/08","3DA-GDJ250W","ランドクルーザー","","1GD","動力伝達","２０２５年９月２７日","センターデフロックが勝手に作動し、解除できない。さらにデフロックの切り替えがうまくいかず音が鳴り続ける。"
42,"2025年10月29日","岐阜県","ＨＰ","ホンダ","2020/09","6BA-JH3","Ｎ－ＷＧＮ","36,500 Km","S07B","電気装置","２０２５年１０月２５日","フロントガラスのセンサーカメラが剥がれて脱落し、接続ケーブルでぶら下がった状態になった。"
43,"2025年10月28日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2017/08","ABA-DR17W","ＮＶ１００　クリッパーリオ","100,000 Km","R06A","保安灯火","","前照灯が点灯しなくなり、ディーラーで確認したところ、バルブソケット部が焼け溶けていた。"
44,"2025年10月28日","鹿児島県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2021/11","EBD-S510P","ハイゼット　トラック","15,000 Km","KF","その他","新車から３年","エアコンのエバポレーター不良でガス漏れしていると判った。"
45,"2025年10月28日","岐阜県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2020/05","6BA-JF3","Ｎ－ＢＯＸ","16,200 Km","S07B","保安灯火","新車から２年半","左右のウインドレギュレータが外れて窓が開閉できなくなった。"
46,"2025年10月28日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2023/05","3BD-S700V","ハイゼット","25,600 Km","KF","保安灯火","去年の８月、今年の１０月２２日","リヤガラスのデフロスタ（電熱線）を使用したところ、リヤガラスが割れた。"
47,"2025年10月28日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2021/01","6BA-KF5P","ＣＸ－５","28,700 Km","PY","制動装置","２０２５年１０月","交差点で停車しようとした際に突然ブレーキが効かなくなり、ペダルを踏みなおしたところ止まった。同じ症状が二日連続で発生した。１０月１９日には、駐車場で停止しようとしたら、前方に何も異常がない所で自動ブレーキがかかり停止したため、バックしてみようとしたところ、今度はブレーキを踏んでいるはずなのにブレーキが効かず、クリープ状態で車が流れた。"
48,"2025年10月28日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2020/10","5BA-LA650S","タント","","KF","その他","","ステレオカメラが脱落した。"
49,"2025年10月28日","北海道","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2013/06","DBA-JF2","Ｎ　ＢＯＸ","55,600 Km","S07A","保安灯火","２０２５年８月１日","一般道を走行中に突然発煙し始め、その後発火して車が燃えた。"
50,"2025年10月28日","広島県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2020/02","ZAA-ZE1","リーフ","56,700 Km","EM57","電動機(モーター)","２０２５年１０月２５日","朝、起動しようとしたところシステムエラーの表示が出た。販売店で検査した結果、駆動バッテリーの絶縁不具合であり、交換が必要と診断された。"
51,"2025年10月28日","香川県","ﾌﾘｰﾀﾞｲｱﾙ","フォルクスワーゲン","2025/03","3BA-C1DKR","ＶＷ　Ｔ－ＣＲＯＳＳ　１．０／８５ｋＷ","","DKR","保安灯火","新車購入後から","バックカメラ等に使う画面がブラックアウトする。何も異常がないのに警告灯が点灯する。ウインカーの点滅リズムが狂う。"
52,"2025年10月28日","千葉県","ＨＰ","ニッサン","2017/08","DAA-GNC27","セレナ","77,443 Km","MR20-SM24","緩衝装置","２０２５年９月１８日","駐車場でハンドル操作をしているときに、突然ロアアームからボールジョイントが脱落した。"
53,"2025年10月28日","千葉県","ＨＰ","ニッサン","2019/10","DAA-GNC27","セレナ","36,746 Km","MR20-SM24","緩衝装置","２０２５年１０月２０日","車庫から出る際にハンドルを切ったところ、突然ロアアームが脱落した。"
54,"2025年10月28日","埼玉県","ＨＰ","メルセデス・ベンツ","2025/07","5AA-214046","Ｅ３００","914 Km","254M20-EM0024","電気装置","２０２５年１０月２７日","エンジンを始動してもスピードメーターが表示されず、純正装備のナビ、バックモニター、ウィンカーの点滅状態の車内での確認も出来ない状態になった。"
55,"2025年10月28日","新潟県","ＨＰ","スズキ","2019/06","DAA-MH55S","ワゴンＲ","21,000 Km","R06A-WA05A","エンジン","２０２５年１０月","信号待ち手前でアイドリングストップ機能でエンジンが停止した後、エンジンが再始動できなくなった。"
56,"2025年10月28日","長崎県","ＨＰ","スズキ","2024/02","4AA-MR52S","ハスラー","1,000 Km","R06A-WA05A","緩衝装置","２０２４年４月","段差を乗り上げると左前からすごい衝撃がある。ショックアブソーバーが縮みきれてない、底突きしている感じがある。"
57,"2025年10月28日","神奈川県","ＨＰ","スバル","2020/03","DBA-VM4","レヴォーグ","108,500 Km","FB16","かじ取り","２０２５年１０月１９日","駐車場所を探していると警告灯点灯とともに警告音と近くのディーラーに・・・との音声が流れた。その１５秒程度後、ステアリングが動かなくなり停車した。最寄りのディーラーで診断を受けたところ、ギアボックスの異常と診断された。"
58,"2025年10月28日","神奈川県","ＨＰ","三菱","2019/01","2RG-FP74HGR","ふそうスーパーグレート","264,574 Km","6R20","緩衝装置","２０２５年１０月１５日","トレーラに積んでいたセメントの材料をサイロに卸している時、トラクタの方から大きな音がした。荷卸しを中断し、トラクタの方へ行くと左後ろのエアサスの土台がベローズ部より外れており地面に落ちていた。よく見てみるとエアサスの土台を支えるビーム（梁）ごと落ちていて、車両側のビームは完全に破断しておりエアサスのベローズ部よりエアが噴出している状態だった。また、その落ちていた土台部分はエアサス内の圧力により地面に衝突したようで大きく変形していた。"
59,"2025年10月28日","愛知県","ＨＰ","スズキ","2020/09","3BA-JB64W","ジムニー","14,800 Km","R06A","動力伝達","エンジンをかけて２０分以降","クラッチを奥まで踏み込んだ時に引っかかる感じがする。ギギ、ギュという異音も出る。"
60,"2025年10月28日","滋賀県","ＨＰ","ニッサン","2013/03","DBA-E12","ノート","120,800 Km","HR12","エンジン","２０２５年１０月２５日","高速道路走行中、アクセルペダルを踏み込んだところ、エンジンルームから破裂音がして速度が急減した。なんとか出口から出て駐車場で停止し、ロードサービスに見てもらった結果、スーパーチャージャーエアダクトが破断していた。"
61,"2025年10月28日","群馬県","ＨＰ","マツダ","2017/03","LDA-DK5FW","ＣＸ－３","62,000 Km","S5","保安灯火","２０２５年９月","ウィンドウウォッシャーの液漏れにより、ウォッシャーが出なくなった。"
62,"2025年10月27日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2020/03","6BA-JF3","Ｎ－ＢＯＸ","43,900 Km","S07B","保安灯火","","右後席の窓ガラスが上げ下げできなくなった。整備工場で確認したところ、窓ガラスを止めているところが割れているようで、ガラスごとの交換が必要と診断された。"
63,"2025年10月27日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","","-","","","","その他","","ホンダがメーカー純正オプションとして販売しているケンウッド製ドライブレコーダーを利用するためのアプリ【ｗｉｔｈＤＲ】が作動が不安定であったり、柔軟性が無く、極めて使い勝手が悪い。"
64,"2025年10月27日","東京都","ＨＰ","スズキ","2022/12","6AA-ZWR95C","ランディ","80,300 Km","2ZR-1VM-1WM","制動装置","２０２５年９月３０日","メーター内に異常表示がされ、ブレーキ応答性に遅延が発生した。"
65,"2025年10月27日","群馬県","ＨＰ","スバル","2020/09","5BA-SK9","フォレスター","95,441 Km","FB25","エンジン","２０２５年１０月２２日","エンジンを始動させた時、警告灯が点灯し、販売店に連絡するようメッセージがあり、アイサイトなどの安全運転支援システムが全て停止した。"
66,"2025年10月27日","神奈川県","ＨＰ","ＵＤトラックス","2022/10","2RG-CG5FA","クオン","206,350 Km","GH11","動力伝達","２０２３年９月頃","エンジン不具合のチェックランプが点灯する様になりギアチェンジがスムーズに行えなくなった。"
67,"2025年10月27日","兵庫県","電話","ニッサン","2013/06","DBA-E12","ノート","","HR12","エンジン","","走行中、エンジンがガタガタ鳴き、エアコンプレッサーのロックによりエンジンが止まった。その後、ボンネットから煙が出た。"
68,"2025年10月27日","徳島県","ＨＰ","テスラ","2025/05","ZAA-YL1YT","Ｍｏｄｅｌ　Ｙ","","3D6","制動装置","２０２５年６月以降納車当初より","オプションのエンハンストオートパイロットが正常に作動せずオートパーキング機能は全く利用できない。"
69,"2025年10月27日","茨城県","ＨＰ","スバル","2016/02","DBA-VAG","ＷＲＸ","51,597 Km","FA20","保安灯火","２０２５年７月","左右フロントドアガラスがキラキラとして、目視で見にくい。西日ではまったく見えず、右左折で目視確認が困難になる。"
70,"2025年10月26日","東京都","ＨＰ","アウディ","2025/06","3BA-FU20","アウディ　Ａ５","","DWZ","保安灯火","２０２５年７月","ウインカーやハザードの音が一切鳴らなくなる。販売店で確認したところ、車載ソフトウェアのバグ起因によるものと診断された。"
71,"2025年10月26日","東京都","ＨＰ","アウディ","2025/06","3BA-FU20","アウディ　Ａ５","","DWZ","乗車装置","２０２５年７月","ドアのタッチセンサーから引く動作を検知するソフトウェアの不具合により、運転席ドアが外から開かない。"
