番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2021年03月31日,宮城,ＨＰ,ホンダ,ＦＲＥＥＤ,2017年03月,"50,000 Km",DAA-GB7,LEB-H1,制動装置,２０２１年３月１８日,走行中にブレーキペダルが半分から先に踏み込めなくなり、制動不能となった。サイド（フット）ブレーキにより停車させることが出来たが、この時、すべてのイグニッションランプが点灯していた。
2,2021年03月31日,青森,ＨＰ,マツダ,ＣＸ－５,2016年02月,"89,100 Km",LDA-KE2AW,SH,保安灯火,２０２０年９月,暖かい日中走行中に、フロントガラスか屋根付近からビリビリと異音がするようになった。
3,2021年03月31日,青森,ＨＰ,ニッサン,セレナ,2016年02月,"68,000 Km",DBA-FNC26,MR20,電気装置,２０２１年３月,エンジンかけてアクセルペダルの踏み始めに、これまで聞いた事のない異音がした。アクセルペダルを踏み込むと更に響くようにモーター音のような異音がした。
4,2021年03月31日,青森,ＨＰ,マツダ,ＣＸ－５,2016年02月,"89,100 Km",LDA-KE2AW,SH,車枠・車体,２０２０年１月,寒いとき段差で、ダッシュボードとフロントガラスの間からガタンガタン音がする。
5,2021年03月31日,長野,ＨＰ,ジープ,グランドチェロキー,2013年12月,"51,000 Km",ABA-WK36T,不明,エンジン,２０２１年３月２７日,運転後、車を見たら大量のオイル漏れを発見した。整備工場へ持ち込んだところ、オイルフィルターハウジングよりオイル漏れしているのが確認された。
6,2021年03月31日,神奈川,ＨＰ,ニッサン,ＧＴ－Ｒ,2009年05月,"34,000 Km",CBA-R35,VR38,電気装置,２０２１年３月２７日（土）,熱せられた空気がインストルメントパネル内部に集まり、オーディオのオペアンプがこわれる。（過去に２回同様不具合発生）
7,2021年03月31日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,ＡｃｔｉｖｅＨｙｂｒｉｄ３,2015年12月,"27,000 Km",DAA-3F30,N55B30A-M230,燃料装置,不明,燃料ポンプのリコール対象範囲にあるが、個別の車台番号で対象車両では無いとされていた車で、燃料ポンプが故障し、走行中に突然燃料切れの症状が発生し、止まってしまった。
8,2021年03月31日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＲＸ－８,2003年09月,"115,300 Km",LA-SE3P,13B,かじ取り,１年前,電動パワーステアリングの不良により、走行中に突然ハンドルが回ったり、停車時に勝手にハンドルがぐるぐると回った。
9,2021年03月31日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＲＸ－８,2003年09月,"115,300 Km",LA-SE3P,13B,エンジン,不明,ラジエーターの水が減り、エンジンオイル経路側にまわってしまう。
10,2021年03月31日,茨城,ＨＰ,ボルボ,Ｖ６０　ＲＤＥＳＩＧＮ,2012年12月,"100,800 Km",DBA-FB4164T,B4164T,動力伝達,２０２１年３月３０日,走行中ミッションレベル低下の警告灯が表示される。その後３０ｋｍ／ｈ以上スピードが出なくなり、アクセルペダルを踏んでもエンジン回転数は上がるがスピードは出ない。その後、停車してしまうと全く動かなくなる。エンジンを切り再始動すると警告灯が消えて走行できたが、信号で止まった際にアイドリングが不安定になり、停車中エンジン回転数が上がったり下がったりして振動があった。その後、左折するため少し動いて交差点の真ん中で止まったところエンスト起こし、再始動できなくなった。
11,2021年03月31日,愛知,ＨＰ,ニッサン,ＲＯＯＸ,2020年07月,"6,609 Km",5AA-B44A,BR06-SM21,制動装置,２０２０年１０ごろから現在に至るまで,走行中及び信号待ちの時にソナーが頻回に作動することがあった。その頃から走行中に自動ブレーキが作動することが１、２ヶ月に１回程度ある。夜間に作動することが多く感じたが、最近は朝の通勤途中でも作動する。
12,2021年03月31日,大阪,ＨＰ,スバル,レヴォーグ,2015年03月,"47,000 Km",DBA-VM4,FB16,制動装置,２０２１年３月,毎回、エンジン始動時にブレーキペダルがかなり固くなり始動しにくい。
13,2021年03月31日,山口,ＨＰ,スズキ,ソリオバンディッド,2020年04月,"17,000 Km",DAA-MA36S,K12C-WA05A,エンジン,２０２０年５月２６日,手洗い洗車するとエンジンルームのカムカバーのくぼみに水がたまる。
14,2021年03月31日,福岡,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,ムーヴ,2003年08月,"139,600 Km",UA-L150S,EF,乗車装置,不明,運転席のドアを開けようとした際にアウターハンドルが破損したため、勢いで後ろに転倒してしまった。その後も、助手席、後席のアウターハンドルが立て続けに破損している。
15,2021年03月30日,北海道,ﾌﾘｰﾀﾞｲｱﾙ,いすゞ,ギガ,2012年12月,"374,400 Km",QKG-CXZ77AT,6UZ1,エンジン,不明,エンジンコントローラーの故障により、走行中にエンジン警告灯が点灯するとともにエンジンが停止し、エンジン警告灯が消えＡＢＳ故障ランプが点灯し二度とエンジンがかからなくなった。
16,2021年03月30日,長野,ＨＰ,ホンダ,バモス,2010年03月,"10,900 Km",ABA-HM1,E07Z,かじ取り,２０１９年３月,カーブを曲がった後、手の力でハンドルを戻さないと戻らない。（セルフステアリングが効かない）
17,2021年03月30日,長野,ＨＰ,三菱,デリカＤ５,2015年01月,"170,000 Km",LDA-CV1W,4N14,排ｶﾞｽ･騒音,２０２０年８月,エキゾーストマニホールドからの排気ガス漏れにより、外気導入にしたところ、排ガスの臭いがした。
18,2021年03月30日,東京,電話,フォルクスワーゲン,パサートＣＣ,2010年04月,"200,000 Km",ABA-3CCCZC,CCZ,動力伝達,不明,高速道路で３０分程度、渋滞にはまり上り坂に差し掛かったところでガタガタする症状があったと思ったらその後数百メートル進んだところでエラー表示が出て停車した。エンジンをオフにして再始動するとエラーメッセージが消え、数百ｍ程度は走行できたが再度エラーメッセージが出て停車した。
19,2021年03月30日,東京,ＨＰ,ニッサン,ムラーノ,2009年01月,"109,000 Km",CBA-PNZ51,VQ35,動力伝達,２０２１年３月２８日,坂道を走行中、エンジン回転が空転し、走行不能になった。
20,2021年03月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,フィアット,５００Ｘ,2020年03月,"6,000 Km",3BA-33413PM,55282328,エンジン,購入当初から,アイドリングストップ機能付き車であるのにも関わらずエンジンが止まらない。
21,2021年03月30日,東京,ﾌﾘｰﾀﾞｲｱﾙ,フィアット,５００Ｘ,2020年03月,"6,000 Km",3BA-33413PM,55282328,エンジン,購入当初から,アイドリングストップ機能付き車であるのにも関わらずエンジンが止まらない。
22,2021年03月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,タント,2006年11月,"100,000 Km",ABA-L350S,EF,エンジン,不明,プラグホール内にエンジンオイルが漏れた。
23,2021年03月30日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ダイハツ,タント,2006年11月,"100,000 Km",ABA-L350S,EF,制動装置,不明,ブレーキペダルを踏み込んだ時にいつもよりペダルが奥に行き、効かなかった。
24,2021年03月30日,千葉,ＨＰ,スズキ,ワゴンＲスティングレー,2013年03月,"53,600 Km",DBA-MH34S,R06A,保安灯火,２０１８年３月と２０１９年２月,左右ヘッドライトバルブが故障した。
25,2021年03月30日,千葉,ＨＰ,ニッサン,セレナ,2002年01月,"125,000 Km",UA-RC24,QR25,電気装置,２０２１年１月,エンジンにオルタネータを固定する金物が破断してオルタネータが脱落した。
26,2021年03月30日,千葉,ＨＰ,ニッサン,エクストレイルハイブリッド,2015年09月,"45,000 Km",DAA-HT32,MR20-RM31,動力伝達,２０１９年４月頃から,信号待ち等の停車後、発進時にアクセルペダルを踏んでも車が進まず（坂道発進の時は下がってしまう）その後ドンという衝撃のあと急に発進する。
27,2021年03月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,３０７,2005年03月,"113,300 Km",GH-M307CC,RFK,保安灯火,不明,パワーウインドウが止まらず、ずるずる下がってくる。
28,2021年03月30日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,プジョー,３０７,2005年03月,"113,300 Km",GH-M307CC,RFK,緩衝装置,不明,ショックアブソーバーからオイルが漏れた。３万ｋｍで３本同時にオイル漏れ起こし、９万ｋｍで４本とも交換した。
29,2021年03月30日,茨城,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2018年02月,"30,000 Km",DAA-MK53S,R06A-WA05A,電気装置,購入から２年ほどして,リアルサポートカメラ、後退時ブレーキカメラ、オートハイビーム等の警告灯が５つほど点灯する。
30,2021年03月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,マークＸ,2010年03月,"98,000 Km",DBA-GRX130,4GR,緩衝装置,前輪２０１４年３月、後輪２０２０年３月,前後サスペンションの不具合により、走行中に突き上げるようなショックが発生する。
31,2021年03月30日,群馬,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,マークＸ,2010年03月,"98,000 Km",DBA-GRX130,4GR,燃料装置,２０２１年２月２７日,燃料ポンプセンサ不具合により、高速道路走行中に止まった。
32,2021年03月30日,静岡,ＨＰ,トヨタ,ハイエース,2010年10月,"85,000 Km",CBA-TRH214W,2TR,車枠・車体,２０２１年２月ころ,２０２１年２月頃にボンネット部分の塗装の剥離を確認した。２０２１年３月２９日には強風により塗装が剥離し、剥離した部分が目に入って負傷した。
33,2021年03月30日,岐阜,ＨＰ,メルセデス・ベンツ,Ｅ２５０ステーションワゴン,2013年11月,"70,000 Km",RBA-212236C,274,排ｶﾞｽ･騒音,不明,ＮＯｘセンサー不具合によりエンジン警告灯が点灯した。
34,2021年03月30日,三重,ﾌﾘｰﾀﾞｲｱﾙ,フォルクスワーゲン,パサート,2012年03月,"136,000 Km",DBA-3CCAX,CAX,動力伝達,不明,ＤＣＴの不具合により後退出来ない。前進しないこともある。
35,2021年03月30日,奈良,ＨＰ,マツダ,アテンザ,2015年05月,"53,000 Km",LDA-GJ2FW,SH,制動装置,２０２１年２月１３日,バキュームポンプの圧力低下により、車両システム異常の表示が出た。
36,2021年03月30日,福岡,ＨＰ,三菱,ふそうキャンター,2011年03月,"499,326 Km",SKG-FEB50,4P10,エンジン,２０２０年９月２日,２番吸気・排気バルブ・４番の排気バルブが破損したため、一般道走行中、エンジンからの異音がした後エンストし、そのままエンジン再始動できない状況になった。
37,2021年03月29日,北海道,ＨＰ,スバル,レヴォーグ,2015年05月,"96,000 Km",DBA-VM4,FB16,エンジン,２０２１年３月,走行中にエンストのような症状が出て、スムーズに加速しなくなり、マフラーから著しい黒煙が出る。ソレノイドバルブ等のコネクターまわりでオイル漏れしており、ケーブルを伝って奥の方までオイルが浸入している。
38,2021年03月29日,山形,ＨＰ,三菱,アウトランダー,2014年12月,"72,449 Km",DBA-GF8W,4J12,緩衝装置,２０２０年１１月ディラー１２月点検以降,フロント左右、サスペンションブーツ（ゴムのジャバラ）が破れ、シリンダーが見えている。
