番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2019年11月30日,東京,ＨＰ,アウディ,Ａ４　アバント,2009年12月,"30,808 Km",ABA-8KCDNF,CDN,動力伝達,２０１９年３月,一般道を走行中、トランスミッションのシフトアップがスムーズに行われず、メーターパネルにトランスミッション警告表示が点灯した。
2,2019年11月30日,神奈川,ＨＰ,ニッサン,マーチ,2003年11月,"110,000 Km",UA-AK12,CR12,エンジン,２０１９年,エンジンキーを回しただけではかからない。走行中、信号停車時等にアイドリングが低くなり、ガタガタになりエンジンが停止寸前になる。エンジン始動時バッテリーが弱まり、セルが回らくなったためバッテリー交換したが、エンジンのかかりづらさやアイドリングの不安定はあまり変わらない。
3,2019年11月30日,愛知,24時間電話,スズキ,ワゴンＲ,2010年12月,"90,400 Km",DBA-MH23S,K6A,エンジン,２０１９年１１月３０日,エンジンがかからず、ブレーキランプも点滅しない。
4,2019年11月30日,愛知,ＨＰ,マツダ,ＣＸ－５,2012年06月,"140,000 Km",LDA-KE2FW,SH,エンジン,２０１９年３月頃から,ラジエータークーラントが増えてオーバーフローする。
5,2019年11月30日,福井,ＨＰ,三菱,ふそうスーパーグレート,2012年02月,"570,000 Km",LKG-FS54VZ,6R10,エンジン,中古車で購入時から,オイルパンのひび割れにより、オイルが漏れた。
6,2019年11月29日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ＲＡＶ４,2019年11月,690 Km,6BA-MXAA54,M20A,エンジン,２０１９年１１月２８日,高速道路のサービスエリアで給油後、本線へ加速して行った際、４０～６０ｋｍ／ｈ、４０００ｒｐｍくらいのところで、速度計のところのディスプレイ上に「エンジン故障」「パーキングサポートシステム故障」「４ＷＤ故障」の表示が出た。
7,2019年11月29日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,マツダ,ＭＡＺＤＡ３,1989年11月,不明,6BA-BP5P,P5,電気装置,２０１９年１１月２２日,電源をオフにしていても、オーディオが流れ続けたことが有り、バッテリーがあがってしまった。
8,2019年11月29日,長野,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,フィットハイブリッド,2013年11月,"63,100 Km",DAA-GP5,LEB-H1,動力伝達,２０１８年１２月１７日と、先日の２回,ＤＣＴ（自動変速機）の不良により、４０～５０ｋｍ／ｈ程度の速度から、Ｔ字路の曲がって加速する時や、低速でカーブが続く道を走った際に、突然ギアがニュートラルになることがある。
9,2019年11月29日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,エリシオン,2005年10月,"63,000 Km",DBA-RR3,J30A,制動装置,不明,ビークル・スタビリティ・アシスト（ＶＳＡ）の故障により、走行中にＶＳＡランプが点いた途端にガタガタと異常な音が発生するようになり、その後ＶＳＡ故障ランプが点灯したままになった。
10,2019年11月29日,埼玉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,エブリイ,2019年09月,"1,000 Km",HBD-DA17V,R06A,車枠・車体,不明,２０ｋｍ／ｈくらいまで加速を行うと、車が左に流れていく。
