番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年04月30日,北海道,ＨＰ,ニッサン,セレナ,2006年09月,"120,000 Km",DBA-CNC25,MR20,動力伝達,２０２０年４月,ＣＶＴの不良により、Ｌギアのまま変速しない（回転数は上がるのに速度がでない）。アクセルペダルを一杯に踏んでも加速しない（回転数も上がらない）。症状が出ているときはバックもしづらい。
2,2020年04月30日,埼玉,ＨＰ,スバル,フォレスター,2014年02月,"95,000 Km",DBA-SJG,FA20,かじ取り,２０２０年４月８日,ステアリングギアボックスの不良により、高速道路を８０ｋｍ／ｈ位で走行時、ステアリングが左右に１ｍｍも動かない状態になった。　この時は１秒前後で正常な状態に戻ったが、後日のエンジン始動時に同じ症状が再発した。
3,2020年04月30日,愛知,ＨＰ,スズキ,ワゴンＲ,2014年03月,"35,000 Km",DBA-MH34S,R06A,電気装置,不明,補助電源モジュールの構成部品（素子）内部に亀裂が生じたため、アイドリングストップＯＦＦランプが点滅すると同時にカーナビやＥＴＣドライブレコーダーも作動しなくなった。
4,2020年04月30日,大阪,ＨＰ,スズキ,ＤＲ－Ｚ４００ＳＭ,2007年09月,"30,000 Km",BC-SK44A,K419,動力伝達,２０２０年４月１０日,信号待ち停車のためにシフトダウンしてエンジンブレーキで減速中、突然ギアが抜けてニュートラルに入ったような感覚（動力が切れた）になった。その後、発進を試みたがクラッチを繋いでも動力がまったく駆動輪に伝わらなかった。ドリブンスプロケットカバーを取り外してみたところ、ドライブシャフト（カウンターシャフト）が折損していた。
5,2020年04月30日,広島,ＨＰ,トヨタ,アクア,2012年02月,"70,000 Km",DAA-NHP10,1NZ-1LM,車枠・車体,２０１５年,少しずつドアノブとスポイラーの塗装が剥がれ、今は全面剥がれてプカプカしている。
6,2020年04月30日,鳥取,ＨＰ,スズキ,ワゴンＲ,2014年05月,"42,000 Km",DBA-MH34S,R06A,緩衝装置,２０２０年４月２２日,車庫から車を出すため、１メートル動かした時にバキッと音がし、走行時は左フロントから異音が発生した。車を確認してみると、左前輪スプリングが折損していた。
7,2020年04月30日,福岡,来訪,ＢＭＷ,２１８ｄアクティブツアラー,2016年09月,"40,000 Km",LDA-2C20,B47C20A,動力伝達,２０２０年４月１０日頃,サイドブレーキをかけている状態にも関わらず、エンジン始動後、メーターパネルに「サイドブレーキをかけて下さい」という警告表示が表示されたままとなる。当該表示はサイドブレーキを解除したり、ナビの検索ボタンを押下すれば消灯する。
8,2020年04月29日,新潟,ＨＰ,ニッサン,スカイラインクロスオーバー,2010年09月,"85,799 Km",DBA-NJ50,VQ37,かじ取り,２０２０年４月５日午後９時７分頃,ステアリングロックの不良により、通常通りブレーキペダルを踏みながらエンジンボタンを押下したところ、ブレーキペダルが押し返され、ブレーキペダルが３分の１程しか踏み込めない状態となり、エンジン始動不可となった。メーターパネルには、キー警告灯だけが点灯していた。
9,2020年04月29日,神奈川,ＨＰ,三菱,デリカＤ５,2015年02月,"127,000 Km",LDA-CV1W,4N14,排ｶﾞｽ･騒音,２０２０年３月１８日,エキゾーストマニホールドに小さな穴が開いていて、そこから排気漏れをしていたため、信号待ちの際にボンネットから白い煙が上がった。
10,2020年04月29日,埼玉,ＨＰ,マツダ,ＣＸ－８,2018年04月,"33,250 Km",3DA-KG2P,SH,電気装置,２０１９年７月４日,室内灯のつけ放しなどもなく、バッテリーが上がる。
