番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2020年12月30日,岐阜,ＨＰ,ホンダ,Ｎ－ＢＯＸカスタム,2015年06月,"50,000 Km",DBA-JF1,S07A,エンジン,２０１９年６月頃,信号待ち中にアイドリングストップ後、発進しようとしたらエンジンが始動しなくなった。
2,2020年12月30日,三重,ＨＰ,ニッサン,セレナ,2013年05月,"63,110 Km",DAA-HFC26,MR20-SM23,動力伝達,２０２０年の１１月頃,ＣＶＴ（無段変速機）の不良により、高速道路を走行中に動力が空回りして加速しなくなり、回転が上がって急に加速した。
3,2020年12月29日,宮城,ＨＰ,ニッサン,セレナ,2012年03月,"99,000 Km",DBA-NC26,MR20,電気装置,２０２０年１１月頃,オルタネーターから異音が発生した。
4,2020年12月29日,茨城,ＨＰ,三菱,ふそうキャンター,2016年12月,"247,131 Km",TPG-FEB50,4P10,動力伝達,２０２０年１２月２７日,数ヶ月前より発進時に異音がしていたため、車検時に確認を依頼したところ、Ａ／Ｔ内部から欠片が出てきた。
5,2020年12月29日,茨城,ＨＰ,三菱,ふそうキャンター,2016年12月,"334,700 Km",TPG-FEB50,4P10,動力伝達,２０２０年１２月２７日,Ａ／Ｔの変速時ショックが大きくなり、その後シフト不能になった。シフトできなくなってから、Ｔ／Ｍ　ＳＹＳの赤い警告灯が点灯した。
6,2020年12月29日,愛知,ＨＰ,スズキ,スペーシアカスタム,2020年08月,不明,DAA-MK53S,R06A-WA05A,エンジン,納車後に気付く,エンジンスターターを押してもセルが数秒間まわり、スムーズにエンジンスタートしない。時にはエンジンがかからないこともあった。
7,2020年12月29日,岐阜,ＨＰ,ニッサン,セレナ,2013年09月,"86,687 Km",DAA-HC26,MR20-SM23,電気装置,２０２０年６月,オルタネーターの不良により、エンジンをかけるとボンネット内から、うなるような音がする。
8,2020年12月29日,岐阜,ＨＰ,スバル,レヴォーグ,2015年01月,"43,800 Km",DBA-VM4,FB16,制動装置,２０２０年１１月,エンジンを停止して数時間後に始動しようとしてブレーキを踏み込むと、ブレーキが硬い。エンジンを始動すると硬さは解消される。
9,2020年12月29日,兵庫,ＨＰ,ホンダ,フィット　Ｅ：ＨＥＶ,2020年06月,"6,135 Km",6AA-GR3,LEB-H5,制動装置,２０２０年６月,下り坂からの左上がり勾配路の接続点を徐行中に、毎回、誤発進が誤って検知され、自動ブレーキが作動し、車が急停車する。
10,2020年12月28日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,アルト,2017年02月,"11,000 Km",DBA-HA36S,R06A,エンジン,不明,エンジンブレーキが効いてるときだけヒューヒューという音がする。
