番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
1,"2007年12月30日","愛知県","ＨＰ","三菱","1999/09","H76W","パジェロ　イオ","","4G93","エンジン","２００６年　夏","エアコンをかけるとエンストしてしまう。"
2,"2007年12月29日","福島県","ＨＰ","ニッサン","2000/02","ATE50","エルグランド","92,300 Km","ZD30","エンジン","２０００年２月の購入時","定期的にエアフロメーターを清掃しないと加速が落ちる。"
3,"2007年12月29日","東京都","ＨＰ","ＢＭＷ","2003/09","GH-AY20","３１８","36,000 Km","N42B20A","電気装置","２００７年１２月","オルタネータの故障により、突然エンストする。"
4,"2007年12月29日","神奈川県","ＨＰ","三菱","2001/06","TA-V75W","パジェロ","63,525 Km","6G74","エンジン","２００７年９月頃","エンジン回転数を３０００回転まで上げるとノッキングが発生し、シフトアップしない。"
5,"2007年12月29日","愛知県","ＨＰ","ボルボ","2001/04","GH-RB5244","","65,000 Km","","燃料装置","２００７年１０月","燃料ポンプの不良により、燃料がにじみ出る。"
6,"2007年12月29日","北海道","ＨＰ","トヨタ","2004/06","AZT25","アベンシス","50,000 Km","","その他","２００６年１２月、２００７年１０月","エアコン用エアフィルタの目詰まりにより、ヒーターが効かない。"
7,"2007年12月28日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","UA-MH21S","ワゴンＲ","50,000 Km","K6A","かじ取り","","ステアリングハンドル（ウレタン製）がボロボロに破損していた。"
8,"2007年12月28日","宮崎県","電話","ホンダ","","GF-HM1","バモス","80,000 Km","","排ｶﾞｽ･騒音","","リコール届出されている車両の対象外であるにも関わらず同じ不具合（排気マニホールド亀裂）が発生した。"
9,"2007年12月28日","三重県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2006/01","DBA-GRS182","クラウン","6,000 Km","3GR","エンジン","２００７年１１月１７日","駐車時、突然にエンジン回転数が上昇し、急加速した。"
10,"2007年12月28日","広島県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","","E-F36A","ディアマンテ","177,000 Km","","動力伝達","","自動変速機の不良により、変速時に滑りが発生したり、ジャダーが出たりする。"
11,"2007年12月28日","静岡県","24時間電話","日野","","BDG-XZU344M","デュトロ","","N04C","エンジン","２００７年１１月","一日車両を使用した後車両を駐車しておくと、一晩で冷却水タンクが空になる。"
