番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年06月30日,石川,来訪,スズキ,アルト,2016年06月,"90,000 Km",DBA-HA36S,R06A,緩衝装置,２０２２年６月３０日,カランカランという異音がし、整備工場に持ち込もうとしたが、その走行中にガシャーンという大きい音がしたので確認をすると当該自動車の部品と思われるコイルスプリングの一部が道路上に落ちていた。
2,2022年06月30日,東京,ＨＰ,ニッサン,ノート,2015年03月,"47,600 Km",DBA-E12,HR12,エンジン,２０２２年６月,一般道走行中、突然の異音発生と同時にエンジンが吹けなくなり、走行不能に陥った。ボンネットを開け状況確認したところ、スーパーチャージャーのインレットチューブが完全に破断していた。
3,2022年06月30日,東京,ＨＰ,ケーターハム,セブン２７０ｓ,2019年03月,"31,000 Km",不明,SG,エンジン,２０２２年６月,エンジンチェックランプが点灯し、エンジンパワーがなくなり、３０００回転以上まわらなくなった。同じ状況でエンジンがハンチング（アクセルペダルに触れていないのに、アクセルをあおっているような状態）になることもある。
4,2022年06月30日,東京,ＨＰ,フォルクスワーゲン,ＶＷゴルフヴァリアント１．４／１０３ｋＷ,2014年08月,"14,800 Km",DBA-AUCHP,CHP,保安灯火,２０２２年６月２６日,右サイドミラーのヒーター面から鏡面が脱落し路上で割れた。
5,2022年06月30日,神奈川,ＨＰ,プジョー,５０８　ＨＹＢＲＩＤ,2021年10月,"5,000 Km",3LA-R85G06H,5G06-ZA02,エンジン,２０２２年６月２８日,リコール外－３４３２について対象外の車で、エンジンをかけるとアイドリングが激しく不安定になり、走行中にエンジンが止まる。
6,2022年06月30日,千葉,ＨＰ,アウディ,アウディ　Ｓ３　ＳＢ,2017年03月,"55,000 Km",ABA-8VCJXF,CJX,電気装置,夏季,夏期になると各タイヤについてるスピードセンサーが故障する。昨年、今年と連続で右左が故障した。スピードセンサーが故障すると、ＡＢＳや車両安定装置、自動運転や各種センサーの機能がストップし、走行性能が下がり、メーターの各種警告音が鳴る。
7,2022年06月30日,埼玉,ＨＰ,ダイハツ,ムーヴ,2011年07月,"89,000 Km",DBA-LA100S,KF,エンジン,２０２１年１１月,エンジンオイル交換から３０００ｋｍ走らないうちにオイルがなくなる。右折時など、一度停車してから発車するときエンストしそうになる。ハンドルが重くなり、アクセルぺダルを踏み込んでも加速しない。
8,2022年06月30日,埼玉,ＨＰ,ニッサン,セレナ,2014年02月,"104,000 Km",DAA-HFC26,MR20-SM23,電気装置,２０２２年６月３０日,メーターパネルに警告表示後、エンストした。
9,2022年06月30日,埼玉,ＨＰ,ニッサン,セレナ,2018年03月,"58,000 Km",DAA-HFC27,HR12-EM57,緩衝装置,２０２２年３月中旬から２０２２年６月２８,スーパーマーケット駐車場にて、ハンドルを右に切りバックで駐車する際、右フロント部が沈み込み、自走不能となった。右前輪のロアアームが抜けていた。
10,2022年06月30日,愛知,ＨＰ,ＢＭＷ,ＢＭＷ　１１６ｉ,2010年04月,"128,154 Km",ABA-UE16,N45B16A,動力伝達,２０１３年と２０２１年,Ｍ／Ｓマニュアルモードが作動しなくなった。メーターパネルに操作が表示されず、シフトポジションを示す赤ＬＥＤが点灯しない。ディーラーで確認したところ、内部配線が断線していたと判りシフトレバー周りを丸ごと交換した。
11,2022年06月30日,三重,ＨＰ,ヤマハ,ジョグ,不明,不明,JBH-SA36J,A312E,エンジン,２０１５年ごろから,エンジンをふかしても馬力が出ず、スピードが徐々に下がり、エンストする。アイドリング中でもストップする。交差点などで頻回に停止している。
12,2022年06月30日,大阪,ＨＰ,ニッサン,セレナ,2019年07月,不明,DAA-GFC27,MR20-SM24,その他,半年前から,高速道路でプロパイロット使用時、速度が速い場合は前車との車間距離を取っているように思えるが、渋滞のような状況ではブレーキ制御がうまく働かずぶつかりそうにる。
13,2022年06月30日,大阪,ＨＰ,トヨタ,ハイエース,2012年05月,"86,000 Km",CBF-TRH200V,1TR,車枠・車体,初期症状は２０１８年から２０２２年６月２,塗装の内部に水が溜まってビニールシートの様に浮き出てきた。
14,2022年06月30日,大阪,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうキャンター,2017年03月,"177,300 Km",TPG-FEB90,4P10,排ｶﾞｽ･騒音,不明,尿素マーク、エンジンマーク、システムマークの警告灯が点灯する。コモンレールやサプライポンプ、ＥＧＲバルブの交換を行っているが、すぐに再発する。
15,2022年06月30日,滋賀,ＨＰ,ホンダ,Ｎ－ＢＯＸ　Ｃｕｓｔｏｍ,2018年06月,"55,000 Km",DBA-JF3,S07B,その他,２０２２年１月,走行中、ホンダセンシングのエラーがディスプレイに表示された。
