番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
1,2022年07月31日,新潟,ＨＰ,マツダ,デミオ,2015年03月,"104,700 Km",LDA-DJ5AS,S5,乗車装置,新車登録後５年経過程度,後席のシートベルトを引っ張ると伸びきったまま元に戻らなくなった。
2,2022年07月31日,石川,ＨＰ,スズキ,ジムニーシエラ,2022年04月,"1,663 Km",3BA-JB74W,K15B,動力伝達,新車乗り始めから,発進時の半クラッチ又は繋がった直後のアクセルの開け始め位に、フロア下から「ガガガ」と異音がする。
3,2022年07月31日,神奈川,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2015年07月,"29,800 Km",DBA-JF1,S07A,エンジン,２０２２年４月,アイドリングストップ後ブレーキペダルから足を離してもエンジン始動せず。スタートボタンを押してもエンジンが始動しない事が度々発生した。
4,2022年07月31日,愛知,ＨＰ,フォルクスワーゲン,ゴルフ　ＧＴＩ,2014年09月,"115,650 Km",ABA-AUCHH,CHH,保安灯火,２０２２年７月３１日,自宅駐車場でドアを閉めたら運転席側ドアミラーの鏡面部が剥がれた。
5,2022年07月31日,岡山,ＨＰ,ニッサン,ノートｅ－ＰＯＷＥＲ,2022年04月,860 Km,6AA-E13,HR12-EM47,乗車装置,２０２２年６月,運転中、運転席座席の背中辺り中の何かが動き、気持ちが悪い。
6,2022年07月30日,長野,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2019年05月,"39,800 Km",DBA-JF4,S07B,保安灯火,２０２２年７月２８日,右側スライドドアの窓が開閉時にガタガタと異音を発し、何度かの動作後、動かなくなった。
7,2022年07月30日,東京,ＨＰ,アルファロメオ,ステルヴィオ,2021年07月,不明,3DA-91922,55284529,動力伝達,購入当初から,時速３０ｋｍ／ｈ～４０ｋｍ／ｈに減速していると、追突しそうな勢いで急に前にグンと加速する。
8,2022年07月30日,埼玉,ＨＰ,ニッサン,セレナ,2014年06月,"49,576 Km",DAA-HFC26,MR20-SM23,エンジン,２０２２年７月,停車時にエアコンが効かなくなり、ディーラーで調べてもらったところラジエーターファンモーターの故障と診断され交換を行った。
9,2022年07月30日,栃木,ＨＰ,ホンダ,ＶＥＺＥＬ　Ｈｙｂｒｉｄ　Ｚ,2014年07月,不明,DAA-RU3,LEB-H1,動力伝達,２０２２年７月１９日２２時頃,ＰＯＷＥＲスイッチを押して始動したところ、「トランスミッション点検」が表示された。ディーラーで、１速ギヤの商品性悪化と言われ、トランスミッションＡｓｓｙとクラッチの交換が見積もられた。
10,2022年07月30日,静岡,ＨＰ,三菱,パジェロ,2011年12月,"102,055 Km",LDA-V98W,4M41,エンジン,２０１９年１１月位、走行距離８万キロ位か,エンジン始動後にエンストが頻発する。再始動をしてもエンストが再発し、まれにバッテリーが上がるまで始動とエンストを繰り返しても始動出来ないことがある。
11,2022年07月30日,京都,24時間電話,ニッサン,ＲＯＯＸ,2022年03月,不明,5AA-B44A,BR06-SM21,かじ取り,２０２２年７月７日,走行中にハンドルが落ち、走行不能になった。
12,2022年07月30日,奈良,ＨＰ,スズキ,エブリイ,2015年02月,"110,000 Km",HBD-DA17V,R06A,動力伝達,２０２１年７月１７日,アクセルペダルを踏みこむとギアがローから変わらない。
13,2022年07月29日,福島,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ポルテ,2015年07月,"30,000 Km",DBA-NCP145,1NZ,エンジン,不明,エンジンのチェーンカバーとヘッドとブロックの間からエンジンオイルが漏れた。
14,2022年07月29日,秋田,来訪,ＵＤトラックス,クオン,2015年03月,"621,546 Km",QKG-CW5ZL,GH11,燃料装置,２０２２年７月５日,運行する途中、何らかの原因で燃料タンクが落下した。整備工場を交えて調査を行ったところ、アルミ製タンクハンガーの劣化による腐食が原因と判明した。
15,2022年07月29日,新潟,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,セレナ,2011年10月,"97,000 Km",DBA-FC26,MR20,エンジン,１年くらい前から,エンジン内部より異音がするようになった。整備工場で相談したところタイミングチェーンが緩んでいるのではないかと診断された。
16,2022年07月29日,東京,ＨＰ,マツダ,ロードスター,2019年06月,"11,400 Km",5BA-ND5RC,P5,乗車装置,新車購入の３年後,運転席側・助手席側のドアヒンジに錆が発生している。錆のため、ヒンジのリベット頭部の一部が欠損している。なお、車体外装には、錆は一切発生していない。
17,2022年07月29日,神奈川,電話,トヨタ,プリウスα,2016年07月,"113,200 Km",DAA-ZVW411W,2ZR-5JM,制動装置,２０２２年７月１５日,前の車両が信号で停車していたためブレーキペダルを踏んだと同時に警告灯が点灯及び警告音が鳴ってブレーキが効かなくなった。
18,2022年07月29日,神奈川,ＨＰ,フォルクスワーゲン,ゴルフ　ＧＴｉ,2016年06月,"50,000 Km",ABA-AUCHH,AUCHH,制動装置,２０１９年１１月,何も障害物の無い都内一般道の直線区間（上部に鉄橋あり）で警報が鳴り、自動ブレーキが作動して一瞬タイヤがロックした。
19,2022年07月29日,神奈川,ＨＰ,フォルクスワーゲン,ゴルフ　ＧＴｉ,2016年06月,"50,000 Km",ABA-AUCHH,AUCHH,保安灯火,度々,窓を開けようとスイッチをワンプッシュしても下まで下がらないことがよくある。
20,2022年07月29日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,キャリイ,2017年06月,"10,000 Km",EBD-DA16T,R06A,動力伝達,２０２１年３～５月ごろ、２０２２年７月２,畑から舗装路に出る際に４ＷＤで出たのち、２ＷＤに切り替えようとしたところ、２ＷＤに切り替えられずに走行できなくなった。ディーラーで修理を受けたが、１年後に同じ症状が再発した。
21,2022年07月29日,三重,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ふそうファイター,2003年04月,"280,000 Km",KL-FK71HDZ,6M61,エンジン,２週間前,エンジンマウントのへたりにより、ラジエーターファンがラジエータのファンシュラウドに接触し、ファンが軸から丸ごと破損した。
22,2022年07月29日,山口,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2017年01月,"89,000 Km",DAA-MK42S,R06A-WA04A,エンジン,２０２２年７月１４日,坂道を走行中、突然加速不能になり、５ｋｍ／ｈ位しか出なくなった。
23,2022年07月29日,山口,ﾌﾘｰﾀﾞｲｱﾙ,スズキ,スペーシア,2017年01月,"89,000 Km",DAA-MK42S,R06A-WA04A,燃料装置,２０２１年９月,信号待ちでアイドリングストップの状態から発進しようとしたところ、エンジンが始動せずに動けなくなった。整備工場で確認したところ、燃料ポンプの経年劣化と診断された。
24,2022年07月29日,長崎,ＨＰ,ホンダ,ステップワゴン,2020年12月,"9,000 Km",6AA-RP5,LFA-H4,動力伝達,走行３０００ｋｍ～９０００ｋｍ（現在）,エンジン始動確認後フットブレーキを踏みシフトレバーをＤレンジに入れるとＲレンジに入ることが今までに６回ほどあった。
25,2022年07月28日,岩手,ﾌﾘｰﾀﾞｲｱﾙ,スバル,エクシーガ,2011年01月,"70,000 Km",DBA-YA5,EJ20,動力伝達,不明,２速から３速に変速する際にギアが一度ニュートラルになったような状態でエンジン回転が吹け上がり、その後に突然ロックアップ状態で動力が伝わるため、背中を蹴飛ばされたような衝撃が発生する。この症状が出るとメーターパネルにオイルＴＥＭＰ、横滑りなどの警告が点灯し変速制御も応急モードのような制御になる。
26,2022年07月28日,東京,ＨＰ,ランドローバー,レンジローバーＥｖｏｑｕｅ,2014年09月,"30,000 Km",CBA-LV2A,204PT,動力伝達,２０２１年４月ごろより,ギアボックス異常の警告が出てシフトセレクターが全く動かせない状態になった。トランスミッションコントロールユニットを交換したが完治せずに再度発生。今度はギアボックスのバルブボディを交換した。その後はシフトセレクターが動かなくなることはなくなったものの、今度はギアボックスオーバーヒート警告が頻発し最終的には走行ができない事態となった。
27,2022年07月28日,東京,ＨＰ,カワサキ,Ｎｉｎｊａ　ＺＸ－２５Ｒ,不明,"2,200 Km",2BK-ZX250E,ZX250EE,エンジン,２０２１年１２月,納車後、３２０ｋｍ走行した時点で自己点検をしたところ、ウォータポンプ部からオイルが滲んでオイルパンの方まで流れ漏れているのを確認した。販売店で修理を行ったが、再発している。
28,2022年07月28日,神奈川,ＨＰ,ＭＩＮＩ,ＭＩＮＩ　Ｃｏｏｐｅｒ　Ｓ　５　Ｄｏｏｒ,2020年07月,"36,000 Km",DBA-XU20M,B48A20A,燃料装置,２０２２年６月,一般道を法定速度程度で走行中、突然ノッキングし、ドライブトレーン警告が表示された。それ以降高速回転ではノッキングにより燃料が行き届かないような状況に陥った。ディーラーで確認したところ燃料高圧ポンプの異常が原因と診断された。
29,2022年07月28日,神奈川,ＨＰ,プジョー,ｅ－２０８,2021年03月,"8,000 Km",ZAA-P21ZK01,ZK01,その他,２０２２年７月１９日,リコールが発表されている車で、対応に時間がかかると聞いていたので車を継続使用していたところ、一般道を走行中に「電動走行システム故障」のメッセージが出て走行中に路上停止した。その後は押して移動させたり牽引することもできなくなった。
30,2022年07月28日,神奈川,ﾌﾘｰﾀﾞｲｱﾙ,ホンダ,ＰＣＸ１５０,不明,不明,2BK-KF30,KF30E,エンジン,不明,突然エンストする。販売店で燃料ポンプの交換を行ったが１年後に再発した。
31,2022年07月28日,千葉,ＨＰ,ニッサン,セレナ,2012年12月,"130,272 Km",DAA-HFC26,MR20-SM23,電気装置,２０２２年４月,エンジン始動時にゴーゴーと大きな異音がする。始動時の音は大きいが、エンジンが温まると少し音が静かになる。異音が消えるわけではない。
32,2022年07月28日,群馬,ＨＰ,フォルクスワーゲン,ＶＷゴルフ　１．４／１０３ｋＷ,2016年04月,"42,300 Km",DBA-AUCPT,CPT,保安灯火,２０２２年６月,走行中に、右側のドアミラーのガラス部分のみ剥がれて脱落した。
33,2022年07月28日,愛知,ＨＰ,フォルクスワーゲン,ＶＷ　ポロ　Ｂｌｕｅ　ＧＴ,2014年03月,"110,000 Km",DBA-6RCPT,CPT,保安灯火,２０２２年７月２７日,国道走行中に、右サイドミラーの鏡面部分が剥がれ落ちてなくなっていた。
34,2022年07月28日,愛知,ＨＰ,トヨタ,ヴォクシー,不明,不明,6BA-MZRA90W,不明,その他,新車購入当初から,エンジン始動時、ナビ画面がブラックアウト化し、設定情報が初期化される。再起動しても作動しない。因果関係は不明だが、車両の情報が誤って認識されるのでブレーキが変な箇所でかかる。
35,2022年07月28日,奈良,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ハイエース,2016年03月,不明,CBF-TRH200V 改,1TR,エンジン,不明,ハイエースにＬＰガスキットを装着したが、エンスト、ガス漏れが頻発する。
36,2022年07月28日,岡山,ＨＰ,三菱,デリカＤ５,2013年03月,"166,000 Km",LDA-CV1W,4N14,エンジン,２０２２年３月？,マフラー出口及びその周囲へ煤が酷く着く（真っ黒になる）ようになる。走行中カーブに差し掛かり、アクセルｏｆｆ、コーナー立ち上がりで再びアクセルペダルを踏み込んだが、エンジン回転数上がらずにアイドリング状態で走行不能になり、その後思い出したかのようにエンジンが回り出し、再び走行出来た。ディーラーにてＥＧＲ交換、インテークパイプ交換、煤清掃を行った。
37,2022年07月27日,宮城,ﾌﾘｰﾀﾞｲｱﾙ,スバル,レヴォーグ,2016年03月,"90,000 Km",DBA-VMG,FA20,エンジン,２０２２年７月１８日,走行中に加速不良に陥り、エンジンからカラカラと異音が出るようになったため、ディーラーで調べてもらったところ、ターボチャージャーが壊れていると診断された。
38,2022年07月27日,新潟,ＨＰ,アウディ,アウディＡ６アバント　２．８ｑ,2012年06月,"176,300 Km",DBA-4GCHVS,CHV,動力伝達,２０２２年４月２６日,エンジンはかかったが、警告（ギヤボックスの故障、駐車ブレーキシステムの故障、タイヤ空気圧システムの故障、ヘッドライト高さ調整故障、ＥＳＰ故障）が複数表示されギアが入らなくなり走行不能になった。ディーラーで点検を受けたところ、ＤＳＧオイル冷却切り替えバルブから冷却水が漏れ、ギヤボックス配線のカプラーに至り端子を腐食させたものと診断された。
39,2022年07月27日,長野,ＨＰ,ニッサン,セレナ,2013年06月,"53,800 Km",DAA-HFC26,MR20-SM23,動力伝達,２０１９年,２０～４０ｋｍ／ｈで走行中に、ノッキングが日常的に発生する。リコール対象のエラー表示以外に、もう一つＣＶＴ関連にエラーが出ているということで、ＣＶＴの交換が必要となると診断された。
40,2022年07月27日,石川,ＨＰ,ホンダ,アコード,2012年01月,"96,250 Km",DBA-CU1,R20A,かじ取り,２０２２年７月１４日,ハンドルが重くなり右折できなかった、メーターパネルに警告表示が出た。警告音は鳴らなかった。
41,2022年07月27日,東京,ＨＰ,ルノー,アルピーヌＡ１１０,2019年03月,"17,000 Km",ABA-DFM5P,M5P,燃料装置,２０２２年７月１３日,高速道を降り、一般道路を走行して、駐車場に入ったところで突然警告表示がされてエンジンが停止した。再始動を試みたがクランキングはするものの始動せず、警告表示「エンジン不良　危険」が表示されたままになった。燃料ポンプのリコールを済ませた車であるが、ディーラーで燃料ポンプの交換が行われた。
42,2022年07月27日,神奈川,ＨＰ,トヨタ,ノア,2018年10月,"28,000 Km",DBA-ZRR80G,3ZR,乗車装置,不明,ヘッドレストに触れたところ、スポンジが下に落ち込み、差し込むための鉄の棒が２本とも上に突き出し出てきた。布からは突き出していないが、ゴツゴツと鉄の棒が触れる状態になった。
43,2022年07月27日,愛知,ＨＰ,ニッサン,セレナ,2014年03月,"114,056 Km",DAA-HFC26,MR20-SM23,電気装置,２０２２年６月,走行中にエンジンルームからの異音がし、それにつれて妙な挙動が出てメーターパネルの警告灯が点灯、信号停車時に異臭と発煙が有り、車を脇に停車してボンネットを開けると、オルタネーターより発煙と異臭、高熱になっているのを確認した。
44,2022年07月27日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,ニッサン,ＮＶ３５０キャラバン,不明,不明,E26,不明,車枠・車体,不明,前軸の車高が後軸より３ｃｍ高い
45,2022年07月27日,愛知,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,ＲＡＶ４,2022年02月,不明,6AA-AXAH52,A25A-3NM,その他,不明,車両から出る電磁波により体調不良になった。
46,2022年07月26日,宮城,ＨＰ,ホンダ,フィット,2020年11月,"35,000 Km",6AA-GR6,LEB-H5,かじ取り,不明,ＡＣＣとＬＫＡＳを使用して片道１車線の常磐道を走行するとタイヤ１個分以上中央線に寄って走行する。そのため常にハンドルを左に意識しなければならない。
47,2022年07月26日,宮城,ＨＰ,ホンダ,フィット,2020年11月,"35,000 Km",6AA-GR6,LEB-H5,制動装置,複数回,敷地から歩道を跨いで車道に出る際、障害物や対向車などもないのに緊急ブレーキが作動し停車した。メーターには踏み間違い衝突軽減システムの様な警告表示と警告音があり、歩道から車道に出る際は少し急な下りだった。
48,2022年07月26日,岩手,ＨＰ,ニッサン,セレナ,不明,不明,DBA-C27,不明,エンジン,２０２２／７／２６,エンジンが一発で始動しない、始動後の回転数が安定せずノッキングする、アイドリングストップ表示灯の点滅、エンジンを再始動しても状況変わらず、停止始動時にガソリン臭がする。ディーラーで確認したところ、４気筒のうち３気筒目にミスファイアがあると診断され、コンピュータ更新とバッテリー交換を行ったが症状が再発した。
49,2022年07月26日,東京,ﾌﾘｰﾀﾞｲｱﾙ,スバル,ＷＲＸ,2019年12月,"49,000 Km",CBA-VAB,EJ20,動力伝達,不明,クラッチペダルを踏んだ際に異音がするようになった。ディーラーで診断を受け、レリーズベアリングのグリスアップが行われた。
50,2022年07月26日,千葉,ＨＰ,トヨタ,カムリ,2018年07月,"120,000 Km",DAA-AXVH70,A25A-3NM,燃料装置,２０２２年７月１９日,メーターパネルに警告音とメッセージが出て急に止まってしまった。道路に寄せきることも出来ず、通行の妨げとなってしまった。パネル自体にはエンジン故障という文言が出ていた。その他警告灯がすべて点灯している状態でエンジンもかからない状況になってしまった。ディーラーで燃料ポンプの故障と診断された。
51,2022年07月26日,滋賀,ＨＰ,シトロエン,Ｃ４ピカソ,2016年12月,"33,235 Km",LDA-B787AH01,AH01,排ｶﾞｽ･騒音,２０２２年４月,車を使用中に突然エンジンフォルト、リペアニードのメッセージと、アドブルータンクの警告が出た。ディーラーでアドブルータンクとＥＣＵの交換を行った。
52,2022年07月26日,滋賀,ＨＰ,シトロエン,Ｃ４ピカソ,2016年12月,"33,235 Km",LDA-B787AH01,AH01,排ｶﾞｽ･騒音,２０２１年７月,走行中、大量に白煙を排気するようになった。ディーラーで、パーティカルフィルタ、ＥＣＵ、ＮＯｘセンサー、尿素インジェクターについて修理、交換を行った。
53,2022年07月26日,滋賀,ＨＰ,シトロエン,Ｃ４ピカソ,2016年12月,"43,200 Km",LDA-B787AH01,AH01,その他,２０２２年７月,サンシェードの固定部品が破損したため、走行中に突然サンシェードが勢いよく開いた。
54,2022年07月26日,滋賀,ＨＰ,シトロエン,Ｃ４ピカソ,2016年12月,"33,235 Km",LDA-B787AH01,AH01,動力伝達,２０２１年７月,走行中に、段差を超えるときなどに下回りから異音（キンキン音）が発生するようになった。ディーラーで確認した結果、サスペンションクロスメンバーの溶接が外れて内部からの異音が発生していると診断された。
55,2022年07月26日,熊本,ﾌﾘｰﾀﾞｲｱﾙ,ＢＭＷ,Ｘ３,2014年03月,"105,000 Km",LDA-WY20,N47D20C,エンジン,２０２２年７月１６日,エンジンをかけてアイドリング中、突然エンジンがガタガタとなりだした。アクセルを開けても普段の加速をせず、２～３ｋｍ走行したところで、止まってしまい、走行不能になったため、レッカーでディーラーへ搬送した。ディーラーからは、タイミングチェーンテンショナーに亀裂が有り、チェーンが緩んでいると診断されている。
56,2022年07月25日,北海道,ＨＰ,トヨタ,レジアスエース,2012年03月,"111,055 Km",LDF-KDH206V,1KD,車枠・車体,２０２２年６月１５日,ボディ全体の塗装が剥がれた。
57,2022年07月25日,岩手,ＨＰ,マツダ,ＣＸ－５,2015年12月,"61,800 Km",LDA-KE2FW,SH,制動装置,２０２２年７月,空気圧異常ランプが点灯し確認したところ、左後輪のブレーキローターが赤く加熱して焦げ臭い煙が出ていた。交換部品はキャリパーマウンティング・パットなど一式●修理済み
58,2022年07月25日,山形,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2019年02月,"15,230 Km",DBA-JF3,S07B,保安灯火,２０２２年７月２３日,右側リヤスライドドアガラスを作動させると「ガタガタ」異音が出て、複数回動かしたら、ウインドウガラスが落ちた。ディーラーにて確認してもらったところ、レギュレータとドアガラスの交換が必要と診断された。
59,2022年07月25日,新潟,ＨＰ,マツダ,ＣＸ－５,2013年01月,"120,000 Km",LDA-KE2AW,SH,動力伝達,２０２２年７月１７日,高速道路を走行中に、突然、速度が低下し始め、アクセルペダルを踏み込んでも、エンジン回転数が急激に上がるだけで、速度は徐々に低下したため、惰性で路肩に流れ着いた。メーターパネルの警告表示の点灯や警告音はなかった。停車後に、再度アクセルペダルを踏んでも反応せず、発進不可能な状態となった。ディーラーでトランスミッションの故障と診断された。
60,2022年07月25日,東京,ﾌﾘｰﾀﾞｲｱﾙ,トヨタ,アルファード,2003年12月,"170,000 Km",TA-MNH10W,1MZ,エンジン,不明,エンジンを始動し、ギアをニュートラルにしたところ、エンジンが大きくふけあがった。
61,2022年07月25日,千葉,ﾌﾘｰﾀﾞｲｱﾙ,三菱,ミラージュ,2022年06月,不明,5BA-A03A,3A92,乗車装置,２０２２年,走行中にドアが開いた。
62,2022年07月25日,埼玉,ＨＰ,スバル,サンバートラック,2018年09月,"216,000 Km",EBD-S500J,KF,制動装置,２０２２年７月１３日,橋の下りスロープにてブレーキを掛けたら、スマートアシストが作動し、スマートアシスト機能が優先されているような状態になり、ブレーキをいくら踏んでも効かなくなった。ＡＢＳのガガガガという反応もあったが、そのブレーキの力が非常に弱い状態でブレーキペダルを踏みこんでもブレーキは強まらないまま、ブレーキペダルからの操作を受け付けず、全くスピードが落ちなかったために追突事故になった。
63,2022年07月25日,埼玉,ＨＰ,トヨタ,ランドクルーザープラド,2020年11月,"16,000 Km",3DA-GDJ150W,1GD,排ｶﾞｽ･騒音,２０２１年４月２２日から同じ事象が３回発,メーターパネルに「ＤＰＦ再生不十分」、「エンジン保護のため出力低下」、「プリクラッシュセーフティ故障」⇒「販売店で点検してください」の警告表示が出て、ノッキングが発生した。ディーラーにて溜まった煤の洗浄が行われた。
64,2022年07月25日,茨城,ＨＰ,ホンダ,オデッセイ,2017年11月,"1,449 Km",DBA-RC1,K24W,かじ取り,２０２２年７月２４日,メーターパネルに警告表示がされ、ハンドルが重くなり正常な操作ができなくなった。
65,2022年07月25日,愛知,ＨＰ,スズキ,ＧＳＸ－Ｓ１０００,2022年01月,"3,500 Km",2BL-GT79B,T719,エンジン,購入当初から,ローＲＰＭアシストシステム搭載車で、微妙なクラッチ操作で回転数が下がりエンストする。
